'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARIJINI NORTH Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARIJINI NORTH,01/05/2023,4.8,0.0, ,29.7,18.4,32,16,2.59,13.57
KARIJINI NORTH,02/05/2023,6.3,0.0, ,31.1,18.6,37,19,3.98,18.43
KARIJINI NORTH,03/05/2023,6.2,0.0, ,31.8,16.3,41,16,3.79,18.93
KARIJINI NORTH,04/05/2023,5.5,0.0, ,32.4,16.1,39,14,2.89,18.63
KARIJINI NORTH,05/05/2023,6.1,0.0, ,29.4,20.8,28,17,4.13,12.35
KARIJINI NORTH,06/05/2023,7.2,0.0, ,30.3,22.5,27,15,4.85,17.82
KARIJINI NORTH,07/05/2023,7.6,0.0, ,29.6,21.3,28,18,5.70,17.99
KARIJINI NORTH,08/05/2023,7.7,0.0, ,30.7,20.9,29,19,5.76,17.29
KARIJINI NORTH,09/05/2023,6.9,0.0, ,29.5,19.5,30,16,4.94,18.25
KARIJINI NORTH,10/05/2023,5.6,0.0, ,27.6,19.4,17,7,3.37,13.86
KARIJINI NORTH,11/05/2023,5.5,0.0, ,30.8,17.0,28,8,3.06,17.00
KARIJINI NORTH,12/05/2023,6.7,0.0, ,31.1,17.3,28,7,4.21,17.96
KARIJINI NORTH,13/05/2023,5.5,0.0, ,30.9,13.5,32,11,3.09,17.84
KARIJINI NORTH,14/05/2023,5.7,0.0, ,28.9,15.0,50,10,3.79,17.71
KARIJINI NORTH,15/05/2023,5.2,0.0, ,26.9,14.9,41,15,3.56,17.66
KARIJINI NORTH,16/05/2023,4.3,0.0, ,28.9,9.9,53,13,2.36,17.56
KARIJINI NORTH,17/05/2023,6.3,0.0, ,29.8,13.2,34,16,4.50,17.43
KARIJINI NORTH,18/05/2023,6.7,0.0, ,28.9,19.8,32,16,4.91,17.36
KARIJINI NORTH,19/05/2023,5.9,0.0, ,27.8,13.4,33,13,4.21,17.30
KARIJINI NORTH,20/05/2023,6.8,0.0, ,24.8,15.9,33,17,6.44,17.21
KARIJINI NORTH,21/05/2023,6.7,0.0, ,24.8,14.5,39,16,6.70,17.12
KARIJINI NORTH,22/05/2023,5.8,0.0, ,25.2,14.4,35,14,4.77,17.05
KARIJINI NORTH,23/05/2023,5.1,0.0, ,26.2,10.2,40,11,3.61,16.24
KARIJINI NORTH,24/05/2023,4.5,0.0, ,27.5,8.8,35,9,2.65,16.92
KARIJINI NORTH,25/05/2023,5.9,0.0, ,28.7,10.0,30,9,4.07,16.86
KARIJINI NORTH,26/05/2023,5.9,0.0, ,26.2,15.0,50,17,5.32,16.77
KARIJINI NORTH,27/05/2023,5.7,0.0, ,26.4,14.6,36,14,4.46,16.71
KARIJINI NORTH,28/05/2023,6.3,0.0, ,25.5,13.6,32,12,5.35,16.59
KARIJINI NORTH,29/05/2023,5.6,0.0, ,26.9,9.1,35,9,4.17,15.95
KARIJINI NORTH,30/05/2023,4.3,0.0, ,28.2,10.7,28,9,2.43,16.54
KARIJINI NORTH,31/05/2023,4.4,0.0, ,28.2,9.8,32,10,2.57,16.52
Totals:,,182.7,0, ,,,,,, 
