'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARIJINI NORTH Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARIJINI NORTH,01/08/2023,5.8,0.4, ,28.9,15.0,45,18,4.26,14.72
KARIJINI NORTH,02/08/2023,4.0,0.0, ,29.1,17.5,66,33,2.75,12.90
KARIJINI NORTH,03/08/2023,4.1,0.0, ,28.5,17.6,88,37,3.61,14.50
KARIJINI NORTH,04/08/2023,4.8,0.0, ,29.3,14.3,80,27,3.36,18.45
KARIJINI NORTH,05/08/2023,5.9,0.0, ,29.8,15.4,61,18,4.24,18.56
KARIJINI NORTH,06/08/2023,5.5,0.0, ,28.8,17.7,48,21,4.02,13.56
KARIJINI NORTH,07/08/2023,6.8,0.0, ,29.7,20.7,32,15,4.57,18.29
KARIJINI NORTH,08/08/2023,4.5,0.0, ,28.9,13.1,43,18,2.40,17.05
KARIJINI NORTH,09/08/2023,5.0,0.0, ,30.0,13.1,44,15,2.70,19.00
KARIJINI NORTH,10/08/2023,5.3,0.0, ,30.0,12.2,40,14,3.01,19.11
KARIJINI NORTH,11/08/2023,5.7,0.0, ,30.0,13.7,39,18,3.65,16.41
KARIJINI NORTH,12/08/2023,6.0,0.0, ,29.8,16.0,42,20,3.96,19.05
KARIJINI NORTH,13/08/2023,6.6,0.0, ,29.7,15.5,52,20,4.98,19.18
KARIJINI NORTH,14/08/2023,5.3,0.0, ,28.4,16.2,50,22,3.35,19.57
KARIJINI NORTH,15/08/2023,4.7,0.0, ,27.5,10.6,59,18,2.71,19.68
KARIJINI NORTH,16/08/2023,6.9,0.0, ,26.7,11.9,67,17,6.99,19.80
KARIJINI NORTH,17/08/2023,7.1,0.0, ,26.2,15.2,38,17,6.14,19.90
KARIJINI NORTH,18/08/2023,7.2,0.0, ,26.6,14.7,41,12,5.96,20.00
KARIJINI NORTH,19/08/2023,6.9,0.0, ,28.7,17.1,34,14,4.69,20.13
KARIJINI NORTH,20/08/2023,7.0,0.0, ,31.5,16.6,33,16,4.43,19.04
KARIJINI NORTH,21/08/2023,7.6,0.0, ,31.8,20.4,29,12,4.70,20.41
KARIJINI NORTH,22/08/2023,6.0,0.0, ,31.6,14.3,35,15,3.20,20.24
KARIJINI NORTH,23/08/2023,5.3,0.0, ,31.7,13.7,47,13,2.46,20.50
KARIJINI NORTH,24/08/2023,6.6,0.0, ,32.7,15.6,33,9,3.41,20.73
KARIJINI NORTH,25/08/2023,7.0,0.0, ,32.9,14.7,29,7,3.75,20.84
KARIJINI NORTH,26/08/2023,7.4,0.0, ,32.3,13.9,22,5,4.08,20.96
KARIJINI NORTH,27/08/2023,6.4,0.0, ,31.6,12.6,21,4,3.22,21.10
KARIJINI NORTH,28/08/2023,6.1,0.0, ,33.1,9.7,24,6,2.71,21.24
KARIJINI NORTH,29/08/2023,6.4,0.0, ,33.9,11.8,22,5,2.86,21.34
KARIJINI NORTH,30/08/2023,6.9,0.0, ,35.1,13.3,20,4,3.16,21.46
KARIJINI NORTH,31/08/2023,6.2,0.0, ,34.1,14.2,19,6,2.64,21.58
Totals:,,187,0.4, ,,,,,, 
