'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/01/2023,15.3,0.0, ,43.7,26.1,75,11,9.37,30.20
KARRATHA AERO,02/01/2023,9.7,0.0, ,33.4,24.8,77,44,11.44,29.43
KARRATHA AERO,03/01/2023,8.8,0.0, ,34.1,27.2,78,53,9.52,29.28
KARRATHA AERO,04/01/2023,8.8,0.0, ,34.6,26.6,81,52,10.24,28.17
KARRATHA AERO,05/01/2023,8.0,0.0, ,33.5,25.8,84,60,10.79,28.92
KARRATHA AERO,06/01/2023,8.3,0.0, ,32.5,24.8,79,58,11.40,29.32
KARRATHA AERO,07/01/2023,8.2,0.0, ,33.0,24.3,81,58,11.47,29.55
KARRATHA AERO,08/01/2023,8.1,0.0, ,33.5,25.9,87,57,10.36,30.07
KARRATHA AERO,09/01/2023,7.9,0.0, ,33.3,23.3,76,51,5.74,30.10
KARRATHA AERO,10/01/2023,7.5,0.0, ,33.7,25.5,87,53,5.02,30.08
KARRATHA AERO,11/01/2023,8.7,0.0, ,37.5,26.9,88,48,5.89,30.10
KARRATHA AERO,12/01/2023,13.0,0.0, ,42.2,27.9,62,12,6.75,29.95
KARRATHA AERO,13/01/2023,12.0,0.0, ,43.1,28.0,75,18,6.14,29.85
KARRATHA AERO,14/01/2023,13.0,0.0, ,43.4,27.1,82,9,6.78,29.80
KARRATHA AERO,15/01/2023,7.9,0.0, ,34.2,28.3,81,53,6.19,28.00
KARRATHA AERO,16/01/2023,7.8,0.0, ,35.4,27.2,79,49,4.83,27.35
KARRATHA AERO,17/01/2023,8.2,0.0, ,34.9,28.4,83,51,5.94,29.23
KARRATHA AERO,18/01/2023,6.6,0.0, ,33.0,27.9,80,58,5.23,23.61
KARRATHA AERO,19/01/2023,4.5,2.2, ,31.9,26.8,89,68,4.81,16.07
KARRATHA AERO,20/01/2023,7.3,1.4, ,34.8,26.9,80,53,4.65,26.34
KARRATHA AERO,21/01/2023,7.7,0.0, ,34.8,25.0,84,44,4.17,29.42
KARRATHA AERO,22/01/2023,7.5,0.0, ,35.1,27.5,79,51,3.61,29.29
KARRATHA AERO,23/01/2023,8.3,0.0, ,36.7,27.4,80,46,4.48,29.91
KARRATHA AERO,24/01/2023,7.9,0.0, ,34.1,26.5,77,53,5.72,29.02
KARRATHA AERO,25/01/2023,7.9,0.0, ,37.3,27.5,81,48,3.82,29.11
KARRATHA AERO,26/01/2023,10.0,0.0, ,38.8,27.8,75,37,6.32,29.77
KARRATHA AERO,27/01/2023,9.4,0.0, ,39.0,28.8,76,40,5.35,29.56
KARRATHA AERO,28/01/2023,7.3,0.0, ,34.4,28.4,81,57,4.00,28.83
KARRATHA AERO,29/01/2023,8.3,0.0, ,37.9,26.7,82,34,3.67,28.83
KARRATHA AERO,30/01/2023,8.4,0.0, ,37.6,28.5,79,38,4.12,28.76
KARRATHA AERO,31/01/2023,9.4,0.0, ,38.4,29.3,71,42,5.58,29.27
Totals:,,271.7,3.6, ,,,,,, 
