'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/03/2023,9.1,0.0, ,34.6,28.0,75,38,7.55,26.58
KARRATHA AERO,02/03/2023,9.0,0.0, ,38.6,28.2,85,36,5.84,27.05
KARRATHA AERO,03/03/2023,7.2,0.6, ,34.6,25.8,83,60,6.90,26.32
KARRATHA AERO,04/03/2023,7.6,0.0, ,34.7,28.8,83,60,7.59,26.73
KARRATHA AERO,05/03/2023,7.2,0.0, ,34.5,28.9,83,60,5.72,26.95
KARRATHA AERO,06/03/2023,8.3,0.0, ,36.9,28.9,84,40,5.46,26.87
KARRATHA AERO,07/03/2023,7.1,6.8, ,34.5,23.5,94,50,5.70,26.69
KARRATHA AERO,08/03/2023,7.1,0.0, ,35.1,28.3,88,49,4.54,26.18
KARRATHA AERO,09/03/2023,7.8,0.0, ,36.6,27.6,83,48,5.42,26.57
KARRATHA AERO,10/03/2023,8.1,0.0, ,38.0,27.5,87,42,5.10,26.45
KARRATHA AERO,11/03/2023,10.4,0.0, ,42.1,25.5,73,13,5.04,26.34
KARRATHA AERO,12/03/2023,8.7,0.0, ,37.3,26.0,78,27,4.99,26.19
KARRATHA AERO,13/03/2023,7.4,0.0, ,35.7,26.2,84,41,4.38,26.07
KARRATHA AERO,14/03/2023,7.3,0.0, ,36.0,26.7,86,47,4.85,25.96
KARRATHA AERO,15/03/2023,8.0,0.0, ,38.3,26.7,91,33,4.53,25.83
KARRATHA AERO,16/03/2023,8.6,0.0, ,38.2,27.6,87,37,5.93,25.72
KARRATHA AERO,17/03/2023,10.0,0.0, ,42.3,28.5,77,15,4.84,25.43
KARRATHA AERO,18/03/2023,8.9,0.0, ,40.7,26.4,77,19,4.15,25.48
KARRATHA AERO,19/03/2023,9.8,0.0, ,40.9,25.9,72,17,5.02,25.34
KARRATHA AERO,20/03/2023,7.9,0.0, ,38.1,28.0,80,32,4.17,24.89
KARRATHA AERO,21/03/2023,7.6,0.0, ,37.2,28.9,79,32,3.80,24.97
KARRATHA AERO,22/03/2023,7.7,0.2, ,38.5,27.1,76,39,4.12,24.85
KARRATHA AERO,23/03/2023,9.1,0.0, ,40.3,28.1,75,24,4.92,24.84
KARRATHA AERO,24/03/2023,7.1,0.0, ,36.0,28.2,75,48,4.27,24.16
KARRATHA AERO,25/03/2023,6.4,0.0, ,35.1,27.7,79,52,3.68,23.57
KARRATHA AERO,26/03/2023,4.8,0.6, ,33.6,25.0,93,58,3.27,18.31
KARRATHA AERO,27/03/2023,2.6,3.0, ,29.6,26.8,89,69,2.65,8.33
KARRATHA AERO,28/03/2023,2.8,1.2, ,30.7,25.3,91,62,2.36,9.13
KARRATHA AERO,29/03/2023,2.5,2.0, ,29.4,25.8,94,72,3.38,8.02
KARRATHA AERO,30/03/2023,4.6,44.6, ,31.9,24.3,91,63,3.62,18.71
KARRATHA AERO,31/03/2023,4.9,11.6, ,32.2,24.9,93,59,2.95,21.01
Totals:,,225.6,70.6, ,,,,,, 
