'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/07/2023,5.8,0.0, ,23.1,13.5,55,25,7.03,17.05
KARRATHA AERO,02/07/2023,4.3,0.0, ,21.5,12.5,77,37,6.19,17.08
KARRATHA AERO,03/07/2023,3.2,0.0, ,23.1,9.6,84,40,2.82,17.11
KARRATHA AERO,04/07/2023,4.4,0.0, ,25.5,11.7,69,27,3.74,16.87
KARRATHA AERO,05/07/2023,4.2,0.0, ,25.9,13.3,88,35,4.18,17.18
KARRATHA AERO,06/07/2023,3.8,0.0, ,23.7,10.9,77,34,3.51,17.22
KARRATHA AERO,07/07/2023,4.1,0.0, ,25.5,11.4,76,27,3.34,17.26
KARRATHA AERO,08/07/2023, ,0.0, , ,12.8,63,18,5.02,17.30
KARRATHA AERO,09/07/2023,4.7,0.0, ,26.0,9.5,55,19,3.56,17.35
KARRATHA AERO,10/07/2023,4.5,0.0, ,25.6,14.8,75,25,3.86,16.96
KARRATHA AERO,11/07/2023,4.8,0.0, ,27.2,13.1,77,19,3.73,17.45
KARRATHA AERO,12/07/2023,5.0,0.0, ,29.1,13.2,71,25,3.75,17.50
KARRATHA AERO,13/07/2023,4.3,0.0, ,28.8,14.5,74,28,2.89,17.56
KARRATHA AERO,14/07/2023,4.2,0.0, ,31.0,14.6,74,26,2.37,17.61
KARRATHA AERO,15/07/2023,5.7,0.0, ,28.3,16.4,86,26,5.87,17.68
KARRATHA AERO,16/07/2023,5.4,0.0, ,25.6,16.5,62,27,5.30,17.74
KARRATHA AERO,17/07/2023,4.3,0.0, ,27.7,12.5,74,24,2.92,17.80
KARRATHA AERO,18/07/2023,4.3,0.0, ,29.0,12.1,79,22,2.67,17.87
KARRATHA AERO,19/07/2023,4.7,0.0, ,29.1,13.1,73,22,3.21,17.93
KARRATHA AERO,20/07/2023,4.6,0.0, ,27.9,13.5,78,35,3.95,17.99
KARRATHA AERO,21/07/2023,5.0,0.0, ,28.6,13.3,71,25,3.81,18.08
KARRATHA AERO,22/07/2023,7.2,0.0, ,28.0,15.3,60,14,6.72,18.15
KARRATHA AERO,23/07/2023,7.5,0.0, ,27.0,13.0,63,15,8.08,18.22
KARRATHA AERO,24/07/2023,5.4,0.0, ,22.8,14.8,77,26,7.19,18.29
KARRATHA AERO,25/07/2023,4.4,0.0, ,22.5,12.7,85,37,5.86,18.36
KARRATHA AERO,26/07/2023,3.5,0.0, ,23.3,15.0,87,48,4.36,14.17
KARRATHA AERO,27/07/2023, ,0.0, , ,18.4,84,29,1.03,15.45
KARRATHA AERO,28/07/2023, , , ,26.8, ,80,26,2.16,18.64
KARRATHA AERO,29/07/2023,4.1,0.0, ,28.7,13.3,69,20,2.14,18.72
KARRATHA AERO,30/07/2023,4.6,0.0, ,30.0,14.7,69,15,2.42,18.81
KARRATHA AERO,31/07/2023,4.7,0.0, ,30.1,12.2,56,16,2.45,18.84
Totals:,,132.7,0, ,,,,,, 
