'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/08/2023,4.3,0.0, ,28.8,16.7,75,30,2.71,18.00
KARRATHA AERO,02/08/2023,2.7,0.0, ,28.4,19.6,90,61,0.60,15.59
KARRATHA AERO,03/08/2023,3.5,0.0, ,27.8,21.1,92,55,2.80,15.64
KARRATHA AERO,04/08/2023,4.1,0.0, ,29.4,17.6,89,46,2.70,19.10
KARRATHA AERO,05/08/2023,5.2,0.0, ,30.0,17.7,77,30,3.82,19.07
KARRATHA AERO,06/08/2023,4.2,0.0, ,27.5,20.3,73,34,3.58,11.78
KARRATHA AERO,07/08/2023,4.8,0.0, ,27.8,18.1,82,39,4.19,18.60
KARRATHA AERO,08/08/2023,5.2,0.0, ,30.3,15.7,85,26,3.55,19.30
KARRATHA AERO,09/08/2023,4.9,0.0, ,30.5,14.8,74,22,2.82,19.38
KARRATHA AERO,10/08/2023,4.6,0.0, ,29.9,14.7,82,25,2.64,19.41
KARRATHA AERO,11/08/2023,4.7,0.0, ,30.7,18.1,76,19,2.44,18.35
KARRATHA AERO,12/08/2023,5.4,0.0, ,30.3,17.1,75,26,3.64,19.62
KARRATHA AERO,13/08/2023,6.2,0.0, ,29.8,17.7,87,31,6.18,19.57
KARRATHA AERO,14/08/2023,5.0,0.0, ,26.1,16.7,73,40,4.58,19.88
KARRATHA AERO,15/08/2023,4.4,0.0, ,25.8,13.3,84,47,4.26,20.01
KARRATHA AERO,16/08/2023,7.2,0.0, ,29.8,15.3,61,17,5.65,20.06
KARRATHA AERO,17/08/2023,5.5,0.0, ,27.2,14.0,57,23,3.92,20.14
KARRATHA AERO,18/08/2023,5.9,0.0, ,27.6,15.6,62,24,4.57,20.21
KARRATHA AERO,19/08/2023,6.6,0.0, ,29.6,18.2,66,14,4.87,18.23
KARRATHA AERO,20/08/2023,6.1,0.0, ,33.2,18.0,64,16,3.26,20.01
KARRATHA AERO,21/08/2023,6.0,0.0, ,31.5,17.5,79,13,3.47,20.60
KARRATHA AERO,22/08/2023,5.4,0.0, ,30.9,14.4,92,17,3.08,20.82
KARRATHA AERO,23/08/2023,5.3,0.0, ,31.5,16.8,93,29,3.31,20.90
KARRATHA AERO,24/08/2023,5.8,0.0, ,33.6,16.0,85,18,2.93,20.99
KARRATHA AERO,25/08/2023,6.3,0.0, ,30.9,16.4,60,20,3.86,21.01
KARRATHA AERO,26/08/2023,6.4,0.0, ,30.3,15.3,72,18,4.25,21.15
KARRATHA AERO,27/08/2023,6.2,0.0, ,31.4,14.7,82,19,3.87,21.36
KARRATHA AERO,28/08/2023,6.0,0.0, ,32.8,13.6,86,13,3.13,21.44
KARRATHA AERO,29/08/2023,6.3,0.0, ,34.8,15.5,82,11,2.97,21.51
KARRATHA AERO,30/08/2023,6.5,0.0, ,35.8,16.5,86,10,3.04,21.61
KARRATHA AERO,31/08/2023,7.3,0.0, ,34.9,16.3,74,10,3.87,21.69
Totals:,,168,0, ,,,,,, 
