'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/09/2023,6.3,0.0, ,30.4,16.3,72,23,4.12,22.01
KARRATHA AERO,02/09/2023,8.1,0.0, ,33.3,16.7,81,16,5.83,22.19
KARRATHA AERO,03/09/2023,7.8,0.0, ,29.7,17.6,75,27,7.95,22.22
KARRATHA AERO,04/09/2023,6.6,0.0, ,29.1,16.7,76,23,5.08,22.41
KARRATHA AERO,05/09/2023,5.4,0.0, ,28.2,14.7,74,39,4.07,22.48
KARRATHA AERO,06/09/2023,4.9,0.0, ,27.9,14.1,89,36,3.08,22.60
KARRATHA AERO,07/09/2023,5.9,0.0, ,28.8,14.8,87,30,4.54,22.67
KARRATHA AERO,08/09/2023,5.6,0.0, ,27.8,16.5,87,20,3.55,22.89
KARRATHA AERO,09/09/2023,5.7,0.0, ,32.0,14.6,59,14,2.32,23.17
KARRATHA AERO,10/09/2023,5.6,0.0, ,35.1,16.7,79,20,2.04,23.28
KARRATHA AERO,11/09/2023,6.1,0.0, ,36.4,19.1,81,23,2.44,23.52
KARRATHA AERO,12/09/2023,7.1,0.0, ,34.3,22.8,67,19,3.60,23.42
KARRATHA AERO,13/09/2023,7.1,0.0, ,33.6,18.7,79,30,4.69,23.66
KARRATHA AERO,14/09/2023,6.7,0.0, ,30.7,18.4,79,33,5.07,23.93
KARRATHA AERO,15/09/2023,7.3,0.0, ,34.2,18.8,83,19,4.21,24.09
KARRATHA AERO,16/09/2023,7.0,0.0, ,37.9,20.4,70,11,2.65,24.24
KARRATHA AERO,17/09/2023,6.3,0.0, ,33.8,17.8,78,22,2.90,24.21
KARRATHA AERO,18/09/2023,6.8,0.0, ,32.8,22.3,81,36,4.50,24.19
KARRATHA AERO,19/09/2023,6.8,0.0, ,31.7,18.6,79,29,4.40,24.18
KARRATHA AERO,20/09/2023,6.5,0.0, ,32.6,19.1,90,34,4.19,24.50
KARRATHA AERO,21/09/2023,6.8,0.0, ,31.9,19.5,88,29,4.61,24.52
KARRATHA AERO,22/09/2023,8.1,0.0, ,35.4,19.6,85,22,5.04,24.69
KARRATHA AERO,23/09/2023,9.3,0.0, ,37.5,22.3,61,20,5.34,24.79
KARRATHA AERO,24/09/2023,9.4,0.0, ,37.1,23.7,55,18,5.24,24.91
KARRATHA AERO,25/09/2023,10.4,0.0, ,36.0,21.7,64,21,7.67,24.99
KARRATHA AERO,26/09/2023,9.6,0.0, ,38.4,18.0,77,14,5.27,25.16
KARRATHA AERO,27/09/2023,8.7,0.0, ,35.5,24.5,58,15,4.65,25.02
KARRATHA AERO,28/09/2023,8.5,0.0, ,37.1,20.8,60,21,4.30,25.38
KARRATHA AERO,29/09/2023,7.8,0.0, ,37.0,22.4,68,21,3.61,25.43
KARRATHA AERO,30/09/2023,9.4,0.0, ,38.8,23.7,78,11,4.80,25.44
Totals:,,217.6,0, ,,,,,, 
