'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/10/2023,10.0,0.0, ,35.7,22.2,69,16,6.74,25.77
KARRATHA AERO,02/10/2023,9.1,0.0, ,33.2,20.7,74,27,7.61,25.91
KARRATHA AERO,03/10/2023,8.6,0.0, ,34.5,18.7,68,18,5.06,25.95
KARRATHA AERO,04/10/2023,8.4,0.0, ,33.3,19.6,59,16,4.69,26.04
KARRATHA AERO,05/10/2023,8.4,0.0, ,34.0,20.7,51,12,4.27,25.84
KARRATHA AERO,06/10/2023,9.0,0.0, ,35.7,21.9,47,10,4.32,26.34
KARRATHA AERO,07/10/2023,8.7,0.0, ,35.7,20.8,70,13,4.44,26.52
KARRATHA AERO,08/10/2023,7.9,0.0, ,35.1,20.9,65,20,3.73,26.69
KARRATHA AERO,09/10/2023, ,0.0, , ,19.3,58,10,3.28,26.77
KARRATHA AERO,10/10/2023,8.0, , ,37.8,20.1,74,16,3.28,26.79
KARRATHA AERO,11/10/2023,7.8,0.0, ,37.8,21.7,90,26,3.58,26.88
KARRATHA AERO,12/10/2023,8.8,0.0, ,39.1,20.9,93,12,4.04,26.93
KARRATHA AERO,13/10/2023,9.4,0.0, ,37.8,20.4,72,11,4.67,27.05
KARRATHA AERO,14/10/2023,9.8,0.0, ,38.4,21.7,63,10,4.77,27.04
KARRATHA AERO,15/10/2023,9.0,0.0, ,39.0,23.6,77,13,4.04,27.34
KARRATHA AERO,16/10/2023,10.8,0.0, ,38.7,22.6,74,9,5.94,27.07
KARRATHA AERO,17/10/2023,9.6,0.0, ,36.8,20.6,56,8,4.61,26.99
KARRATHA AERO,18/10/2023,8.5,0.0, ,39.8,20.8,71,9,3.11,27.32
KARRATHA AERO,19/10/2023,10.2,0.0, ,40.9,19.6,76,6,4.43,27.34
KARRATHA AERO,20/10/2023,10.5,0.0, ,40.6,22.0,88,8,5.13,27.49
KARRATHA AERO,21/10/2023,9.0,0.0, ,38.8,21.6,67,10,3.76,27.44
KARRATHA AERO,22/10/2023,9.5,0.0, ,40.9,23.2,82,14,4.14,27.89
KARRATHA AERO,23/10/2023,9.8,0.0, ,39.9,23.5,87,16,4.88,28.12
KARRATHA AERO,24/10/2023,10.4,0.0, ,39.4,22.8,62,8,4.83,28.22
KARRATHA AERO,25/10/2023,11.1,0.0, ,38.8,21.5,69,10,6.04,28.31
KARRATHA AERO,26/10/2023,9.6,0.0, ,37.9,22.0,77,16,4.91,28.38
KARRATHA AERO,27/10/2023,9.1,0.0, ,38.8,23.8,64,18,3.86,28.51
KARRATHA AERO,28/10/2023,6.5,0.0, ,32.8,22.5,85,55,3.40,28.20
KARRATHA AERO,29/10/2023,8.4,0.0, ,35.9,25.1,88,22,4.38,27.93
KARRATHA AERO,30/10/2023,8.6,0.0, ,36.2,25.3,86,33,5.42,28.20
KARRATHA AERO,31/10/2023,9.0,0.0, ,34.5,24.6,79,31,6.23,28.66
Totals:,,273.5,0, ,,,,,, 
