'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KATANNING Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KATANNING,01/11/2022,3.5,0.0, ,19.9,9.3,89,52,3.65,17.42
KATANNING,02/11/2022,3.2,1.8, ,19.4,10.6,90,50,3.11,15.46
KATANNING,03/11/2022,5.8,0.2, ,27.4,10.0,85,25,3.73,22.45
KATANNING,04/11/2022,5.6,0.0, ,24.1,12.4,81,33,4.50,24.75
KATANNING,05/11/2022,4.9,0.0, ,21.4,7.3,87,35,3.87,25.77
KATANNING,06/11/2022,3.4,0.0, ,19.6,7.0,85,46,4.14,13.16
KATANNING,07/11/2022, ,0.0, , ,10.1, , , ,19.45
KATANNING,08/11/2022, , , , , , , , ,10.87
KATANNING,09/11/2022,4.0, , ,24.4,10.2,88,33,2.40,16.91
KATANNING,10/11/2022,3.4,0.0, ,20.2,11.3,89,45,2.89,15.31
KATANNING,11/11/2022,3.7,4.4, ,16.1,9.1,89,40,5.51,17.19
KATANNING,12/11/2022,3.7,0.2, ,17.4,5.9,89,48,5.22,19.16
KATANNING,13/11/2022,4.3,0.6, ,18.7,8.2,89,38,4.03,22.93
KATANNING,14/11/2022,4.7,0.0, ,20.4,8.0,84,35,3.79,23.98
KATANNING,15/11/2022,5.4,0.0, ,24.5,7.1,90,23,2.77,26.97
KATANNING,16/11/2022,7.9,0.0, ,31.8,7.9,88,12,4.59,24.45
KATANNING,17/11/2022,5.7,0.0, ,21.8,11.3,81,31,6.75,22.61
KATANNING,18/11/2022,3.6,1.4, ,16.0,5.9,87,48,4.91,20.46
KATANNING,19/11/2022,4.7,3.0, ,20.0,5.2,87,33,4.55,23.54
KATANNING,20/11/2022,4.2,0.4, ,20.3,6.8,88,37,3.40,21.46
KATANNING,21/11/2022,5.9,0.0, ,23.7,5.8,87,26,3.79,30.21
KATANNING,22/11/2022,7.3,0.0, ,29.9,8.1,83,15,3.66,28.96
KATANNING,23/11/2022, ,1.2, , ,16.6,79,20,4.03,20.38
KATANNING,24/11/2022, , , , , ,86,28,3.37,24.90
KATANNING,25/11/2022, , , ,25.1, ,85,30,2.59,22.23
KATANNING,26/11/2022,4.5,0.0, ,21.8,11.9,87,34,3.41,19.99
KATANNING,27/11/2022,5.2,0.0, ,22.7,7.0,90,31,3.60,26.45
KATANNING,28/11/2022,6.4,0.0, ,26.3,7.9,82,25,3.75,28.94
KATANNING,29/11/2022,8.2,0.0, ,32.5,9.1,85,12,3.85,30.58
KATANNING,30/11/2022,9.6,0.0, ,32.4,14.6,74,17,7.29,26.37
Totals:,,128.8,13.2, ,,,,,, 
