'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KATANNING Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KATANNING,01/12/2022,7.0,0.0, ,30.4,12.5,81,31,3.67,29.62
KATANNING,02/12/2022, ,0.0, , ,11.8,79,21,2.86,30.30
KATANNING,03/12/2022,6.8, , ,27.1,14.1,83,31,5.03,28.03
KATANNING,04/12/2022,2.5,0.2, ,17.3,12.4,89,62,6.61,7.27
KATANNING,05/12/2022,3.0,0.6, ,20.5,12.2,89,61,5.20,11.07
KATANNING,06/12/2022,6.4,0.0, ,23.6,12.7,86,27,5.36,28.79
KATANNING,07/12/2022,7.0,0.0, ,25.4,9.2,85,25,5.84,29.58
KATANNING,08/12/2022,7.2,13.2, ,29.4,12.4,86,28,4.37,29.53
KATANNING,09/12/2022,6.1,0.0, ,26.0,12.7,84,24,3.61,26.17
KATANNING,10/12/2022,4.9,0.0, ,22.6,9.1,85,31,3.68,21.12
KATANNING,11/12/2022,6.0,0.0, ,23.0,6.7,87,26,4.35,29.81
KATANNING,12/12/2022,6.1,0.0, ,23.1,6.9,85,29,4.92,29.99
KATANNING,13/12/2022,6.0,0.0, ,24.0,10.8,79,31,6.35,21.54
KATANNING,14/12/2022,6.9,0.0, ,25.0,11.2,81,30,6.48,29.74
KATANNING,15/12/2022,7.0,0.0, ,25.9,12.5,77,30,6.23,28.16
KATANNING,16/12/2022,6.1,0.0, ,24.4,10.2,86,31,5.86,24.44
KATANNING,17/12/2022,7.5,0.0, ,27.3,11.1,86,23,5.45,30.86
KATANNING,18/12/2022,7.3,0.0, ,28.7,12.6,82,23,4.94,27.11
KATANNING,19/12/2022,7.7,0.0, ,31.7,12.9,84,16,3.95,27.90
KATANNING,20/12/2022,8.2,0.0, ,33.1,11.0,86,13,3.61,30.88
KATANNING,21/12/2022,7.7,0.0, ,29.5,13.4,82,21,4.97,29.02
KATANNING,22/12/2022,8.1,0.0, ,31.6,11.7,86,21,4.46,31.31
KATANNING,23/12/2022,8.7,0.0, ,36.2,11.5,84,11,3.30,31.37
KATANNING,24/12/2022,8.4,0.0, ,35.4,11.7,90,12,3.28,31.02
KATANNING,25/12/2022,7.1,0.0, ,31.7,15.6,85,23,3.89,25.02
KATANNING,26/12/2022,5.8,0.0, ,29.9,15.6,84,24,3.19,20.18
KATANNING,27/12/2022,6.7,0.0, ,25.3,11.6,83,26,4.65,30.77
KATANNING,28/12/2022,6.8,0.0, ,27.5,7.1,80,21,3.38,31.13
KATANNING,29/12/2022,7.8,0.0, ,32.6,10.6,77,13,3.10,31.02
KATANNING,30/12/2022,10.2,0.0, ,37.2,13.3,88,8,4.79,30.90
KATANNING,31/12/2022,6.4,0.0, ,26.8,15.4,78,28,4.68,23.94
Totals:,,203.4,14, ,,,,,, 
