'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KUNUNURRA AERO Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KUNUNURRA AERO,01/01/2023,3.6,6.2, ,30.3,24.6,96,71,5.98,12.14
KUNUNURRA AERO,02/01/2023,4.6,8.0, ,32.4,24.4,96,61,5.05,15.54
KUNUNURRA AERO,03/01/2023,6.9,3.6, ,33.9,24.2,95,57,5.41,28.39
KUNUNURRA AERO,04/01/2023,5.7,0.2, ,33.1,24.3,97,57,3.86,23.30
KUNUNURRA AERO,05/01/2023,4.8,11.6, ,33.3,25.3,97,63,3.37,19.19
KUNUNURRA AERO,06/01/2023,6.1,16.6, ,34.0,24.4,96,55,5.44,21.91
KUNUNURRA AERO,07/01/2023,6.3,0.2, ,34.0,25.9,94,58,4.25,25.47
KUNUNURRA AERO,08/01/2023,7.4,2.2, ,36.5,24.9,95,40,3.24,28.68
KUNUNURRA AERO,09/01/2023,7.1,0.0, ,35.6,24.2,94,45,2.85,29.26
KUNUNURRA AERO,10/01/2023,6.9,0.0, ,36.3,26.4,91,47,2.93,27.24
KUNUNURRA AERO,11/01/2023,7.0,0.0, ,37.0,26.3,94,39,2.33,27.70
KUNUNURRA AERO,12/01/2023,7.0,0.0, ,37.8,25.4,96,43,2.20,28.61
KUNUNURRA AERO,13/01/2023,5.9,0.0, ,36.9,26.4,97,50,3.22,20.83
KUNUNURRA AERO,14/01/2023,6.1,30.6, ,35.5,24.7,97,51,2.04,25.72
KUNUNURRA AERO,15/01/2023,5.9,0.0, ,34.2,24.1,97,56,2.77,25.03
KUNUNURRA AERO,16/01/2023,5.3,3.0, ,33.4,24.2,97,64,2.78,22.75
KUNUNURRA AERO,17/01/2023,6.1,28.6, ,34.4,23.9,98,57,2.62,26.66
KUNUNURRA AERO,18/01/2023,3.3,0.0, ,32.9,26.2,95,67,2.15,11.80
KUNUNURRA AERO,19/01/2023,5.5,1.8, ,35.5,25.0,97,54,2.26,22.39
KUNUNURRA AERO,20/01/2023,6.8,0.0, ,36.8,24.8,93,48,2.48,27.99
KUNUNURRA AERO,21/01/2023,6.4,5.0, ,35.7,26.1,92,50,2.37,26.21
KUNUNURRA AERO,22/01/2023,6.1,0.0, ,35.9,25.2,96,51,3.63,22.24
KUNUNURRA AERO,23/01/2023,6.7,27.0, ,36.4,22.6,96,49,2.24,28.95
KUNUNURRA AERO,24/01/2023,6.5,0.2, ,36.2,24.9,96,36,2.66,24.79
KUNUNURRA AERO,25/01/2023,6.2,0.0, ,34.3,25.3,95,55,3.39,25.33
KUNUNURRA AERO,26/01/2023,2.7,13.4, ,30.9,24.3,96,78,2.00,10.52
KUNUNURRA AERO,27/01/2023,5.7,1.0, ,33.3,24.8,97,59,1.37,26.24
KUNUNURRA AERO,28/01/2023,6.1,2.2, ,35.1,24.6,98,49,1.51,27.33
KUNUNURRA AERO,29/01/2023,6.7,0.0, ,36.0,24.4,95,47,3.02,26.49
KUNUNURRA AERO,30/01/2023,4.4,96.0, ,31.1,23.5,98,71,2.67,20.08
KUNUNURRA AERO,31/01/2023,5.9,5.6, ,34.0,24.8,98,59,2.73,25.76
Totals:,,181.7,263, ,,,,,, 
