'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KUNUNURRA AERO Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KUNUNURRA AERO,01/06/2023,3.9,0.0, ,31.2,8.5,92,16,1.59,19.17
KUNUNURRA AERO,02/06/2023,3.6,0.0, ,32.0,10.7,89,30,1.29,19.12
KUNUNURRA AERO,03/06/2023,4.0,0.0, ,32.7,13.7,93,32,1.81,19.04
KUNUNURRA AERO,04/06/2023,3.7,0.0, ,32.4,15.1,96,40,1.55,18.60
KUNUNURRA AERO,05/06/2023,3.8,0.0, ,33.4,15.2,96,34,1.37,18.94
KUNUNURRA AERO,06/06/2023,3.9,0.0, ,33.9,15.8,97,32,1.47,18.86
KUNUNURRA AERO,07/06/2023,3.7,0.0, ,35.2,16.2,95,27,1.06,18.98
KUNUNURRA AERO,08/06/2023,4.5,0.0, ,34.8,17.7,89,32,2.13,18.83
KUNUNURRA AERO,09/06/2023,4.6,0.0, ,34.6,19.8,83,34,2.31,18.29
KUNUNURRA AERO,10/06/2023,4.3,0.0, ,33.5,19.0,91,36,2.16,18.68
KUNUNURRA AERO,11/06/2023,3.5,0.0, ,32.7,17.1,93,31,1.12,18.63
KUNUNURRA AERO,12/06/2023,3.7,0.0, ,33.2,15.6,96,26,1.31,18.82
KUNUNURRA AERO,13/06/2023,4.4,0.0, ,33.7,15.3,92,24,2.07,18.85
KUNUNURRA AERO,14/06/2023,4.0,0.0, ,32.8,14.4,89,21,1.60,18.83
KUNUNURRA AERO,15/06/2023,3.7,0.0, ,32.4,14.0,87,24,1.40,18.72
KUNUNURRA AERO,16/06/2023,3.4,0.0, ,31.6,13.3,94,21,1.11,18.80
KUNUNURRA AERO,17/06/2023,3.9,0.0, ,31.6,13.0,89,19,1.66,18.78
KUNUNURRA AERO,18/06/2023,4.1,0.0, ,31.8,12.6,90,18,1.83,18.54
KUNUNURRA AERO,19/06/2023,3.9,0.0, ,32.2,12.2,89,20,1.64,18.75
KUNUNURRA AERO,20/06/2023,3.9,0.0, ,32.7,13.0,94,21,1.65,18.50
KUNUNURRA AERO,21/06/2023,3.8,0.0, ,33.1,13.3,91,30,1.51,18.74
KUNUNURRA AERO,22/06/2023, ,0.0, , ,14.7,91,33,1.20,18.71
KUNUNURRA AERO,23/06/2023, , , , , ,100,32,1.30,18.69
KUNUNURRA AERO,24/06/2023,3.5, , ,33.5,16.3,92,33,1.07,18.77
KUNUNURRA AERO,25/06/2023,4.1,0.0, ,34.2,17.7,93,37,1.74,18.76
KUNUNURRA AERO,26/06/2023,3.7,0.0, ,34.4,19.9,92,42,1.41,17.17
KUNUNURRA AERO,27/06/2023,4.0,0.0, ,28.1,22.4,90,49,3.92,15.29
KUNUNURRA AERO,28/06/2023,4.4,0.0, ,29.1,22.6,73,47,4.20,12.75
KUNUNURRA AERO,29/06/2023,4.3,0.0, ,28.9,22.2,78,51,4.36,14.04
KUNUNURRA AERO,30/06/2023,2.9,0.0, ,23.3,19.8,91,62,5.24,10.20
Totals:,,109.2,0, ,,,,,, 
