'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KUNUNURRA AERO Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KUNUNURRA AERO,01/09/2023,5.6,0.0, ,35.6,12.4,92,13,1.93,23.29
KUNUNURRA AERO,02/09/2023,5.4,0.0, ,34.7,14.2,96,19,1.96,22.85
KUNUNURRA AERO,03/09/2023,5.6,0.0, ,35.0,16.1,94,22,2.06,23.28
KUNUNURRA AERO,04/09/2023,5.2,0.0, ,35.7,16.6,92,22,1.56,23.31
KUNUNURRA AERO,05/09/2023,5.5,0.0, ,35.7,17.5,91,26,2.01,22.94
KUNUNURRA AERO,06/09/2023,5.8,0.0, ,36.3,17.7,84,26,2.07,23.56
KUNUNURRA AERO,07/09/2023,5.4,0.0, ,36.3,17.6,90,28,1.74,23.01
KUNUNURRA AERO,08/09/2023,6.1,0.0, ,37.4,18.1,93,22,2.30,22.91
KUNUNURRA AERO,09/09/2023,7.1,0.0, ,37.1,19.8,85,18,3.18,23.90
KUNUNURRA AERO,10/09/2023,7.8,0.0, ,37.3,21.5,60,15,3.56,23.92
KUNUNURRA AERO,11/09/2023,8.7,0.0, ,37.0,20.9,55,16,4.51,24.08
KUNUNURRA AERO,12/09/2023,8.6,0.0, ,35.0,21.1,54,10,4.56,24.11
KUNUNURRA AERO,13/09/2023,6.4,0.0, ,35.2,16.7,69,23,2.88,22.43
KUNUNURRA AERO,14/09/2023,6.4,0.0, ,35.6,14.9,74,14,2.40,24.37
KUNUNURRA AERO,15/09/2023,6.8,0.0, ,36.5,16.4,83,19,3.14,22.20
KUNUNURRA AERO,16/09/2023,6.8,0.0, ,35.5,17.7,75,16,2.89,24.48
KUNUNURRA AERO,17/09/2023,5.8,0.0, ,35.6,14.4,85,19,2.01,23.43
KUNUNURRA AERO,18/09/2023,5.7,0.0, ,35.7,14.9,87,25,2.10,22.59
KUNUNURRA AERO,19/09/2023,6.1,0.0, ,35.9,17.3,89,26,2.77,21.45
KUNUNURRA AERO,20/09/2023,5.8,0.0, ,36.1,18.8,90,24,2.03,23.17
KUNUNURRA AERO,21/09/2023,6.7,0.0, ,37.6,19.6,86,26,2.67,24.48
KUNUNURRA AERO,22/09/2023,6.9,0.0, ,39.8,19.5,85,16,2.42,24.08
KUNUNURRA AERO,23/09/2023,7.3,0.0, ,39.6,17.1,72,11,2.55,25.12
KUNUNURRA AERO,24/09/2023,6.4,0.0, ,38.7,15.7,89,9,1.88,25.11
KUNUNURRA AERO,25/09/2023,6.3,0.0, ,38.0,18.0,94,21,1.99,25.09
KUNUNURRA AERO,26/09/2023,6.5,0.0, ,38.3,21.3,89,23,2.27,24.30
KUNUNURRA AERO,27/09/2023,6.6,0.0, ,39.0,20.4,86,23,2.29,24.05
KUNUNURRA AERO,28/09/2023,6.6,0.0, ,38.4,22.8,79,27,2.65,22.53
KUNUNURRA AERO,29/09/2023,7.1,0.0, ,38.0,20.5,87,17,2.67,25.26
KUNUNURRA AERO,30/09/2023,6.8,0.0, ,38.2,18.9,81,26,2.51,25.01
Totals:,,193.8,0, ,,,,,, 
