'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KUNUNURRA AERO Western Australia for November 2023,,,,,,,,,,
Issued at 06:31 GMT on Saturday 04 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KUNUNURRA AERO,28/10/2023,8.2,0.0, ,39.8,20.3,53,8,2.72,27.68
KUNUNURRA AERO,29/10/2023,7.8,0.0, ,40.6,14.8,75,14,2.37,27.75
KUNUNURRA AERO,30/10/2023, ,0.0, , ,21.2,90,27,2.79,27.42
KUNUNURRA AERO,31/10/2023, , , , , ,100,49,0.95,27.29
KUNUNURRA AERO,01/11/2023, , , , , ,100,12,1.51,20.93
KUNUNURRA AERO,02/11/2023, , , ,41.3, ,94,23,1.96,28.30
KUNUNURRA AERO,03/11/2023,7.5,0.0, ,42.3,23.1,91,20,1.95,28.20
Totals:,,23.5,0, ,,,,,, 
