'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAKE GRACE Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAKE GRACE,01/12/2022,7.9,0.2, ,33.1,13.4,78,21,3.63,30.43
LAKE GRACE,02/12/2022,7.3,0.0, ,30.9,13.8,82,21,3.74,28.64
LAKE GRACE,03/12/2022,7.5,0.0, ,29.6,12.0,87,30,5.59,28.63
LAKE GRACE,04/12/2022,4.6,0.0, ,22.9,14.3,96,51,7.26,20.33
LAKE GRACE,05/12/2022,3.8,0.0, ,22.9,14.0,93,51,4.80,14.44
LAKE GRACE,06/12/2022,5.5,0.4, ,24.1,14.0,90,33,4.91,22.80
LAKE GRACE,07/12/2022,7.2,0.0, ,27.1,11.1,90,24,5.86,27.84
LAKE GRACE,08/12/2022,8.1,0.0, ,30.9,12.4,86,23,5.23,30.28
LAKE GRACE,09/12/2022,6.2,0.0, ,27.4,14.8,88,22,3.47,24.91
LAKE GRACE,10/12/2022,5.4,0.0, ,24.3,14.5,78,29,4.08,20.54
LAKE GRACE,11/12/2022,6.2,0.0, ,23.6,8.5,87,27,4.35,30.57
LAKE GRACE,12/12/2022,6.6,0.0, ,24.3,7.9,87,26,5.14,30.80
LAKE GRACE,13/12/2022,4.9,0.0, ,22.2,11.3,82,34,6.26,14.51
LAKE GRACE,14/12/2022,7.3,0.0, ,26.0,12.6,75,32,6.97,28.98
LAKE GRACE,15/12/2022,6.5,0.0, ,25.7,12.2,78,36,5.76,27.14
LAKE GRACE,16/12/2022,7.0,0.0, ,25.3,11.7,81,30,6.22,30.49
LAKE GRACE,17/12/2022,6.8,0.0, ,27.7,11.5,88,31,4.98,28.55
LAKE GRACE,18/12/2022,7.3,0.0, ,29.4,12.6,88,23,4.90,26.79
LAKE GRACE,19/12/2022,8.1,0.0, ,32.0,14.6,80,16,4.57,27.03
LAKE GRACE,20/12/2022,8.8,0.0, ,33.2,13.5,73,11,4.33,30.47
LAKE GRACE,21/12/2022,7.8,0.0, ,31.0,12.9,88,20,4.67,28.54
LAKE GRACE,22/12/2022,8.3,0.0, ,32.6,13.6,85,18,4.32,30.54
LAKE GRACE,23/12/2022,9.0,0.0, ,37.0,13.1,82,9,3.54,30.53
LAKE GRACE,24/12/2022,10.1,0.0, ,38.7,13.8,90,8,4.41,30.50
LAKE GRACE,25/12/2022,8.0,0.0, ,32.4,17.0,75,24,4.27,29.10
LAKE GRACE,26/12/2022,7.7,0.0, ,31.6,15.5,83,26,4.02,30.50
LAKE GRACE,27/12/2022,6.9,0.0, ,27.1,11.5,87,24,4.27,30.29
LAKE GRACE,28/12/2022,7.1,0.0, ,28.2,8.4,78,19,3.79,30.32
LAKE GRACE,29/12/2022,8.2,0.0, ,33.5,12.1,73,14,3.52,30.35
LAKE GRACE,30/12/2022,9.8,0.0, ,38.1,14.2,85,7,4.11,30.26
LAKE GRACE,31/12/2022,6.7,0.0, ,28.8,17.2,82,31,4.86,23.90
Totals:,,222.6,0.6, ,,,,,, 
