'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAKE GRACE Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAKE GRACE,01/02/2023,6.0,0.4, ,25.4,13.9,95,38,5.94,26.94
LAKE GRACE,02/02/2023,7.3,0.0, ,28.7,8.9,87,25,5.14,29.29
LAKE GRACE,03/02/2023,8.3,0.0, ,31.0,13.7,80,22,5.70,29.01
LAKE GRACE,04/02/2023,8.0,0.0, ,34.3,13.5,80,14,3.60,28.79
LAKE GRACE,05/02/2023,8.9,0.0, ,38.3,21.4,49,12,4.14,22.07
LAKE GRACE,06/02/2023,8.6,0.0, ,35.3,21.6,76,17,4.24,28.43
LAKE GRACE,07/02/2023,6.7,0.0, ,29.6,16.4,85,31,4.15,27.65
LAKE GRACE,08/02/2023,6.7,0.0, ,29.9,17.2,81,32,4.12,26.73
LAKE GRACE,09/02/2023,6.8,0.0, ,30.9,12.0,88,23,3.54,27.78
LAKE GRACE,10/02/2023,7.9,0.0, ,34.1,14.1,84,20,4.13,27.86
LAKE GRACE,11/02/2023,6.8,0.0, ,28.4,14.1,79,22,4.15,27.11
LAKE GRACE,12/02/2023,7.3,0.0, ,29.9,11.9,86,21,4.71,27.37
LAKE GRACE,13/02/2023,7.7,0.0, ,35.6,13.4,81,18,3.44,27.24
LAKE GRACE,14/02/2023,7.4,0.0, ,32.9,17.7,70,16,3.80,24.47
LAKE GRACE,15/02/2023,4.4,0.0, ,26.1,16.3,92,35,2.82,17.41
LAKE GRACE,16/02/2023, ,0.0, , ,11.7,88,20,3.06,26.38
LAKE GRACE,17/02/2023, , , ,30.7, ,84,24,3.43,26.47
LAKE GRACE,18/02/2023,8.3,0.0, ,36.9,15.5,85,15,3.89,26.37
LAKE GRACE,19/02/2023,7.4,0.0, ,32.3,16.9,88,30,5.27,26.15
LAKE GRACE,20/02/2023,7.8,0.0, ,32.9,17.4,81,34,6.36,25.18
LAKE GRACE,21/02/2023,10.1,0.0, ,40.3,18.2,87,17,5.59,25.61
LAKE GRACE,22/02/2023,7.0,0.0, ,33.9,17.1,88,24,3.72,25.24
LAKE GRACE,23/02/2023,5.0,0.0, ,23.9,16.0,93,33,5.51,17.83
LAKE GRACE,24/02/2023,6.0,0.0, ,26.5,8.6,74,20,3.63,25.07
LAKE GRACE,25/02/2023,6.2,0.0, ,28.9,9.8,81,23,3.67,25.07
LAKE GRACE,26/02/2023,7.0,0.0, ,32.3,14.8,86,22,4.04,24.84
LAKE GRACE,27/02/2023,6.1,0.0, ,32.5,15.5,84,23,3.82,17.65
LAKE GRACE,28/02/2023,6.5,0.0, ,28.7,17.0,84,37,6.12,23.44
Totals:,,186.2,0.4, ,,,,,, 
