'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAKE GRACE Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAKE GRACE,01/03/2023,7.4,0.0, ,31.3,13.9,83,22,5.17,24.36
LAKE GRACE,02/03/2023,5.8,0.0, ,33.2,16.0,79,18,3.36,14.75
LAKE GRACE,03/03/2023,7.7,0.0, ,35.1,17.2,72,23,4.39,24.09
LAKE GRACE,04/03/2023,6.0,0.0, ,28.6,17.5,84,28,3.95,23.40
LAKE GRACE,05/03/2023,4.9,0.0, ,25.8,11.0,90,29,3.02,22.86
LAKE GRACE,06/03/2023,4.8,0.0, ,25.5,10.2,90,30,3.23,20.91
LAKE GRACE,07/03/2023,5.6,0.0, ,26.2,10.7,87,24,4.15,23.17
LAKE GRACE,08/03/2023,6.5,0.0, ,30.1,10.7,78,22,4.23,23.16
LAKE GRACE,09/03/2023,6.4,0.4, ,30.5,16.0,76,27,4.28,22.63
LAKE GRACE,10/03/2023,5.5,0.0, ,27.9,15.2,88,31,3.81,22.48
LAKE GRACE,11/03/2023,5.5,0.0, ,29.2,11.4,98,19,3.15,22.61
LAKE GRACE,12/03/2023,6.1,0.0, ,34.2,14.0,84,17,2.87,21.05
LAKE GRACE,13/03/2023,6.1,0.0, ,32.2,15.7,88,17,3.17,22.05
LAKE GRACE,14/03/2023,4.8,0.0, ,31.2,15.6,88,25,1.89,21.77
LAKE GRACE,15/03/2023,6.5,0.0, ,35.8,13.6,99,11,2.92,21.93
LAKE GRACE,16/03/2023,7.9,0.0, ,34.0,13.7,77,11,4.87,21.62
LAKE GRACE,17/03/2023,4.2,0.0, ,23.1,14.2,81,42,4.55,16.31
LAKE GRACE,18/03/2023,4.6,0.0, ,25.7,10.3,89,26,2.89,21.20
LAKE GRACE,19/03/2023,5.7,0.0, ,27.8,11.0,92,24,4.46,21.12
LAKE GRACE,20/03/2023,7.3,0.0, ,32.5,14.3,77,20,5.22,20.85
LAKE GRACE,21/03/2023,7.2,0.0, ,33.6,17.5,79,27,5.37,20.54
LAKE GRACE,22/03/2023,5.8,0.0, ,30.4,15.8,79,34,4.44,20.52
LAKE GRACE,23/03/2023,5.8,0.0, ,30.7,18.1,85,32,4.62,19.54
LAKE GRACE,24/03/2023,4.9,0.0, ,29.0,17.6,88,32,4.21,14.44
LAKE GRACE,25/03/2023,2.4,0.2, ,23.2,18.1,97,67,4.21,8.71
LAKE GRACE,26/03/2023,1.6,16.2, ,19.0,16.2,98,81,4.74,7.12
LAKE GRACE,27/03/2023,3.4,0.4, ,22.4,14.0,88,45,3.23,14.60
LAKE GRACE,28/03/2023,3.8,0.0, ,22.7,8.9,95,37,3.25,19.26
LAKE GRACE,29/03/2023,4.5,0.0, ,24.3,10.7,90,32,4.10,20.08
LAKE GRACE,30/03/2023,5.2,0.0, ,27.3,13.4,90,30,4.83,19.11
LAKE GRACE,31/03/2023,2.3,0.0, ,20.6,15.1,94,52,4.15,5.02
Totals:,,166.2,17.2, ,,,,,, 
