'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAKE GRACE Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAKE GRACE,01/09/2023,4.3,0.0, ,25.2,10.3,96,32,4.33,17.16
LAKE GRACE,02/09/2023,3.0,0.6, ,19.3,10.7,95,49,5.14,12.69
LAKE GRACE,03/09/2023,3.0,2.4, ,15.4,8.3,96,40,6.08,15.07
LAKE GRACE,04/09/2023,2.7,0.0, ,17.7,4.0,90,50,4.33,13.66
LAKE GRACE,05/09/2023,2.8,0.0, ,20.0,7.0,99,55,5.19,12.67
LAKE GRACE,06/09/2023,2.8,0.2, ,14.7,9.5,97,45,5.02,15.83
LAKE GRACE,07/09/2023,2.5,0.2, ,16.5,-0.1,96,33,1.58,18.95
LAKE GRACE,08/09/2023,4.4,0.0, ,22.4,3.0,83,20,3.84,19.12
LAKE GRACE,09/09/2023,4.6,0.0, ,25.2,11.7,84,20,4.23,12.17
LAKE GRACE,10/09/2023,3.0,0.0, ,22.5,6.9,97,47,2.83,14.62
LAKE GRACE,11/09/2023,4.3,0.0, ,29.0,6.1,98,30,2.48,19.56
LAKE GRACE,12/09/2023,3.0,0.0, ,24.3,10.7,94,46,3.10,10.51
LAKE GRACE,13/09/2023,3.1,0.2, ,20.7,9.5,99,49,6.23,10.56
LAKE GRACE,14/09/2023,3.0,11.8, ,19.3,6.8,97,54,5.09,15.02
LAKE GRACE,15/09/2023,3.3,0.0, ,22.0,10.8,99,51,5.19,13.99
LAKE GRACE,16/09/2023,3.4,0.0, ,21.9,11.4,99,43,3.05,17.77
LAKE GRACE,17/09/2023,3.5,0.0, ,18.8,10.1,89,34,2.76,20.56
LAKE GRACE,18/09/2023,3.3,0.0, ,19.2,2.9,96,41,3.43,18.98
LAKE GRACE,19/09/2023,3.3,0.0, ,20.4,11.6,84,49,4.05,14.85
LAKE GRACE,20/09/2023,3.3,0.0, ,20.3,10.9,90,41,2.29,19.39
LAKE GRACE,21/09/2023,5.0,0.0, ,28.4,10.8,91,27,3.42,19.34
LAKE GRACE,22/09/2023,5.8,0.0, ,32.7,14.1,70,18,3.33,16.37
LAKE GRACE,23/09/2023,2.9,0.0, ,20.8,14.9,93,40,3.36,9.71
LAKE GRACE,24/09/2023,3.8,0.0, ,21.1,10.1,92,36,3.74,17.74
LAKE GRACE,25/09/2023,3.9,0.0, ,24.0,7.7,90,43,3.34,18.90
LAKE GRACE,26/09/2023,4.4,0.0, ,25.5,5.6,97,20,2.35,21.78
LAKE GRACE,27/09/2023,7.1,0.0, ,31.9,11.5,88,14,4.68,21.79
LAKE GRACE,28/09/2023,6.5,0.0, ,33.5,15.2,82,18,3.86,19.57
LAKE GRACE,29/09/2023,6.1,0.0, ,30.8,11.5,99,14,3.62,21.64
LAKE GRACE,30/09/2023,4.3,1.0, ,22.4,10.9,98,32,3.78,21.01
Totals:,,116.4,16.4, ,,,,,, 
