'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LANCELIN (DEFENCE) Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LANCELIN (DEFENCE),01/11/2022,4.7,0.0, ,22.7,9.8,99,55,4.80,28.58
LANCELIN (DEFENCE),02/11/2022,6.4,0.0, ,28.5,9.7,99,34,4.79,27.77
LANCELIN (DEFENCE),03/11/2022,7.4,0.0, ,33.7,12.6,98,21,3.51,28.33
LANCELIN (DEFENCE),04/11/2022,4.3,0.0, ,21.6,9.7,100,59,4.98,26.78
LANCELIN (DEFENCE),05/11/2022,5.3,0.0, ,23.1,9.8,94,47,6.46,28.67
LANCELIN (DEFENCE),06/11/2022,5.8,0.4, ,26.4,13.3,93,44,5.23,27.33
LANCELIN (DEFENCE),07/11/2022,4.3,0.0, ,21.8,17.9,88,69,4.81,24.43
LANCELIN (DEFENCE),08/11/2022,4.4,0.0, ,21.9,15.5,98,64,4.16,27.10
LANCELIN (DEFENCE),09/11/2022,4.9,0.0, ,22.2,17.7,84,57,3.78,25.95
LANCELIN (DEFENCE),10/11/2022,4.0,0.0, ,23.2,9.7,99,59,4.00,21.97
LANCELIN (DEFENCE),11/11/2022,4.6,8.2, ,18.8,12.9,92,53,7.85,27.74
LANCELIN (DEFENCE),12/11/2022,4.9,0.0, ,19.3,7.8,79,45,5.39,29.21
LANCELIN (DEFENCE),13/11/2022,4.5,0.0, ,19.9,9.3,90,56,5.56,27.83
LANCELIN (DEFENCE),14/11/2022,6.9,0.0, ,25.9,12.4,90,30,6.39,29.67
LANCELIN (DEFENCE),15/11/2022,8.1,0.0, ,30.5,10.8,93,20,5.63,29.80
LANCELIN (DEFENCE),16/11/2022,5.5,0.0, ,24.1,11.2,99,41,4.28,29.37
LANCELIN (DEFENCE),17/11/2022,3.4,0.0, ,20.2,16.4,99,69,6.51,19.27
LANCELIN (DEFENCE),18/11/2022,4.1,17.2, ,18.1,11.5,94,50,8.09,21.02
LANCELIN (DEFENCE),19/11/2022,4.9,1.2, ,20.6,12.7,83,56,5.11,28.36
LANCELIN (DEFENCE),20/11/2022,5.1,0.0, ,22.6,11.5,95,54,5.12,30.05
LANCELIN (DEFENCE),21/11/2022,8.4,0.2, ,31.8,11.4,97,24,5.91,30.64
LANCELIN (DEFENCE),22/11/2022,8.0,0.0, ,37.1,11.4,91,14,4.21,17.90
LANCELIN (DEFENCE),23/11/2022,4.5,1.4, ,23.6,14.3,100,65,3.58,26.93
LANCELIN (DEFENCE),24/11/2022,5.4,0.0, ,23.8,17.3,78,48,3.32,27.12
LANCELIN (DEFENCE),25/11/2022,5.0,0.0, ,23.4,17.1,77,58,3.36,25.43
LANCELIN (DEFENCE),26/11/2022,5.4,0.0, ,23.0,13.3,89,56,6.00,30.79
LANCELIN (DEFENCE),27/11/2022,5.9,0.0, ,23.7,11.4,90,46,6.28,31.04
LANCELIN (DEFENCE),28/11/2022,8.1,0.0, ,31.7,12.9,99,30,5.88,31.02
LANCELIN (DEFENCE),29/11/2022,9.9,0.0, ,38.9,11.9,97,13,4.53,29.38
LANCELIN (DEFENCE),30/11/2022,3.8,0.0, ,24.9,20.0,99,72,4.32,19.38
Totals:,,167.9,28.6, ,,,,,, 
