'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LANCELIN (DEFENCE) Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LANCELIN (DEFENCE),01/01/2023,7.2,0.0, ,25.7,15.9,83,38,7.52,31.61
LANCELIN (DEFENCE),02/01/2023,8.6,0.0, ,31.5,14.7,95,27,6.85,31.56
LANCELIN (DEFENCE),03/01/2023,10.5,0.0, ,36.8,17.7,85,15,5.79,31.57
LANCELIN (DEFENCE),04/01/2023,11.4,0.0, ,38.9,17.0,75,14,5.87,31.66
LANCELIN (DEFENCE),05/01/2023,11.9,0.0, ,41.3,17.7,76,9,5.38,31.64
LANCELIN (DEFENCE),06/01/2023,8.6,0.0, ,27.9,22.4,80,17,7.92,26.31
LANCELIN (DEFENCE),07/01/2023,6.7,0.0, ,25.3,14.7,80,47,7.59,31.38
LANCELIN (DEFENCE),08/01/2023,7.1,0.0, ,27.3,16.2,88,40,6.75,31.29
LANCELIN (DEFENCE),09/01/2023,7.3,0.0, ,30.6,14.9,98,36,4.97,31.17
LANCELIN (DEFENCE),10/01/2023,4.0,0.0, ,25.3,21.3,99,65,4.82,18.50
LANCELIN (DEFENCE),11/01/2023,6.5,0.0, ,25.3,19.8,75,52,5.49,30.24
LANCELIN (DEFENCE),12/01/2023,6.1,0.0, ,25.9,19.9,88,57,5.12,31.21
LANCELIN (DEFENCE),13/01/2023,5.3,0.0, ,25.2,20.6,90,65,7.88,26.49
LANCELIN (DEFENCE),14/01/2023,8.8,0.0, ,30.0,15.7,87,21,7.23,30.96
LANCELIN (DEFENCE),15/01/2023,9.1,0.0, ,32.7,14.9,79,23,6.24,30.39
LANCELIN (DEFENCE),16/01/2023,6.2,0.0, ,23.8,19.1,82,52,9.33,27.87
LANCELIN (DEFENCE),17/01/2023,7.3,0.0, ,26.4,12.4,86,32,7.10,30.87
LANCELIN (DEFENCE),18/01/2023,9.6,0.0, ,33.8,15.5,89,23,7.14,30.72
LANCELIN (DEFENCE),19/01/2023,10.6,0.0, ,39.3,16.2,83,20,5.64,29.68
LANCELIN (DEFENCE),20/01/2023,7.0,0.0, ,34.5,18.3,87,37,2.85,28.89
LANCELIN (DEFENCE),21/01/2023,6.6,0.0, ,34.3,16.0,99,22,1.69,30.21
LANCELIN (DEFENCE),22/01/2023,4.6,0.0, ,26.2,17.0,100,70,2.80,25.69
LANCELIN (DEFENCE),23/01/2023,5.3,0.0, ,26.7,20.9,99,67,3.33,28.70
LANCELIN (DEFENCE),24/01/2023,5.2,0.0, ,26.1,19.5,99,70,5.05,29.81
LANCELIN (DEFENCE),25/01/2023,5.9,0.0, ,26.9,16.6,99,54,5.62,30.11
LANCELIN (DEFENCE),26/01/2023,7.5,0.0, ,31.2,15.0,94,34,5.34,30.00
LANCELIN (DEFENCE),27/01/2023,5.7,0.0, ,25.4,19.9,87,63,7.53,29.38
LANCELIN (DEFENCE),28/01/2023,7.2,0.0, ,31.5,14.1,91,45,5.91,29.97
LANCELIN (DEFENCE),29/01/2023,9.0,0.0, ,38.4,16.2,93,20,4.80,24.97
LANCELIN (DEFENCE),30/01/2023,6.5,0.0, ,30.3,15.6,90,26,3.53,26.14
LANCELIN (DEFENCE),31/01/2023,5.7,0.0, ,27.2,19.4,100,52,4.20,28.84
Totals:,,229,0, ,,,,,, 
