'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LANCELIN (DEFENCE) Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LANCELIN (DEFENCE),01/05/2023,2.9,0.0, ,22.4,9.6,94,52,3.89,15.71
LANCELIN (DEFENCE),02/05/2023,3.9,0.0, ,24.9,11.7,89,35,4.24,15.59
LANCELIN (DEFENCE),03/05/2023,5.3,0.0, ,30.7,10.4,92,18,4.09,15.27
LANCELIN (DEFENCE),04/05/2023,2.7,0.0, ,22.7,11.7,100,55,3.60,15.28
LANCELIN (DEFENCE),05/05/2023,4.0,0.0, ,24.8,12.8,99,40,6.14,13.99
LANCELIN (DEFENCE),06/05/2023,2.6,3.0, ,20.1,12.4,100,56,6.86,10.00
LANCELIN (DEFENCE),07/05/2023,2.9,5.6, ,23.2,12.7,99,51,6.04,6.95
LANCELIN (DEFENCE),08/05/2023,4.2,0.6, ,28.1,15.4,76,32,4.07,10.84
LANCELIN (DEFENCE),09/05/2023,3.7,0.0, ,26.2,17.8,100,37,4.41,13.92
LANCELIN (DEFENCE),10/05/2023,2.9,1.0, ,21.4,16.9,99,49,6.20,8.63
LANCELIN (DEFENCE),11/05/2023,2.5,0.2, ,21.1,13.6,75,46,2.69,10.02
LANCELIN (DEFENCE),12/05/2023,3.6,0.0, ,24.6,9.7,73,32,3.51,13.15
LANCELIN (DEFENCE),13/05/2023,2.6,2.0, ,21.0,13.6,99,57,5.41,13.33
LANCELIN (DEFENCE),14/05/2023,2.5,2.0, ,21.2,10.4,99,50,3.59,13.92
LANCELIN (DEFENCE),15/05/2023,3.1,0.0, ,23.0,9.7,86,36,3.24,14.02
LANCELIN (DEFENCE),16/05/2023,3.7,0.0, ,26.2,9.9,89,34,3.85,13.59
LANCELIN (DEFENCE),17/05/2023,5.2,0.0, ,28.6,11.2,77,22,4.90,13.33
LANCELIN (DEFENCE),18/05/2023,6.3,0.0, ,30.7,15.0,37,17,4.92,11.76
LANCELIN (DEFENCE),19/05/2023,5.5,0.0, ,27.9,14.7,46,18,4.69,13.52
LANCELIN (DEFENCE),20/05/2023,4.1,0.0, ,25.8,12.1,74,26,4.10,13.65
LANCELIN (DEFENCE),21/05/2023,3.6,0.0, ,24.4,11.0,67,27,3.42,11.92
LANCELIN (DEFENCE),22/05/2023,3.1,0.0, ,22.9,12.7,82,30,3.55,6.37
LANCELIN (DEFENCE),23/05/2023,3.4,0.6, ,25.1,13.5,100,31,4.36,8.08
LANCELIN (DEFENCE),24/05/2023,2.1,8.4, ,20.1,15.7,100,61,4.78,11.22
LANCELIN (DEFENCE),25/05/2023,2.7,1.0, ,19.3,10.7,82,47,4.18,12.91
LANCELIN (DEFENCE),26/05/2023,2.7,0.0, ,20.3,4.5,95,37,3.62,13.13
LANCELIN (DEFENCE),27/05/2023,2.7,0.0, ,19.7,8.3,74,45,3.78,13.06
LANCELIN (DEFENCE),28/05/2023,3.0,0.0, ,23.2,5.0,85,28,3.06,11.43
LANCELIN (DEFENCE),29/05/2023,3.8,0.0, ,23.9,9.9,61,28,4.00,9.19
LANCELIN (DEFENCE),30/05/2023,3.0,0.0, ,25.4,17.4,99,30,3.47,9.11
LANCELIN (DEFENCE),31/05/2023,1.2,0.0, ,21.6,16.0,100,76,2.45,5.10
Totals:,,105.5,24.4, ,,,,,, 
