'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON AERO Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON AERO,01/11/2022,6.8,0.0, ,24.1,10.9,63,26,5.62,28.68
LAVERTON AERO,02/11/2022,6.7,0.0, ,24.7,13.7,69,24,4.99,28.27
LAVERTON AERO,03/11/2022,7.9,0.0, ,28.0,12.2,61,14,5.10,28.90
LAVERTON AERO,04/11/2022,9.2,0.0, ,32.4,16.3,38,7,4.78,28.82
LAVERTON AERO,05/11/2022,9.9,0.0, ,35.8,18.0,36,6,4.67,29.12
LAVERTON AERO,06/11/2022,12.3,0.0, ,36.6,15.6,54,13,8.80,26.44
LAVERTON AERO,07/11/2022,10.3,0.0, ,34.3,20.9,53,11,5.95,29.28
LAVERTON AERO,08/11/2022,6.7,0.0, ,27.4,19.2,80,27,5.95,20.84
LAVERTON AERO,09/11/2022,6.1,1.4, ,28.2,13.0,87,26,3.59,25.30
LAVERTON AERO,10/11/2022,9.9,0.0, ,34.4,17.1,55,10,5.78,27.05
LAVERTON AERO,11/11/2022,9.6,0.0, ,29.4,18.9,46,19,7.23,28.44
LAVERTON AERO,12/11/2022,7.6,0.0, ,23.7,11.7,59,13,6.06,29.77
LAVERTON AERO,13/11/2022,7.2,0.0, ,25.1,12.6,67,24,6.04,28.81
LAVERTON AERO,14/11/2022, ,0.0, , ,12.3,67,17,5.82,29.81
LAVERTON AERO,15/11/2022,7.5, , ,25.0,13.5,49,19,6.54,22.32
LAVERTON AERO,16/11/2022,10.2,0.0, ,33.1,15.6,77,13,7.27,29.49
LAVERTON AERO,17/11/2022,9.9,0.4, ,32.1,20.2,82,13,8.24,27.09
LAVERTON AERO,18/11/2022,8.7,0.0, ,25.2,16.2,50,18,8.19,27.27
LAVERTON AERO,19/11/2022,7.3,0.0, ,23.2,10.4,53,15,5.46,30.37
LAVERTON AERO,20/11/2022,7.8,0.0, ,27.9,12.2,39,12,4.06,30.45
LAVERTON AERO,21/11/2022,9.0,0.0, ,28.7,14.0,63,14,6.65,30.51
LAVERTON AERO,22/11/2022,10.3,0.0, ,31.6,15.4,36,7,6.14,30.58
LAVERTON AERO,23/11/2022,8.9,0.0, ,33.5,18.5,62,17,5.81,22.37
LAVERTON AERO,24/11/2022,10.3,0.0, ,36.5,22.1,45,17,5.64,27.23
LAVERTON AERO,25/11/2022,9.9,0.6, ,35.6,21.8,72,12,6.24,24.75
LAVERTON AERO,26/11/2022,8.8,0.0, ,32.3,17.8,71,13,4.72,30.86
LAVERTON AERO,27/11/2022,10.2,0.0, ,31.4,17.5,48,21,7.52,30.92
LAVERTON AERO,28/11/2022,9.8,0.0, ,31.3,16.4,51,17,6.68,29.70
LAVERTON AERO,29/11/2022,9.7,0.0, ,32.3,16.8,46,8,5.21,31.04
LAVERTON AERO,30/11/2022,11.8,0.0, ,37.5,21.0,25,7,5.71,31.09
Totals:,,260.3,2.4, ,,,,,, 
