'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON AERO Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON AERO,01/02/2023,11.6,0.0, ,37.0,22.0,39,12,6.51,28.79
LAVERTON AERO,02/02/2023,10.7,0.0, ,32.9,18.9,57,8,7.08,29.50
LAVERTON AERO,03/02/2023,9.4,0.0, ,31.6,18.3,63,17,6.35,29.42
LAVERTON AERO,04/02/2023,8.3,0.0, ,30.9,16.9,55,16,5.03,25.71
LAVERTON AERO,05/02/2023,9.8,0.0, ,36.4,19.7,37,8,4.45,29.20
LAVERTON AERO,06/02/2023,11.0,0.0, ,40.1,23.6,22,6,4.65,29.06
LAVERTON AERO,07/02/2023,12.0,0.0, ,43.8,26.1,16,8,5.03,26.80
LAVERTON AERO,08/02/2023,11.3,0.0, ,41.9,25.8,30,9,4.79,28.81
LAVERTON AERO,09/02/2023,11.1,0.0, ,39.7,25.9,41,15,5.47,28.22
LAVERTON AERO,10/02/2023,10.6,0.0, ,38.4,26.0,34,13,6.10,17.88
LAVERTON AERO,11/02/2023,11.0,0.0, ,41.1,27.3,27,10,5.04,24.29
LAVERTON AERO,12/02/2023,10.6,0.0, ,37.6,20.0,60,17,6.10,28.32
LAVERTON AERO,13/02/2023,11.1,0.0, ,37.9,20.8,60,17,6.74,28.15
LAVERTON AERO,14/02/2023,11.1,0.0, ,41.4,25.8,34,12,5.26,25.26
LAVERTON AERO,15/02/2023,11.3,0.0, ,39.9,24.2,44,9,5.51,27.91
LAVERTON AERO,16/02/2023,11.0,0.0, ,39.9,21.9,43,10,5.25,27.74
LAVERTON AERO,17/02/2023,11.0,0.0, ,42.5,25.6,32,10,4.81,25.82
LAVERTON AERO,18/02/2023,13.1,0.0, ,41.3,24.1,34,9,6.92,27.49
LAVERTON AERO,19/02/2023,13.8,0.0, ,43.4,28.6,43,9,7.59,24.18
LAVERTON AERO,20/02/2023,9.9,1.2, ,40.4,28.9,78,18,7.36,15.33
LAVERTON AERO,21/02/2023,10.3,10.6, ,40.7,23.2,58,17,5.25,25.93
LAVERTON AERO,22/02/2023,9.3,0.0, ,41.4,28.2,63,15,4.36,23.35
LAVERTON AERO,23/02/2023,2.6,0.2, ,26.0,24.0,97,56,3.83,6.42
LAVERTON AERO,24/02/2023,5.6,11.2, ,27.9,16.5,100,42,5.98,22.27
LAVERTON AERO,25/02/2023,8.2,0.0, ,29.6,16.6,58,18,5.80,26.56
LAVERTON AERO,26/02/2023,8.5,0.0, ,32.2,16.8,50,24,5.56,26.41
LAVERTON AERO,27/02/2023,10.7,0.0, ,36.6,21.4,37,16,6.48,25.20
LAVERTON AERO,28/02/2023,9.5,0.0, ,33.8,21.1,58,27,7.67,23.78
Totals:,,284.4,23.2, ,,,,,, 
