'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON AERO Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON AERO,01/03/2023,9.0,0.0, ,32.1,18.3,66,15,6.42,25.98
LAVERTON AERO,02/03/2023,9.2,0.0, ,33.4,18.7,48,13,5.57,25.73
LAVERTON AERO,03/03/2023,9.8,0.0, ,38.4,21.6,36,12,4.77,25.68
LAVERTON AERO,04/03/2023,10.8,0.0, ,40.7,27.5,45,9,5.57,23.09
LAVERTON AERO,05/03/2023,8.1,0.0, ,31.5,20.8,61,19,5.24,25.36
LAVERTON AERO,06/03/2023,8.4,0.0, ,33.4,18.8,38,15,4.55,25.18
LAVERTON AERO,07/03/2023,8.7,0.0, ,31.9,18.5,53,20,6.09,25.01
LAVERTON AERO,08/03/2023,8.2,0.0, ,30.3,17.5,49,11,5.20,24.80
LAVERTON AERO,09/03/2023,9.4,0.0, ,36.0,17.9,43,9,5.00,24.66
LAVERTON AERO,10/03/2023,8.6,0.0, ,35.4,17.6,28,8,4.12,24.55
LAVERTON AERO,11/03/2023,7.9,0.0, ,32.3,18.7,68,19,5.16,24.38
LAVERTON AERO,12/03/2023,8.0,0.0, ,32.1,18.6,63,17,5.15,24.20
LAVERTON AERO,13/03/2023,7.7,0.0, ,35.3,20.0,44,12,3.62,23.99
LAVERTON AERO,14/03/2023,8.7,0.0, ,39.7,24.0,27,8,3.68,23.85
LAVERTON AERO,15/03/2023,8.5,0.0, ,40.9,21.8,32,7,3.42,23.67
LAVERTON AERO,16/03/2023,10.9,0.0, ,42.8,26.4,20,6,4.96,23.51
LAVERTON AERO,17/03/2023,9.5,0.0, ,33.1,23.7,46,10,6.23,23.04
LAVERTON AERO,18/03/2023,8.1,0.0, ,32.1,18.4,61,22,5.93,23.11
LAVERTON AERO,19/03/2023,8.8,0.0, ,31.7,19.3,53,24,7.64,21.05
LAVERTON AERO,20/03/2023,9.1,0.0, ,34.7,18.8,61,22,6.71,22.69
LAVERTON AERO,21/03/2023,10.5,0.0, ,37.9,22.1,47,15,6.73,21.52
LAVERTON AERO,22/03/2023,10.3,0.0, ,38.8,24.7,39,13,6.09,20.24
LAVERTON AERO,23/03/2023,7.6,0.0, ,33.2,27.0,40,19,5.23,11.54
LAVERTON AERO,24/03/2023,8.2,0.0, ,36.9,23.1,48,18,4.98,17.10
LAVERTON AERO,25/03/2023,3.2,0.8, ,25.4,21.2,99,38,3.39,9.11
LAVERTON AERO,26/03/2023,3.7,6.2, ,28.0,19.6,100,57,3.61,15.49
LAVERTON AERO,27/03/2023,2.1,0.4, ,22.5,19.0,95,79,5.94,8.28
LAVERTON AERO,28/03/2023,4.0,0.0, ,25.3,15.1,100,47,4.56,16.90
LAVERTON AERO,29/03/2023,5.4,0.0, ,25.0,16.8,61,40,6.58,12.99
LAVERTON AERO,30/03/2023,2.6,2.4, ,18.6,15.9,96,46,4.84,6.63
LAVERTON AERO,31/03/2023,3.2,2.4, ,22.2,15.6,90,63,5.24,13.84
Totals:,,238.2,12.2, ,,,,,, 
