'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON AERO Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON AERO,01/04/2023,2.6,0.2, ,22.7,16.2,90,68,4.37,10.59
LAVERTON AERO,02/04/2023,4.4,0.0, ,29.1,16.0,100,41,3.75,16.95
LAVERTON AERO,03/04/2023,3.7,0.0, ,29.9,17.7,97,51,3.30,13.65
LAVERTON AERO,04/04/2023,2.8,5.8, ,27.5,18.8,100,60,3.89,9.33
LAVERTON AERO,05/04/2023,4.6,16.0, ,27.1,15.8,100,32,3.41,20.42
LAVERTON AERO,06/04/2023,4.4,0.2, ,25.7,10.7,89,27,3.03,20.17
LAVERTON AERO,07/04/2023,4.3,0.0, ,23.9,15.0,67,44,5.62,10.53
LAVERTON AERO,08/04/2023,6.1,0.0, ,30.0,18.1,70,25,4.77,17.82
LAVERTON AERO,09/04/2023,5.0,0.0, ,30.0,14.3,90,25,3.23,19.69
LAVERTON AERO,10/04/2023,7.5,0.0, ,34.0,17.5,62,21,5.45,18.67
LAVERTON AERO,11/04/2023,5.4,0.0, ,25.2,16.9,60,26,4.55,19.34
LAVERTON AERO,12/04/2023,5.8,0.0, ,30.4,13.3,54,17,3.59,19.19
LAVERTON AERO,13/04/2023,5.6,0.0, ,33.6,18.7,100,37,5.21,16.91
LAVERTON AERO,14/04/2023,4.5,5.6, ,21.0,15.9,100,26,7.17,16.49
LAVERTON AERO,15/04/2023,4.1,0.0, ,19.5,8.3,62,26,3.79,18.78
LAVERTON AERO,16/04/2023,3.7,0.0, ,23.5,8.2,72,24,2.37,18.64
LAVERTON AERO,17/04/2023,4.1,0.0, ,24.8,11.0,61,21,2.57,17.76
LAVERTON AERO,18/04/2023,5.3,0.0, ,25.4,11.2,58,29,4.92,18.33
LAVERTON AERO,19/04/2023, ,0.0, , ,11.7,71,26,6.14,18.17
LAVERTON AERO,20/04/2023, , , ,22.3, ,63,28,5.09,18.15
LAVERTON AERO,21/04/2023,5.0,0.0, ,25.5,9.1,70,21,4.16,17.89
LAVERTON AERO,22/04/2023,6.3,0.0, ,29.1,11.5,51,10,4.54,17.61
LAVERTON AERO,23/04/2023,6.4,0.0, ,30.0,13.7,40,16,4.58,17.61
LAVERTON AERO,24/04/2023,6.0,0.0, ,30.3,18.6,75,21,5.52,11.77
LAVERTON AERO,25/04/2023,2.2,4.6, ,22.6,17.1,100,63,4.54,7.07
LAVERTON AERO,26/04/2023,2.9,10.2, ,19.9,8.8,100,46,3.58,17.31
LAVERTON AERO,27/04/2023,2.8,0.0, ,22.9,8.3,100,33,1.73,17.17
LAVERTON AERO,28/04/2023,3.4,0.2, ,19.6,10.8,90,43,4.95,16.78
LAVERTON AERO,29/04/2023,3.1,0.0, ,19.7,6.9,81,33,2.89,16.87
LAVERTON AERO,30/04/2023,3.2,0.0, ,20.8,8.4,78,27,2.88,13.31
Totals:,,125.2,42.8, ,,,,,, 
