'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON AERO Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON AERO,01/08/2023,5.3,0.0, ,26.9,8.2,61,12,4.33,15.59
LAVERTON AERO,02/08/2023,5.3,0.0, ,26.6,16.3,96,16,6.47,10.26
LAVERTON AERO,03/08/2023,2.7,22.0, ,16.9,12.2,100,48,5.63,15.12
LAVERTON AERO,04/08/2023,2.1,0.0, ,14.8,6.3,100,56,4.82,14.45
LAVERTON AERO,05/08/2023,3.2,0.0, ,20.3,7.1,84,46,4.73,16.11
LAVERTON AERO,06/08/2023,4.0,0.0, ,26.3,11.6,79,31,3.75,14.30
LAVERTON AERO,07/08/2023,5.6,0.0, ,27.9,14.7,63,22,5.00,16.06
LAVERTON AERO,08/08/2023,6.0,0.0, ,28.1,17.3,48,18,5.06,15.38
LAVERTON AERO,09/08/2023,3.7,0.0, ,23.4,15.3,73,34,3.53,15.12
LAVERTON AERO,10/08/2023,5.3,0.0, ,26.7,14.9,50,23,4.77,11.94
LAVERTON AERO,11/08/2023,4.4,0.0, ,24.3,16.5,53,30,3.94,14.01
LAVERTON AERO,12/08/2023,4.6,0.0, ,25.6,13.3,85,28,5.00,15.24
LAVERTON AERO,13/08/2023,3.5,0.0, ,24.2,12.8,98,37,3.86,14.39
LAVERTON AERO,14/08/2023,2.3,3.2, ,18.0,11.5,100,50,2.92,13.55
LAVERTON AERO,15/08/2023,3.3,0.0, ,22.3,7.7,99,26,2.80,17.13
LAVERTON AERO,16/08/2023,4.2,0.0, ,21.6,10.8,76,28,4.92,15.52
LAVERTON AERO,17/08/2023,3.3,0.0, ,17.1,7.3,97,30,4.50,17.48
LAVERTON AERO,18/08/2023,3.4,0.0, ,20.4,5.5,79,31,3.23,17.65
LAVERTON AERO,19/08/2023,4.1,0.0, ,22.9,8.1,69,18,3.14,17.76
LAVERTON AERO,20/08/2023,5.0,0.0, ,25.5,8.6,57,15,3.77,17.89
LAVERTON AERO,21/08/2023,4.2,0.0, ,21.3,9.3,59,26,3.86,18.04
LAVERTON AERO,22/08/2023,4.6,0.0, ,23.3,8.8,65,19,3.95,18.15
LAVERTON AERO,23/08/2023,6.0,0.0, ,26.6,13.2,40,23,5.26,15.86
LAVERTON AERO,24/08/2023,5.9,0.0, ,30.6,12.7,50,14,3.76,18.47
LAVERTON AERO,25/08/2023,7.0,0.0, ,31.2,14.9,48,10,4.72,18.39
LAVERTON AERO,26/08/2023,7.5,0.0, ,31.4,16.3,37,8,4.96,18.69
LAVERTON AERO,27/08/2023,8.3,0.0, ,31.1,18.5,20,6,5.61,18.83
LAVERTON AERO,28/08/2023,7.0,0.0, ,32.0,13.3,21,4,3.96,18.94
LAVERTON AERO,29/08/2023,5.9,0.0, ,28.0,12.3,45,19,4.14,19.10
LAVERTON AERO,30/08/2023,5.2,0.0, ,24.7,12.9,71,29,5.20,19.25
LAVERTON AERO,31/08/2023,5.8,0.0, ,25.3,11.7,53,22,5.04,19.38
Totals:,,148.7,25.2, ,,,,,, 
