'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEARMONTH AIRPORT Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEARMONTH AIRPORT,01/09/2022,4.7,0.0, ,27.3,11.2,89,44,4.64,19.13
LEARMONTH AIRPORT,02/09/2022,3.7,0.0, ,28.4,18.9,96,35,3.50,8.94
LEARMONTH AIRPORT,03/09/2022,4.8,17.6, ,26.2,16.9,92,45,5.05,21.09
LEARMONTH AIRPORT,04/09/2022,3.3,0.0, ,25.3,13.2,96,52,2.81,14.95
LEARMONTH AIRPORT,05/09/2022,4.8,0.2, ,26.6,14.5,93,34,4.52,17.98
LEARMONTH AIRPORT,06/09/2022,5.2,0.0, ,25.7,12.3,94,35,5.51,21.32
LEARMONTH AIRPORT,07/09/2022,5.2,0.0, ,25.2,9.3,93,26,4.44,22.50
LEARMONTH AIRPORT,08/09/2022,5.2,0.0, ,26.8,10.9,86,23,3.47,22.42
LEARMONTH AIRPORT,09/09/2022,4.5,0.0, ,27.3,14.8,91,38,3.75,16.84
LEARMONTH AIRPORT,10/09/2022,5.8,0.0, ,28.3,11.1,91,33,4.91,22.88
LEARMONTH AIRPORT,11/09/2022,5.4,0.0, ,28.1,11.9,84,25,3.30,22.99
LEARMONTH AIRPORT,12/09/2022,4.7,0.0, ,27.5,11.9,95,38,3.28,21.63
LEARMONTH AIRPORT,13/09/2022,4.4,0.8, ,27.5,15.0,95,45,4.57,15.85
LEARMONTH AIRPORT,14/09/2022,6.5,0.0, ,26.9,11.2,90,24,6.21,23.33
LEARMONTH AIRPORT,15/09/2022,7.3,0.0, ,28.7,11.7,81,15,5.89,23.47
LEARMONTH AIRPORT,16/09/2022,7.5,0.0, ,30.9,13.3,80,11,5.01,23.62
LEARMONTH AIRPORT,17/09/2022, ,0.0, , ,12.1,72,13,3.68,23.73
LEARMONTH AIRPORT,18/09/2022,6.9,0.0, ,29.9,14.9,85,26,5.52,23.86
LEARMONTH AIRPORT,19/09/2022,6.4,0.0, ,26.5,13.5,88,34,7.76,23.05
LEARMONTH AIRPORT,20/09/2022,7.5,0.0, ,28.5,10.0,73,16,6.00,23.98
LEARMONTH AIRPORT,21/09/2022,6.0,0.0, ,28.4,11.2,80,29,4.26,24.19
LEARMONTH AIRPORT,22/09/2022,8.0,0.0, ,32.5,13.1,91,14,5.47,24.31
LEARMONTH AIRPORT,23/09/2022,8.4,0.0, ,33.3,14.6,84,11,5.42,24.44
LEARMONTH AIRPORT,24/09/2022,8.3,0.0, ,29.8,15.8,87,17,7.78,24.54
LEARMONTH AIRPORT,25/09/2022,8.6,0.0, ,30.3,14.9,84,18,8.09,24.62
LEARMONTH AIRPORT,26/09/2022,9.0,0.0, ,32.6,12.8,72,9,6.06,24.76
LEARMONTH AIRPORT,27/09/2022,8.2,0.0, ,32.2,13.7,53,9,4.60,24.86
LEARMONTH AIRPORT,28/09/2022,7.3,0.0, ,30.9,13.1,73,11,4.22,24.74
LEARMONTH AIRPORT,29/09/2022,6.8,0.0, ,29.1,15.3,92,29,6.08,24.97
LEARMONTH AIRPORT,30/09/2022,7.7,0.0, ,30.9,16.5,81,29,6.60,25.18
Totals:,,182.1,18.6, ,,,,,, 
