'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEARMONTH AIRPORT Western Australia for November 2023,,,,,,,,,,
Issued at 06:31 GMT on Saturday 04 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEARMONTH AIRPORT,28/10/2023,12.3,0.0, ,40.6,20.5,55,9,6.60,26.11
LEARMONTH AIRPORT,29/10/2023,11.2,0.0, ,38.6,18.7,68,12,6.27,28.42
LEARMONTH AIRPORT,30/10/2023,13.2,0.0, ,38.4,16.8,81,8,8.95,28.68
LEARMONTH AIRPORT,31/10/2023,10.0,0.0, ,36.4,18.1,85,20,6.60,28.67
LEARMONTH AIRPORT,01/11/2023,9.6,0.0, ,36.2,19.8,86,16,5.64,28.75
LEARMONTH AIRPORT,02/11/2023,8.5,0.0, ,34.3,19.6,91,24,5.40,28.84
LEARMONTH AIRPORT,03/11/2023, ,0.0, , ,16.5,96,22,4.24,27.23
Totals:,,64.8,0, ,,,,,, 
