'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEGENDRE ISLAND Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEGENDRE ISLAND,01/11/2022,8.5, , ,28.3,20.2,71,25,7.60,28.60
LEGENDRE ISLAND,02/11/2022,7.4, , ,29.5,20.5,79,33,5.29,28.74
LEGENDRE ISLAND,03/11/2022,7.4, , ,29.5,21.3,78,33,5.09,28.77
LEGENDRE ISLAND,04/11/2022,8.5, , ,32.9,23.3,79,23,5.11,28.91
LEGENDRE ISLAND,05/11/2022,6.1, , ,29.3,23.3,92,64,6.57,28.61
LEGENDRE ISLAND,06/11/2022,6.4, , ,27.5,22.8,86,51,9.43,23.50
LEGENDRE ISLAND,07/11/2022,7.8, , ,27.3,21.2,73,45,10.89,27.18
LEGENDRE ISLAND,08/11/2022,8.3, , ,27.2,20.5,75,37,10.71,29.12
LEGENDRE ISLAND,09/11/2022,7.1, , ,27.6,20.6,77,54,9.42,29.21
LEGENDRE ISLAND,10/11/2022,8.0, , ,27.3,21.6,74,47,12.01,29.21
LEGENDRE ISLAND,11/11/2022,7.1, , ,27.2,21.0,76,55,10.18,29.32
LEGENDRE ISLAND,12/11/2022,8.4, , ,30.6,21.6,79,33,7.32,29.36
LEGENDRE ISLAND,13/11/2022,7.8, , ,29.3,22.1,89,26,6.08,29.39
LEGENDRE ISLAND,14/11/2022,5.9, , ,28.4,22.5,86,66,3.58,29.28
LEGENDRE ISLAND,15/11/2022,4.9, , ,27.6,22.8,86,70,4.22,23.24
LEGENDRE ISLAND,16/11/2022,6.2, , ,28.0,23.3,83,61,4.59,29.44
LEGENDRE ISLAND,17/11/2022,7.6, , ,28.3,22.5,73,48,8.31,28.17
LEGENDRE ISLAND,18/11/2022,8.3, , ,28.3,20.7,77,42,11.56,29.37
LEGENDRE ISLAND,19/11/2022,8.9, , ,31.8,22.8,77,24,6.39,28.91
LEGENDRE ISLAND,20/11/2022,5.1, , ,29.1,23.8,81,49,4.95,14.86
LEGENDRE ISLAND,21/11/2022,5.4, , ,29.0,23.8,72,45,6.22,9.96
LEGENDRE ISLAND,22/11/2022,7.3, , ,30.2,23.8,82,55,7.41,29.43
LEGENDRE ISLAND,23/11/2022,6.3, , ,29.1,24.3,88,63,5.07,29.59
LEGENDRE ISLAND,24/11/2022,6.2, , ,29.6,24.1,89,66,3.89,29.65
LEGENDRE ISLAND,25/11/2022,6.1, , ,29.7,24.4,93,60,4.01,28.34
LEGENDRE ISLAND,26/11/2022,7.5, , ,32.0,24.4,85,52,6.34,29.88
LEGENDRE ISLAND,27/11/2022,8.2, , ,34.6,25.0,86,42,5.45,29.90
LEGENDRE ISLAND,28/11/2022,7.0, , ,30.6,25.1,85,62,7.52,29.82
LEGENDRE ISLAND,29/11/2022,6.5, , ,30.5,25.2,91,67,7.15,29.86
LEGENDRE ISLAND,30/11/2022,6.2, , ,29.8,24.4,91,70,6.15,29.90
Totals:,,212.4, , ,,,,,, 
