'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEGENDRE ISLAND Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEGENDRE ISLAND,01/05/2023,4.8, , ,29.1,23.3,74,32,3.60,15.09
LEGENDRE ISLAND,02/05/2023,4.9, , ,30.8,23.2,82,43,3.88,17.16
LEGENDRE ISLAND,03/05/2023,5.0, , ,29.9,23.2,89,50,5.04,19.51
LEGENDRE ISLAND,04/05/2023,5.1, , ,30.9,22.3,92,37,4.06,18.86
LEGENDRE ISLAND,05/05/2023, , , , ,24.1,86,40,3.81,8.95
LEGENDRE ISLAND,06/05/2023,5.5, , ,29.5,23.1,75,40,5.52,15.15
LEGENDRE ISLAND,07/05/2023,6.2, , ,29.0,25.7,77,45,7.97,17.98
LEGENDRE ISLAND,08/05/2023,6.3, , ,28.5,25.6,79,45,9.34,17.16
LEGENDRE ISLAND,09/05/2023,5.2, , ,27.8,24.1,90,51,7.86,18.82
LEGENDRE ISLAND,10/05/2023,5.3, , ,27.8,24.2,75,39,6.85,9.79
LEGENDRE ISLAND,11/05/2023,5.3, , ,28.2,20.9,75,38,4.84,18.70
LEGENDRE ISLAND,12/05/2023,5.4, , ,28.3,20.9,83,42,6.11,18.65
LEGENDRE ISLAND,13/05/2023,5.0, , ,28.5,20.2,88,30,4.18,18.53
LEGENDRE ISLAND,14/05/2023,5.1, , ,29.1,20.4,90,38,5.04,18.30
LEGENDRE ISLAND,15/05/2023,6.0, , ,26.5,22.3,78,36,7.73,18.32
LEGENDRE ISLAND,16/05/2023,4.7, , ,27.9,19.5,82,33,3.75,18.25
LEGENDRE ISLAND,17/05/2023,4.8, , ,27.5,19.0,83,40,4.77,18.10
LEGENDRE ISLAND,18/05/2023,5.2, , ,27.1,21.8,92,47,8.53,18.00
LEGENDRE ISLAND,19/05/2023,6.0, , ,28.2,22.0,82,37,7.43,17.95
LEGENDRE ISLAND,20/05/2023,7.4, , ,26.4,22.0,61,38,11.07,17.86
LEGENDRE ISLAND,21/05/2023,7.6, , ,24.0,21.5,54,39,12.89,17.74
LEGENDRE ISLAND,22/05/2023,6.7, , ,24.7,21.3,65,36,10.06,17.70
LEGENDRE ISLAND,23/05/2023,4.9, , ,25.2,18.4,79,40,6.21,16.80
LEGENDRE ISLAND,24/05/2023,4.3, , ,26.5,16.8,79,35,3.66,17.61
LEGENDRE ISLAND,25/05/2023,4.5, , ,27.3,18.1,86,36,4.26,17.59
LEGENDRE ISLAND,26/05/2023,5.3, , ,26.6,19.1,85,40,7.37,17.48
LEGENDRE ISLAND,27/05/2023,6.1, , ,25.9,20.4,59,36,6.98,17.39
LEGENDRE ISLAND,28/05/2023,5.8, , ,24.9,19.7,70,41,8.74,17.29
LEGENDRE ISLAND,29/05/2023,5.1, , ,24.6,18.0,87,42,8.87,17.14
LEGENDRE ISLAND,30/05/2023,4.2, , ,25.7,17.6,88,49,5.70,17.22
LEGENDRE ISLAND,31/05/2023,3.7, , ,26.0,16.7,92,38,3.02,17.21
Totals:,,161.4, , ,,,,,, 
