'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEGENDRE ISLAND Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEGENDRE ISLAND,01/09/2023, , , ,28.4, ,88,45,4.04,22.29
LEGENDRE ISLAND,02/09/2023,6.5, , ,30.1,21.1,87,36,6.31,22.41
LEGENDRE ISLAND,03/09/2023,7.0, , ,26.6,19.3,76,38,10.12,22.46
LEGENDRE ISLAND,04/09/2023,6.1, , ,27.7,19.6,77,35,5.42,22.61
LEGENDRE ISLAND,05/09/2023,4.8, , ,26.7,19.6,87,56,4.63,22.69
LEGENDRE ISLAND,06/09/2023,4.7, , ,26.7,20.0,78,59,3.70,22.79
LEGENDRE ISLAND,07/09/2023,5.0, , ,26.4,20.0,84,59,5.72,22.88
LEGENDRE ISLAND,08/09/2023,5.4, , ,26.6,20.6,88,36,4.31,23.04
LEGENDRE ISLAND,09/09/2023,6.0, , ,29.8,19.8,85,20,3.56,23.22
LEGENDRE ISLAND,10/09/2023,6.5, , ,31.7,21.9,85,34,4.69,23.34
LEGENDRE ISLAND,11/09/2023,5.9, , ,31.5,22.1,85,44,4.14,23.49
LEGENDRE ISLAND,12/09/2023,5.9, , ,29.9,23.8,87,42,4.32,23.34
LEGENDRE ISLAND,13/09/2023,6.1, , ,30.4,22.5,86,51,5.95,23.71
LEGENDRE ISLAND,14/09/2023,5.6, , ,27.2,20.7,85,55,7.02,23.90
LEGENDRE ISLAND,15/09/2023,5.5, , ,28.9,21.7,85,56,5.15,24.02
LEGENDRE ISLAND,16/09/2023,6.5, , ,32.0,21.9,88,29,3.99,24.18
LEGENDRE ISLAND,17/09/2023,5.3, , ,29.8,22.2,92,54,3.51,24.26
LEGENDRE ISLAND,18/09/2023,5.4, , ,28.6,23.0,90,57,5.04,24.24
LEGENDRE ISLAND,19/09/2023, , , , ,23.3,89,33,4.90,24.15
LEGENDRE ISLAND,20/09/2023,5.0, , ,28.3,22.9,89,69,4.41,24.57
LEGENDRE ISLAND,21/09/2023,6.0, , ,29.8,22.6,90,45,4.82,24.56
LEGENDRE ISLAND,22/09/2023,6.1, , ,30.8,23.1,86,52,5.01,24.74
LEGENDRE ISLAND,23/09/2023,7.6, , ,32.0,24.0,79,33,5.98,24.86
LEGENDRE ISLAND,24/09/2023,7.9, , ,31.9,24.9,73,31,5.93,25.00
LEGENDRE ISLAND,25/09/2023,7.4, , ,30.0,23.5,81,48,9.59,25.09
LEGENDRE ISLAND,26/09/2023,7.3, , ,32.0,22.6,87,39,6.43,25.27
LEGENDRE ISLAND,27/09/2023,7.5, , ,31.8,25.3,84,27,5.52,24.80
LEGENDRE ISLAND,28/09/2023,6.3, , ,31.8,23.7,88,51,4.80,25.53
LEGENDRE ISLAND,29/09/2023,6.8, , ,32.7,24.1,87,41,4.61,25.64
LEGENDRE ISLAND,30/09/2023,7.5, , ,33.8,24.1,90,20,4.33,25.66
Totals:,,173.6, , ,,,,,, 
