'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEINSTER AERO Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEINSTER AERO,01/10/2022,2.1,8.8, ,17.8,12.7,100,80,4.77,13.20
LEINSTER AERO,02/10/2022,1.7,1.6, ,14.9,11.6,100,77,4.87,9.66
LEINSTER AERO,03/10/2022,4.3,4.2, ,19.2,11.3,98,35,4.09,24.53
LEINSTER AERO,04/10/2022,4.5,0.0, ,22.4,7.5,98,24,2.40,25.12
LEINSTER AERO,05/10/2022,7.3,0.0, ,27.8,13.3,68,18,5.82,24.40
LEINSTER AERO,06/10/2022,5.8,0.0, ,22.0,12.2,73,17,4.65,25.24
LEINSTER AERO,07/10/2022,5.6,0.0, ,22.4,9.2,50,15,3.51,25.49
LEINSTER AERO,08/10/2022,6.4,0.0, ,25.9,9.7,51,14,3.85,25.63
LEINSTER AERO,09/10/2022,8.4,0.0, ,33.3,12.6,47,12,4.73,24.38
LEINSTER AERO,10/10/2022,5.3,0.0, ,22.2,17.5,47,19,4.41,12.51
LEINSTER AERO,11/10/2022,5.6,0.0, ,21.7,12.9,58,23,4.54,22.25
LEINSTER AERO,12/10/2022,6.0,0.0, ,20.8,12.8,49,22,5.45,22.47
LEINSTER AERO,13/10/2022,5.4,0.0, ,22.0,7.7,55,17,3.27,26.36
LEINSTER AERO,14/10/2022,5.9,0.0, ,26.4,8.7,48,10,2.73,26.47
LEINSTER AERO,15/10/2022,6.8,0.0, ,29.6,13.6,34,8,3.17,24.13
LEINSTER AERO,16/10/2022,9.1,0.0, ,32.1,15.4,32,9,6.08,17.46
LEINSTER AERO,17/10/2022,6.8,0.0, ,22.0,12.4,58,23,6.99,26.68
LEINSTER AERO,18/10/2022,6.6,0.0, ,25.9,11.0,61,14,4.00,27.05
LEINSTER AERO,19/10/2022,7.2,0.0, ,30.6,12.8,76,15,3.84,27.19
LEINSTER AERO,20/10/2022,10.2,0.0, ,34.7,20.0,35,11,5.76,27.25
LEINSTER AERO,21/10/2022,8.3,0.0, ,33.2,17.4,42,12,4.03,27.45
LEINSTER AERO,22/10/2022,8.5,0.0, ,31.5,17.6,48,17,5.16,26.38
LEINSTER AERO,23/10/2022,7.3,0.0, ,29.7,15.0,59,24,4.77,24.58
LEINSTER AERO,24/10/2022,8.1,0.0, ,30.4,18.1,55,22,5.40,26.17
LEINSTER AERO,25/10/2022,7.3,0.0, ,26.2,14.1,67,22,5.69,27.90
LEINSTER AERO,26/10/2022,6.8,0.0, ,28.2,14.4,73,20,3.81,27.85
LEINSTER AERO,27/10/2022,8.0,0.0, ,33.1,16.1,43,12,3.80,25.98
LEINSTER AERO,28/10/2022,9.7,0.0, ,35.7,20.5,53,8,5.01,26.83
LEINSTER AERO,29/10/2022,9.2,0.0, ,30.3,16.3,66,16,7.12,28.34
LEINSTER AERO,30/10/2022,5.5,0.0, ,20.2,13.3,76,32,8.08,18.97
LEINSTER AERO,31/10/2022,6.1,0.0, ,21.1,7.3,70,19,5.06,28.57
Totals:,,205.8,14.6, ,,,,,, 
