'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEINSTER AERO Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEINSTER AERO,01/11/2022,6.7,0.0, ,25.0,10.1,57,21,4.40,28.74
LEINSTER AERO,02/11/2022,6.9,0.0, ,26.8,12.9,55,24,4.06,28.74
LEINSTER AERO,03/11/2022,7.5,0.0, ,28.7,13.6,42,13,3.82,28.94
LEINSTER AERO,04/11/2022,8.4,0.0, ,33.0,14.1,34,8,3.72,29.02
LEINSTER AERO,05/11/2022,8.8,0.0, ,36.7,19.2,27,6,3.39,28.97
LEINSTER AERO,06/11/2022,12.7,0.0, ,38.9,20.1,46,6,7.05,28.84
LEINSTER AERO,07/11/2022,9.3,0.0, ,32.3,19.8,32,15,4.87,29.12
LEINSTER AERO,08/11/2022,8.2,0.0, ,27.3,17.6,60,17,6.16,27.74
LEINSTER AERO,09/11/2022,6.3,0.0, ,29.6,14.7,69,19,2.65,25.91
LEINSTER AERO,10/11/2022,9.5,0.0, ,33.7,16.5,51,12,5.12,29.42
LEINSTER AERO,11/11/2022,8.3,0.0, ,27.1,17.3,51,22,6.30,27.88
LEINSTER AERO,12/11/2022,7.4,0.0, ,24.2,12.1,62,11,5.17,29.75
LEINSTER AERO,13/11/2022,7.2,0.0, ,25.6,12.3,64,24,5.30,29.81
LEINSTER AERO,14/11/2022,8.0,0.0, ,27.7,15.1,48,20,5.10,29.77
LEINSTER AERO,15/11/2022, ,0.0, , ,15.6,48,15,5.17,26.68
LEINSTER AERO,16/11/2022,9.5, , ,34.7,17.7,74,14,6.00,25.65
LEINSTER AERO,17/11/2022,8.8,0.0, ,29.7,19.8,82,16,6.58,30.01
LEINSTER AERO,18/11/2022,7.7,0.0, ,24.4,14.3,59,23,7.52,26.24
LEINSTER AERO,19/11/2022,7.3,0.0, ,24.0,9.9,55,15,5.18,30.35
LEINSTER AERO,20/11/2022,7.7,0.0, ,28.7,12.6,40,10,3.67,30.44
LEINSTER AERO,21/11/2022,9.1,0.0, ,31.5,16.7,34,11,4.58,30.52
LEINSTER AERO,22/11/2022,9.1,0.0, ,32.5,16.4,31,9,4.23,30.58
LEINSTER AERO,23/11/2022,8.9,0.0, ,32.7,18.3,44,17,5.27,24.22
LEINSTER AERO,24/11/2022,8.2,0.0, ,36.7,21.5,79,19,4.68,21.42
LEINSTER AERO,25/11/2022,9.6,1.2, ,36.0,22.5,81,12,4.98,30.46
LEINSTER AERO,26/11/2022,9.2,0.0, ,34.0,19.8,31,8,3.88,30.84
LEINSTER AERO,27/11/2022,10.0,0.0, ,33.8,18.8,33,15,5.18,30.89
LEINSTER AERO,28/11/2022,9.3,0.0, ,32.8,20.8,40,20,5.13,28.78
LEINSTER AERO,29/11/2022,10.0,0.0, ,35.4,20.0,33,13,4.65,31.01
LEINSTER AERO,30/11/2022,11.9,0.0, ,39.3,21.8,51,9,5.91,30.95
Totals:,,251.5,1.2, ,,,,,, 
