'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEINSTER AERO Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEINSTER AERO,01/12/2022,10.6,0.0, ,38.9,24.3,44,9,5.03,26.01
LEINSTER AERO,02/12/2022,9.6,0.0, ,40.2,23.6,49,10,3.74,27.35
LEINSTER AERO,03/12/2022,9.1,0.0, ,42.4,24.5,22,8,2.99,26.46
LEINSTER AERO,04/12/2022,10.8,0.0, ,39.1,27.5,34,14,4.55,31.23
LEINSTER AERO,05/12/2022,12.7,0.0, ,42.4,25.4,34,8,5.60,30.64
LEINSTER AERO,06/12/2022,10.2,0.0, ,38.1,24.0,38,15,4.47,29.39
LEINSTER AERO,07/12/2022,11.4,0.0, ,37.1,19.7,54,17,6.65,30.83
LEINSTER AERO,08/12/2022,12.1,0.0, ,38.7,23.3,50,9,6.21,31.40
LEINSTER AERO,09/12/2022,10.7,0.0, ,37.8,22.1,43,11,4.87,31.39
LEINSTER AERO,10/12/2022,10.0,0.0, ,36.1,22.8,33,12,4.32,31.45
LEINSTER AERO,11/12/2022,9.6,0.0, ,31.9,19.8,55,19,5.82,31.44
LEINSTER AERO,12/12/2022,10.6,0.0, ,33.4,20.2,36,16,6.13,30.99
LEINSTER AERO,13/12/2022,12.0,0.0, ,35.6,21.3,26,13,6.89,30.12
LEINSTER AERO,14/12/2022,11.5,0.0, ,37.4,21.1,44,12,6.14,30.05
LEINSTER AERO,15/12/2022,9.3,0.0, ,31.9,18.1,56,28,6.26,31.45
LEINSTER AERO,16/12/2022,9.2,0.0, ,30.5,18.2,56,24,6.44,30.82
LEINSTER AERO,17/12/2022,7.7,0.0, ,29.3,17.5,66,29,5.60,26.45
LEINSTER AERO,18/12/2022,8.7,0.0, ,30.3,17.0,52,17,4.75,31.61
LEINSTER AERO,19/12/2022,9.1,0.0, ,33.4,18.0,45,10,4.07,31.59
LEINSTER AERO,20/12/2022,8.9,0.0, ,35.2,22.1,64,14,4.33,27.12
LEINSTER AERO,21/12/2022,7.5,1.4, ,30.6,19.8,80,19,5.67,20.05
LEINSTER AERO,22/12/2022,9.4,0.2, ,34.6,20.4,38,14,4.36,28.92
LEINSTER AERO,23/12/2022,10.3,0.0, ,36.6,23.0,27,8,4.29,31.60
LEINSTER AERO,24/12/2022,9.5,0.0, ,38.7,20.5,18,8,3.23,31.58
LEINSTER AERO,25/12/2022,9.0,0.0, ,38.5,26.3,38,10,4.35,17.34
LEINSTER AERO,26/12/2022,9.1,0.0, ,41.0,23.1,45,14,3.63,23.71
LEINSTER AERO,27/12/2022,10.9,0.0, ,37.3,27.0,24,13,5.29,25.78
LEINSTER AERO,28/12/2022,10.8,0.0, ,33.8,20.3,55,9,6.26,31.68
LEINSTER AERO,29/12/2022,9.7,0.0, ,34.7,19.8,29,8,4.18,31.67
LEINSTER AERO,30/12/2022,9.4,0.0, ,37.7,18.8,23,6,3.29,31.65
LEINSTER AERO,31/12/2022,11.0,0.0, ,41.4,21.8,22,5,4.06,31.51
Totals:,,310.4,1.6, ,,,,,, 
