'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEINSTER AERO Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEINSTER AERO,01/05/2023,3.7,0.0, ,24.3,8.5,82,22,2.64,17.01
LEINSTER AERO,02/05/2023,4.2,0.0, ,25.3,10.4,65,24,3.23,16.89
LEINSTER AERO,03/05/2023,4.5,0.0, ,27.1,11.4,70,23,3.40,16.70
LEINSTER AERO,04/05/2023,4.4,0.0, ,28.5,12.6,61,21,2.87,16.63
LEINSTER AERO,05/05/2023,4.3,0.0, ,28.6,13.1,64,20,2.80,16.32
LEINSTER AERO,06/05/2023,4.6,0.0, ,25.3,13.8,74,29,4.58,16.38
LEINSTER AERO,07/05/2023,4.6,0.0, ,24.4,11.4,72,24,4.58,16.28
LEINSTER AERO,08/05/2023,4.6,0.0, ,24.2,11.0,61,26,4.46,16.17
LEINSTER AERO,09/05/2023,5.1,0.0, ,24.7,9.0,49,14,4.35,16.03
LEINSTER AERO,10/05/2023,4.6,0.0, ,23.5,13.9,63,17,4.65,8.09
LEINSTER AERO,11/05/2023,3.2,0.0, ,22.7,11.9,88,37,3.12,15.82
LEINSTER AERO,12/05/2023,4.2,0.0, ,25.9,9.5,68,29,3.67,15.76
LEINSTER AERO,13/05/2023,4.7,0.0, ,25.5,16.6,97,22,6.11,10.84
LEINSTER AERO,14/05/2023,2.9,0.2, ,18.9,9.2,99,39,4.37,15.57
LEINSTER AERO,15/05/2023,3.0,0.0, ,21.9,6.5,97,36,3.09,15.47
LEINSTER AERO,16/05/2023,4.1,0.0, ,25.4,9.3,98,19,3.90,15.38
LEINSTER AERO,17/05/2023,4.2,0.0, ,24.8,9.8,64,21,3.81,13.87
LEINSTER AERO,18/05/2023,3.7,0.0, ,23.8,9.0,65,23,3.09,15.20
LEINSTER AERO,19/05/2023,3.5,0.0, ,21.7,8.5,68,27,3.52,15.11
LEINSTER AERO,20/05/2023,3.2,0.0, ,20.4,7.5,70,34,3.45,15.02
LEINSTER AERO,21/05/2023,3.0,0.0, ,20.4,3.8,87,32,3.39,14.94
LEINSTER AERO,22/05/2023,3.1,0.0, ,22.5,7.7,84,31,3.05,14.86
LEINSTER AERO,23/05/2023,3.9,0.0, ,23.8,10.3,62,25,3.59,14.62
LEINSTER AERO,24/05/2023,3.9,0.0, ,25.4,11.4,48,17,2.89,14.12
LEINSTER AERO,25/05/2023,3.5,0.0, ,19.4,12.7,77,39,5.44,14.62
LEINSTER AERO,26/05/2023,3.1,0.0, ,18.0,6.4,72,32,3.99,14.55
LEINSTER AERO,27/05/2023,2.3,0.0, ,18.5,4.1,79,32,2.16,13.31
LEINSTER AERO,28/05/2023,3.0,0.0, ,22.0,3.3,75,22,2.58,14.21
LEINSTER AERO,29/05/2023,3.9,0.0, ,23.7,7.4,58,15,3.31,13.11
LEINSTER AERO,30/05/2023,5.1,0.0, ,26.6,14.0,32,10,3.90,13.72
LEINSTER AERO,31/05/2023,4.2,0.0, ,27.4,9.4,37,11,2.91,13.94
Totals:,,120.3,0.2, ,,,,,, 
