'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEONORA AERO Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEONORA AERO,01/10/2022,2.1,3.2, ,17.0,13.3,95,70,4.87,8.84
LEONORA AERO,02/10/2022,4.5,0.0, ,19.9,12.1,82,39,5.72,20.03
LEONORA AERO,03/10/2022,4.9,0.0, ,19.9,10.4,71,30,4.27,23.90
LEONORA AERO,04/10/2022,5.1,0.0, ,24.0,8.8,73,21,2.90,24.79
LEONORA AERO,05/10/2022,8.0,0.0, ,28.6,11.1,55,14,6.08,24.64
LEONORA AERO,06/10/2022,5.5,0.0, ,22.3,12.0,76,15,3.94,24.93
LEONORA AERO,07/10/2022,5.6,0.0, ,22.6,9.2,41,17,3.53,24.37
LEONORA AERO,08/10/2022,6.4,0.0, ,25.2,9.7,47,13,4.05,25.37
LEONORA AERO,09/10/2022,7.9,0.0, ,32.5,13.1,40,10,4.18,23.99
LEONORA AERO,10/10/2022,6.0,0.0, ,24.9,17.6,41,19,4.36,15.20
LEONORA AERO,11/10/2022,5.2,0.0, ,22.1,12.0,59,18,3.21,22.92
LEONORA AERO,12/10/2022,5.8,0.0, ,20.6,11.7,49,14,4.71,20.59
LEONORA AERO,13/10/2022,5.4,0.0, ,22.2,9.2,61,16,3.20,26.12
LEONORA AERO,14/10/2022,5.4,0.0, ,26.1,7.5,50,9,2.18,26.25
LEONORA AERO,15/10/2022,6.2,0.0, ,30.0,10.7,34,7,2.52,23.68
LEONORA AERO,16/10/2022,10.8,0.0, ,33.6,19.2,31,7,7.36,19.69
LEONORA AERO,17/10/2022,7.0,0.0, ,23.0,13.1,50,19,6.41,24.27
LEONORA AERO,18/10/2022,6.4,0.0, ,24.8,10.2,60,23,4.54,26.83
LEONORA AERO,19/10/2022,6.6,0.0, ,29.7,14.5,66,17,3.12,26.97
LEONORA AERO,20/10/2022,10.7,0.0, ,35.4,19.8,38,10,6.26,27.09
LEONORA AERO,21/10/2022,7.5,0.0, ,32.8,16.0,46,13,3.29,27.26
LEONORA AERO,22/10/2022,8.0,0.0, ,28.7,17.8,52,23,6.00,24.61
LEONORA AERO,23/10/2022,6.9,0.0, ,27.6,13.5,68,25,5.40,24.05
LEONORA AERO,24/10/2022,8.8,0.0, ,30.8,16.1,44,20,6.15,25.20
LEONORA AERO,25/10/2022,6.7,0.0, ,25.9,14.6,66,25,4.81,26.94
LEONORA AERO,26/10/2022,6.7,0.0, ,27.7,15.2,69,13,3.34,27.70
LEONORA AERO,27/10/2022,8.1,0.0, ,30.9,15.3,38,15,4.57,25.40
LEONORA AERO,28/10/2022,8.8,0.0, ,34.1,18.2,72,20,6.28,21.84
LEONORA AERO,29/10/2022,8.9,6.0, ,30.5,14.1,75,14,6.85,26.19
LEONORA AERO,30/10/2022,4.4,0.0, ,18.7,14.2,74,39,6.54,13.62
LEONORA AERO,31/10/2022,5.6,0.2, ,21.5,5.8,78,22,4.00,28.38
Totals:,,205.9,9.4, ,,,,,, 
