'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEONORA AERO Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEONORA AERO,01/10/2023,6.2,0.0, ,30.8,11.3,43,8,2.67,24.14
LEONORA AERO,02/10/2023,7.6,0.0, ,26.0,15.1,56,20,7.02,23.56
LEONORA AERO,03/10/2023,5.9,0.0, ,23.1,9.5,50,16,4.08,24.44
LEONORA AERO,04/10/2023,6.2,0.0, ,25.6,10.8,44,16,3.78,24.58
LEONORA AERO,05/10/2023,6.8,0.0, ,28.3,12.0,39,11,3.69,24.76
LEONORA AERO,06/10/2023,7.6,0.0, ,30.8,17.1,35,9,3.97,24.94
LEONORA AERO,07/10/2023,8.5,0.0, ,33.5,17.5,32,8,4.34,25.10
LEONORA AERO,08/10/2023,8.0,0.0, ,35.6,18.4,27,7,3.39,25.27
LEONORA AERO,09/10/2023,7.7,0.0, ,37.1,16.9,27,8,2.91,25.41
LEONORA AERO,10/10/2023,10.5,0.0, ,39.5,21.0,27,5,4.99,24.64
LEONORA AERO,11/10/2023,7.7,0.0, ,28.5,18.3,57,14,5.50,22.55
LEONORA AERO,12/10/2023,7.6,0.0, ,26.8,14.2,55,17,5.88,25.49
LEONORA AERO,13/10/2023,8.3,0.0, ,29.4,15.6,36,9,5.14,24.28
LEONORA AERO,14/10/2023,8.2,0.0, ,30.6,15.6,27,7,4.34,26.03
LEONORA AERO,15/10/2023,8.7,0.0, ,31.7,14.5,33,7,4.77,26.20
LEONORA AERO,16/10/2023,8.4,0.0, ,31.8,17.4,35,8,4.35,26.40
LEONORA AERO,17/10/2023,7.8,0.0, ,35.1,16.5,32,5,3.06,26.52
LEONORA AERO,18/10/2023,8.7,0.0, ,34.7,17.6,35,7,3.97,26.80
LEONORA AERO,19/10/2023,7.4,0.0, ,29.8,17.2,52,17,4.05,25.97
LEONORA AERO,20/10/2023,8.0,0.0, ,32.8,17.5,45,13,3.86,26.75
LEONORA AERO,21/10/2023,8.1,0.0, ,34.7,19.4,35,11,3.66,24.75
LEONORA AERO,22/10/2023,11.1,0.0, ,37.7,22.0,40,7,6.16,23.57
LEONORA AERO,23/10/2023,8.0,0.0, ,27.5,16.6,59,10,5.51,26.76
LEONORA AERO,24/10/2023,7.7,0.0, ,25.7,13.7,44,18,5.74,26.63
LEONORA AERO,25/10/2023,9.0,0.0, ,28.5,14.5,38,10,6.10,27.62
LEONORA AERO,26/10/2023,10.6,0.0, ,36.2,18.5,21,7,5.28,27.85
LEONORA AERO,27/10/2023,7.7,0.0, ,29.3,19.2,43,10,5.03,17.85
LEONORA AERO,28/10/2023,6.8,0.0, ,26.0,14.1,56,23,5.35,21.47
LEONORA AERO,29/10/2023,7.8,0.0, ,33.3,14.4,60,6,3.25,28.17
LEONORA AERO,30/10/2023,8.5,0.0, ,27.4,17.5,48,19,6.34,28.21
LEONORA AERO,31/10/2023,8.9,0.0, ,29.0,14.4,47,16,6.38,28.37
Totals:,,250,0, ,,,,,, 
