'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANDORA Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANDORA,01/10/2022,5.5,0.0, ,29.0,14.6,100,42,3.62,25.86
MANDORA,02/10/2022,5.5,0.0, ,29.6,17.5,100,49,4.04,25.95
MANDORA,03/10/2022,6.0,0.0, ,29.5,22.5,86,45,4.36,24.78
MANDORA,04/10/2022,5.5,0.0, ,30.2,18.2,99,46,3.27,25.40
MANDORA,05/10/2022,5.5,0.0, ,29.6,15.5,100,51,3.77,26.64
MANDORA,06/10/2022,5.5,0.0, ,30.2,14.6,100,45,3.03,26.73
MANDORA,07/10/2022,7.0,0.0, ,36.3,17.9,100,23,2.96,26.80
MANDORA,08/10/2022,8.4,0.0, ,38.7,16.3,100,11,3.65,26.89
MANDORA,09/10/2022,8.4,0.0, ,36.8,19.9,67,13,3.78,26.46
MANDORA,10/10/2022,7.6,0.0, ,36.6,15.4,99,14,3.23,27.12
MANDORA,11/10/2022,7.6,0.0, ,35.5,19.3,100,30,4.49,27.22
MANDORA,12/10/2022,7.1,0.0, ,32.4,19.7,99,36,5.10,27.31
MANDORA,13/10/2022,9.0,0.0, ,32.5,19.7,81,11,5.93,27.37
MANDORA,14/10/2022,8.7,0.0, ,35.1,18.7,62,11,4.28,27.42
MANDORA,15/10/2022,8.4,0.0, ,37.4,17.5,81,8,3.49,27.53
MANDORA,16/10/2022,8.0,0.0, ,35.4,16.8,77,12,3.56,27.62
MANDORA,17/10/2022,7.9,0.0, ,36.0,20.2,97,16,3.76,27.71
MANDORA,18/10/2022,8.9,0.0, ,37.6,18.1,99,8,4.13,27.79
MANDORA,19/10/2022,8.8,0.0, ,37.8,16.1,62,9,3.58,27.88
MANDORA,20/10/2022,8.4,0.0, ,38.2,18.9,81,10,3.36,27.96
MANDORA,21/10/2022,8.4,0.0, ,37.3,19.8,88,25,4.25,28.06
MANDORA,22/10/2022,6.5,0.0, ,33.2,22.6,100,55,4.83,28.15
MANDORA,23/10/2022,6.8,0.0, ,33.0,22.0,99,50,5.05,28.20
MANDORA,24/10/2022,5.5,0.0, ,30.5,24.4,84,64,5.35,21.84
MANDORA,25/10/2022,7.5,0.0, ,34.2,23.9,90,27,3.83,27.30
MANDORA,26/10/2022,7.8,0.0, ,35.2,17.4,98,21,4.12,27.26
MANDORA,27/10/2022,5.7,1.8, ,30.8,23.5,100,57,3.53,26.05
MANDORA,28/10/2022,6.2,0.0, ,29.5,23.4,80,49,4.44,24.54
MANDORA,29/10/2022,7.2,0.0, ,29.2,23.6,72,43,5.89,26.64
MANDORA,30/10/2022,7.5,0.0, ,31.7,18.2,90,25,4.54,28.60
MANDORA,31/10/2022,9.3,0.0, ,33.3,13.9,77,7,5.31,28.79
Totals:,,226.1,1.8, ,,,,,, 
