'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANDORA Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANDORA,01/05/2023,4.4,0.0, ,30.0,19.6,57,30,3.02,10.38
MANDORA,02/05/2023,4.2,0.0, ,31.6,22.9,85,29,2.91,11.05
MANDORA,03/05/2023,5.8,0.6, ,35.6,19.9,79,19,2.91,19.38
MANDORA,04/05/2023,6.3,0.0, ,34.9,19.0,66,16,3.39,19.62
MANDORA,05/05/2023,5.8,0.0, ,33.6,19.8,42,20,3.25,13.99
MANDORA,06/05/2023,7.1,0.0, ,34.8,24.5,35,17,3.93,17.96
MANDORA,07/05/2023,7.0,0.0, ,34.3,23.2,34,22,4.16,17.65
MANDORA,08/05/2023,6.8,0.0, ,34.0,22.4,36,20,3.85,19.14
MANDORA,09/05/2023,6.3,0.0, ,32.3,17.1,45,11,3.55,19.09
MANDORA,10/05/2023,5.8,0.0, ,32.4,15.4,56,11,3.15,18.91
MANDORA,11/05/2023,6.3,0.0, ,33.4,15.1,39,8,3.31,18.77
MANDORA,12/05/2023,6.6,0.0, ,33.6,12.7,39,8,3.56,18.74
MANDORA,13/05/2023,5.9,0.0, ,33.3,15.4,67,10,3.20,18.61
MANDORA,14/05/2023,5.4,0.0, ,32.8,11.3,69,10,2.77,18.52
MANDORA,15/05/2023,6.6,0.0, ,30.9,16.8,43,14,4.26,18.41
MANDORA,16/05/2023, ,0.0, , ,15.2,55,13,3.29,18.33
MANDORA,17/05/2023, , , ,34.0, ,44,23,3.38,18.27
MANDORA,18/05/2023,5.6,0.0, ,32.7,16.5,49,19,3.19,18.19
MANDORA,19/05/2023,6.4,0.0, ,31.7,16.3,38,15,3.96,18.06
MANDORA,20/05/2023,5.7,0.0, ,29.0,15.8,42,19,3.88,17.99
MANDORA,21/05/2023,6.0,0.0, ,28.4,13.9,39,16,4.25,17.91
MANDORA,22/05/2023,5.1,0.0, ,29.0,12.3,50,14,3.07,17.92
MANDORA,23/05/2023,5.3,0.0, ,29.9,9.7,53,14,3.20,17.78
MANDORA,24/05/2023,5.2,0.0, ,31.4,7.6,70,16,3.03,17.79
MANDORA,25/05/2023,5.7,0.0, ,32.3,10.8,60,15,3.37,17.69
MANDORA,26/05/2023,6.4,0.0, ,31.0,14.8,37,18,4.34,17.51
MANDORA,27/05/2023,6.3,0.0, ,31.5,17.1,40,21,4.20,17.52
MANDORA,28/05/2023,5.9,0.0, ,28.8,15.0,39,15,4.06,17.42
MANDORA,29/05/2023,5.3,0.0, ,29.0,10.8,44,14,3.38,17.49
MANDORA,30/05/2023,5.3,0.0, ,30.7,12.2,54,15,3.23,17.42
MANDORA,31/05/2023,5.1,0.0, ,30.3,9.7,64,16,3.23,17.38
Totals:,,169.6,0.6, ,,,,,, 
