'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANDORA Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANDORA,01/07/2023,3.8,0.0, ,22.7,12.2,79,40,4.17,17.23
MANDORA,02/07/2023,3.7,0.0, ,24.2,10.4,84,41,3.82,17.45
MANDORA,03/07/2023,3.6,0.0, ,25.3,10.6,87,37,3.06,17.33
MANDORA,04/07/2023,3.8,0.0, ,26.1,10.4,86,33,3.02,17.52
MANDORA,05/07/2023,3.9,0.0, ,26.7,8.6,94,29,2.95,17.55
MANDORA,06/07/2023,4.2,0.0, ,28.0,9.2,95,21,2.91,17.59
MANDORA,07/07/2023,5.3,0.0, ,27.7,11.4,56,19,4.06,17.61
MANDORA,08/07/2023, ,0.0, , ,14.6,36,18,4.50,16.44
MANDORA,09/07/2023,5.1,0.0, ,30.0,15.2,68,24,3.56,17.70
MANDORA,10/07/2023,5.6,0.0, ,29.4,14.7,59,14,3.86,17.78
MANDORA,11/07/2023,5.0,0.0, ,30.8,13.1,64,21,3.13,17.83
MANDORA,12/07/2023,5.1,0.0, ,31.9,16.9,63,26,3.19,17.87
MANDORA,13/07/2023,5.1,0.0, ,32.6,16.5,66,22,3.05,17.89
MANDORA,14/07/2023,5.3,0.0, ,33.5,15.8,68,22,3.13,17.95
MANDORA,15/07/2023,5.7,0.0, ,29.3,11.9,81,23,4.94,17.97
MANDORA,16/07/2023,5.3,0.0, ,30.7,15.5,82,21,3.81,18.04
MANDORA,17/07/2023,5.3,0.0, ,33.2,11.7,66,24,3.09,18.13
MANDORA,18/07/2023,5.1,0.0, ,31.0,12.5,77,25,3.39,18.16
MANDORA,19/07/2023,4.8,0.0, ,30.6,15.2,78,21,2.97,18.22
MANDORA,20/07/2023,5.0,0.0, ,32.0,10.5,79,18,2.84,18.26
MANDORA,21/07/2023,6.2,0.0, ,31.4,17.1,47,19,4.15,18.28
MANDORA,22/07/2023,7.2,0.0, ,28.9,17.1,35,16,5.60,18.35
MANDORA,23/07/2023,6.8,0.0, ,27.7,15.4,30,17,5.22,18.41
MANDORA,24/07/2023,5.7,0.0, ,27.2,8.8,48,18,4.31,18.49
MANDORA,25/07/2023,4.7,0.0, ,25.1,8.4,69,21,3.75,18.59
MANDORA,26/07/2023,4.5,0.0, ,26.6,6.2,88,17,3.09,18.66
MANDORA,27/07/2023,4.6,0.0, ,28.8,6.7,87,23,3.03,18.73
MANDORA,28/07/2023,5.6,0.0, ,30.4,13.0,63,20,3.76,18.78
MANDORA,29/07/2023,5.8,0.0, ,31.4,15.6,49,17,3.45,18.85
MANDORA,30/07/2023,6.8,0.0, ,32.0,16.8,33,14,4.22,18.73
MANDORA,31/07/2023,7.2,0.0, ,33.4,20.9,33,15,4.38,16.49
Totals:,,155.8,0, ,,,,,, 
