'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANDURAH Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANDURAH,01/10/2022,5.6,0.0, ,24.8,13.9,78,26,4.52,22.99
MANDURAH,02/10/2022,4.6,0.0, ,21.5,12.5,73,43,5.22,19.24
MANDURAH,03/10/2022,4.4,0.0, ,21.3,11.3,71,39,3.89,19.94
MANDURAH,04/10/2022,4.7,0.0, ,22.1,11.2,78,40,4.17,23.75
MANDURAH,05/10/2022,3.9,3.4, ,18.6,15.6,91,47,5.46,19.40
MANDURAH,06/10/2022,3.5,1.4, ,18.7,10.0,83,44,2.86,19.79
MANDURAH,07/10/2022,3.8,0.0, ,19.4,10.7,80,42,2.32,23.05
MANDURAH,08/10/2022,4.0,0.0, ,20.7,9.6,83,39,2.01,24.44
MANDURAH,09/10/2022,3.0,0.0, ,19.7,11.3,84,60,2.17,16.84
MANDURAH,10/10/2022,4.1,3.2, ,17.9,13.8,84,44,5.32,21.20
MANDURAH,11/10/2022,4.4,0.0, ,18.6,10.2,74,36,3.67,24.27
MANDURAH,12/10/2022,4.2,0.0, ,18.4,10.3,81,41,4.00,24.03
MANDURAH,13/10/2022,3.9,0.0, ,19.1,8.3,77,41,2.27,24.18
MANDURAH,14/10/2022,4.0,0.0, ,19.9,9.2,82,43,2.23,24.96
MANDURAH,15/10/2022,4.1,0.0, ,20.4,10.3,89,45,2.75,25.19
MANDURAH,16/10/2022,4.1,0.0, ,20.1,10.6,86,44,2.59,24.32
MANDURAH,17/10/2022,4.3,1.2, ,20.1,12.3,88,49,4.04,24.97
MANDURAH,18/10/2022,4.5,0.0, ,21.9,12.0,78,55,3.23,25.96
MANDURAH,19/10/2022,4.8,0.0, ,24.1,13.0,86,49,3.36,26.22
MANDURAH,20/10/2022,3.6,0.0, ,20.9,15.5,91,60,2.22,20.50
MANDURAH,21/10/2022,3.0,1.8, ,19.6,14.5,90,52,2.48,14.84
MANDURAH,22/10/2022,4.0,0.8, ,21.3,13.3,87,59,2.86,23.17
MANDURAH,23/10/2022,2.5,0.0, ,21.6,13.6,85,60,1.90,10.26
MANDURAH,24/10/2022,4.1,2.8, ,20.6,15.2,89,63,5.00,24.09
MANDURAH,25/10/2022,4.0,2.8, ,20.6,14.4,93,49,3.80,21.08
MANDURAH,26/10/2022,4.2,0.0, ,21.0,11.1,80,38,3.20,20.08
MANDURAH,27/10/2022,4.8,0.0, ,21.3,11.4,74,37,3.77,23.34
MANDURAH,28/10/2022,6.3,0.0, ,25.7,12.9,68,35,5.61,24.32
MANDURAH,29/10/2022,2.0,13.0, ,16.0,11.8,91,65,5.58,5.51
MANDURAH,30/10/2022,4.4,0.6, ,17.0,10.3,83,47,6.30,26.06
MANDURAH,31/10/2022,4.2,0.2, ,19.2,8.4,83,46,3.58,24.11
Totals:,,127,31.2, ,,,,,, 
