'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANDURAH Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANDURAH,01/03/2023,6.9,0.0, ,35.9,19.4,75,24,3.16,23.88
MANDURAH,02/03/2023,5.8,0.0, ,34.9,24.7,84,27,3.11,17.33
MANDURAH,03/03/2023,5.0,3.4, ,27.8,20.6,86,60,3.21,24.95
MANDURAH,04/03/2023,5.4,0.2, ,25.8,18.1,83,48,5.10,24.01
MANDURAH,05/03/2023,5.5,0.0, ,24.8,16.4,74,40,4.65,24.38
MANDURAH,06/03/2023,5.3,0.0, ,25.5,16.0,77,43,4.09,24.27
MANDURAH,07/03/2023,6.5,0.0, ,29.9,15.9,69,30,4.23,24.13
MANDURAH,08/03/2023,5.8,0.0, ,32.2,16.5,83,27,3.61,17.92
MANDURAH,09/03/2023,4.4,0.0, ,26.2,18.6,91,62,2.80,23.68
MANDURAH,10/03/2023,4.8,0.0, ,25.8,18.7,82,55,3.45,23.59
MANDURAH,11/03/2023,4.9,0.0, ,26.9,18.4,83,46,3.08,23.39
MANDURAH,12/03/2023,4.9,0.0, ,28.1,18.9,82,40,2.54,22.67
MANDURAH,13/03/2023,4.9,0.0, ,27.0,18.8,82,50,3.61,22.63
MANDURAH,14/03/2023,4.7,0.0, ,26.6,18.8,81,50,3.04,22.66
MANDURAH,15/03/2023,4.0,0.0, ,26.2,17.0,90,61,1.64,22.67
MANDURAH,16/03/2023,3.1,0.0, ,24.1,17.9,92,57,3.09,12.77
MANDURAH,17/03/2023,4.4,0.8, ,23.9,16.8,76,47,3.99,18.73
MANDURAH,18/03/2023,4.8,0.0, ,24.8,15.5,75,40,3.96,21.02
MANDURAH,19/03/2023,6.5,0.0, ,31.4,16.5,70,25,4.18,21.86
MANDURAH,20/03/2023,6.4,0.0, ,33.3,20.1,69,26,3.64,21.68
MANDURAH,21/03/2023,7.6,0.0, ,34.9,23.4,55,26,4.64,21.41
MANDURAH,22/03/2023,4.7,0.0, ,27.8,20.1,78,50,3.24,21.20
MANDURAH,23/03/2023,4.4,0.0, ,28.2,18.2,88,48,2.77,20.90
MANDURAH,24/03/2023,2.7,0.0, ,25.8,17.9,89,54,1.85,10.85
MANDURAH,25/03/2023,4.1,0.0, ,30.2,19.0,84,46,3.14,14.37
MANDURAH,26/03/2023,3.8,1.4, ,25.2,18.6,85,53,4.45,13.54
MANDURAH,27/03/2023,4.3,0.0, ,25.1,16.0,78,42,3.99,16.71
MANDURAH,28/03/2023,5.2,0.0, ,27.3,15.1,69,29,3.64,20.18
MANDURAH,29/03/2023,5.6,0.0, ,29.9,15.6,61,31,3.86,19.50
MANDURAH,30/03/2023,4.7,0.0, ,29.0,19.3,66,35,4.08,10.34
MANDURAH,31/03/2023,3.0,11.4, ,22.9,16.6,91,59,4.54,11.62
Totals:,,154.1,17.2, ,,,,,, 
