'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANDURAH Western Australia for November 2023,,,,,,,,,,
Issued at 06:31 GMT on Saturday 04 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANDURAH,28/10/2023,5.0,0.0, ,20.9,11.1,70,43,3.94,27.49
MANDURAH,29/10/2023,4.0,0.0, ,21.2,13.0,77,58,3.01,21.60
MANDURAH,30/10/2023,5.5,0.0, ,21.6,11.4,74,35,4.45,27.77
MANDURAH,31/10/2023,5.8,0.0, ,25.1,13.1,79,34,4.12,26.78
MANDURAH,01/11/2023,6.0,0.0, ,26.8,14.6,78,37,3.66,28.16
MANDURAH,02/11/2023,7.6,0.0, ,33.2,16.3,66,25,3.78,28.11
MANDURAH,03/11/2023,8.3,0.0, ,34.4,17.1,57,19,4.34,25.13
Totals:,,42.2,0, ,,,,,, 
