'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANJIMUP Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANJIMUP,01/09/2022,2.7,0.0, ,18.5,4.8,98,45,3.08,16.34
MANJIMUP,02/09/2022,2.9,0.0, ,18.7,8.3,95,39,3.48,13.71
MANJIMUP,03/09/2022,1.6,0.0, ,15.4,9.4,88,70,3.01,7.72
MANJIMUP,04/09/2022,1.6,0.0, ,16.1,9.8,97,74,3.01,9.81
MANJIMUP,05/09/2022,2.0,3.2, ,15.9,9.6,99,60,2.68,12.19
MANJIMUP,06/09/2022,2.5,0.4, ,16.0,4.0,99,49,2.87,17.41
MANJIMUP,07/09/2022,2.3,5.2, ,15.9,6.4,99,53,3.70,13.23
MANJIMUP,08/09/2022,1.8,0.6, ,14.8,6.2,98,57,1.75,11.51
MANJIMUP,09/09/2022,2.8,0.0, ,20.1,7.3,95,44,2.41,15.67
MANJIMUP,10/09/2022,2.7,0.0, ,19.7,7.7,99,48,2.84,15.15
MANJIMUP,11/09/2022, ,0.0, , ,8.2,99,37,2.95,18.13
MANJIMUP,12/09/2022,3.7, , ,22.6,10.3,97,43,4.78,15.26
MANJIMUP,13/09/2022,1.7,21.2, ,13.5,9.0,99,73,6.31,10.05
MANJIMUP,14/09/2022,2.5,10.0, ,15.3,6.8,94,58,5.35,15.04
MANJIMUP,15/09/2022,2.4,3.2, ,16.1,9.1,99,62,4.12,15.38
MANJIMUP,16/09/2022,2.9,2.0, ,17.1,8.2,99,52,3.62,19.40
MANJIMUP,17/09/2022,2.8,0.0, ,18.8,8.2,99,53,3.63,15.75
MANJIMUP,18/09/2022,2.5,0.2, ,17.7,8.5,99,56,2.47,15.29
MANJIMUP,19/09/2022, ,3.4, , ,8.8,99,58,4.13,15.13
MANJIMUP,20/09/2022, , , ,19.3, ,99,55,5.05,15.90
MANJIMUP,21/09/2022,3.3,0.0, ,19.2,10.9,97,50,5.78,16.09
MANJIMUP,22/09/2022,2.3,5.4, ,14.9,3.8,99,48,2.22,15.37
MANJIMUP,23/09/2022,2.8,0.0, ,17.7,4.7,96,51,4.13,15.53
MANJIMUP,24/09/2022,3.0,6.0, ,15.8,7.7,98,46,3.84,19.37
MANJIMUP,25/09/2022,2.6,0.8, ,16.7,6.0,99,57,3.19,17.50
MANJIMUP,26/09/2022,3.1,0.0, ,19.1,8.4,94,47,2.46,18.05
MANJIMUP,27/09/2022,3.4,0.0, ,21.3,7.1,98,46,2.59,19.91
MANJIMUP,28/09/2022,4.1,0.0, ,23.6,9.1,98,43,3.53,21.59
MANJIMUP,29/09/2022,5.1,0.0, ,26.2,11.5,95,27,3.62,22.28
MANJIMUP,30/09/2022,4.7,0.0, ,24.8,9.7,85,26,3.01,22.58
Totals:,,75.8,61.6, ,,,,,, 
