'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANJIMUP Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANJIMUP,01/12/2022,2.6,0.0, ,19.5,15.2,94,61,3.74,10.23
MANJIMUP,02/12/2022,5.8,0.0, ,25.4,10.2,91,40,3.16,30.99
MANJIMUP,03/12/2022,4.0,0.0, ,22.7,13.1,92,57,4.18,18.73
MANJIMUP,04/12/2022,2.8,0.2, ,17.8,12.2,93,60,5.06,11.46
MANJIMUP,05/12/2022,2.6,0.0, ,19.9,11.5,92,63,4.38,9.31
MANJIMUP,06/12/2022,5.0,0.0, ,21.2,11.0,91,42,4.96,25.44
MANJIMUP,07/12/2022,6.5,0.0, ,25.9,8.0,95,27,4.10,31.74
MANJIMUP,08/12/2022,6.4,0.0, ,28.1,12.3,91,38,3.71,30.07
MANJIMUP,09/12/2022,4.2,0.0, ,22.8,10.9,96,47,3.00,21.33
MANJIMUP,10/12/2022,4.6,0.4, ,20.8,8.1,95,36,3.94,23.50
MANJIMUP,11/12/2022,5.3,0.0, ,22.3,7.8,95,36,4.14,27.83
MANJIMUP,12/12/2022,5.8,0.0, ,23.5,8.6,87,35,4.56,28.44
MANJIMUP,13/12/2022,6.0,0.0, ,25.1,9.7,93,31,5.01,26.38
MANJIMUP,14/12/2022,6.4,0.0, ,25.6,10.8,90,35,4.73,31.04
MANJIMUP,15/12/2022,6.6,0.0, ,26.6,11.5,89,34,4.48,31.47
MANJIMUP,16/12/2022,5.8,0.0, ,24.6,10.8,94,37,5.06,26.87
MANJIMUP,17/12/2022,6.9,0.0, ,27.4,10.6,96,27,4.20,31.76
MANJIMUP,18/12/2022,7.2,0.0, ,30.7,12.4,89,26,3.66,29.72
MANJIMUP,19/12/2022,7.6,0.0, ,32.9,13.1,90,18,3.43,29.44
MANJIMUP,20/12/2022,7.8,0.0, ,32.6,13.3,85,19,3.40,31.24
MANJIMUP,21/12/2022,6.7,0.0, ,28.1,12.8,91,32,4.40,28.79
MANJIMUP,22/12/2022,7.9,0.0, ,32.5,11.3,93,22,3.73,32.05
MANJIMUP,23/12/2022,7.3,0.0, ,31.3,13.2,91,31,3.59,32.09
MANJIMUP,24/12/2022,6.5,0.0, ,28.3,12.2,99,35,3.84,30.72
MANJIMUP,25/12/2022,3.4,0.2, ,21.9,15.4,96,64,3.98,16.73
MANJIMUP,26/12/2022,4.9,0.2, ,23.3,14.1,96,45,3.52,25.07
MANJIMUP,27/12/2022,5.3,0.0, ,21.6,13.1,95,39,4.62,27.54
MANJIMUP,28/12/2022,6.9,0.0, ,27.5,8.5,84,25,3.72,32.04
MANJIMUP,29/12/2022,7.9,0.0, ,32.0,10.5,88,18,3.71,32.02
MANJIMUP,30/12/2022,7.7,0.0, ,31.8,13.3,95,29,4.38,31.45
MANJIMUP,31/12/2022,4.2,0.0, ,21.7,15.3,86,45,4.21,17.53
Totals:,,178.6,1, ,,,,,, 
