'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANJIMUP Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANJIMUP,01/01/2023,4.8,0.0, ,23.8,11.3,94,41,3.80,22.05
MANJIMUP,02/01/2023,7.0,0.0, ,27.7,10.0,84,33,4.64,31.58
MANJIMUP,03/01/2023,7.1,0.0, ,28.2,14.5,83,37,5.10,30.78
MANJIMUP,04/01/2023,8.2,0.0, ,32.0,12.2,85,20,4.29,31.53
MANJIMUP,05/01/2023,8.1,0.0, ,34.6,12.9,93,11,3.10,31.49
MANJIMUP,06/01/2023,3.7,0.0, ,22.5,19.2,89,50,4.96,11.38
MANJIMUP,07/01/2023,5.6,0.0, ,24.8,12.9,84,35,4.06,24.44
MANJIMUP,08/01/2023,5.4,0.4, ,26.1,11.5,93,40,3.32,26.31
MANJIMUP,09/01/2023,7.9,0.0, ,32.9,11.7,93,23,3.83,31.27
MANJIMUP,10/01/2023,8.0,4.0, ,34.6,15.8,90,33,4.93,28.40
MANJIMUP,11/01/2023,6.5,0.0, ,27.1,14.0,87,35,4.11,29.66
MANJIMUP,12/01/2023,6.6,0.0, ,30.3,13.1,97,33,2.88,30.75
MANJIMUP,13/01/2023,5.4,0.0, ,26.2,13.7,95,45,4.46,24.44
MANJIMUP,14/01/2023,6.6,0.0, ,24.7,10.6,76,31,5.11,29.94
MANJIMUP,15/01/2023,7.3,0.0, ,30.0,9.4,85,20,3.82,30.23
MANJIMUP,16/01/2023,5.1,0.0, ,20.8,13.3,89,36,5.42,23.63
MANJIMUP,17/01/2023,5.2,0.0, ,22.2,8.8,77,36,4.47,23.49
MANJIMUP,18/01/2023,6.8,0.0, ,27.3,8.8,84,23,4.23,29.60
MANJIMUP,19/01/2023,7.8,0.0, ,31.2,12.6,80,21,4.16,30.25
MANJIMUP,20/01/2023,7.7,0.0, ,33.5,13.3,88,22,4.05,27.09
MANJIMUP,21/01/2023,8.3,0.0, ,36.4,14.8,80,17,3.70,27.67
MANJIMUP,22/01/2023,7.8,0.0, ,33.4,16.5,76,23,3.61,29.54
MANJIMUP,23/01/2023,8.8,0.0, ,36.1,17.0,78,20,4.20,29.67
MANJIMUP,24/01/2023,6.3,0.0, ,28.1,16.3,93,42,5.40,26.50
MANJIMUP,25/01/2023,6.9,0.0, ,28.6,13.9,90,31,4.59,29.29
MANJIMUP,26/01/2023,6.7,0.0, ,29.9,10.9,88,29,3.42,29.42
MANJIMUP,27/01/2023,4.2,1.0, ,22.3,14.2,95,41,4.14,17.83
MANJIMUP,28/01/2023,6.2,0.0, ,26.7,9.2,89,30,3.90,29.14
MANJIMUP,29/01/2023,7.2,0.0, ,31.0,11.2,82,28,4.05,29.02
MANJIMUP,30/01/2023,7.2,0.0, ,31.8,13.0,90,33,4.42,28.30
MANJIMUP,31/01/2023,3.9,0.0, ,23.7,13.8,89,57,5.23,15.68
Totals:,,204.3,5.4, ,,,,,, 
