'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARBLE BAR Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARBLE BAR,01/07/2023,4.6,0.0, ,21.4,10.2,58,29,5.31,16.77
MARBLE BAR,02/07/2023,3.8,0.0, ,22.3,9.3,72,29,3.64,16.78
MARBLE BAR,03/07/2023,3.1,0.0, ,23.0,11.4,74,36,2.27,16.71
MARBLE BAR,04/07/2023,2.2,0.0, ,24.6,7.7,90,27,0.74,16.87
MARBLE BAR,05/07/2023,2.6,0.0, ,26.0,8.1,87,24,1.12,16.90
MARBLE BAR,06/07/2023,2.7,0.0, ,25.5,7.8,79,23,1.21,16.93
MARBLE BAR,07/07/2023,4.3,0.0, ,24.8,9.2,65,20,3.37,16.96
MARBLE BAR,08/07/2023, ,0.0, , ,11.2,48,11,3.93,16.86
MARBLE BAR,09/07/2023,4.5,0.0, ,26.6,8.1,48,18,3.16,17.01
MARBLE BAR,10/07/2023,4.6,0.0, ,27.7,10.0,54,13,2.94,17.07
MARBLE BAR,11/07/2023,4.4,0.0, ,27.8,9.1,53,15,2.71,17.12
MARBLE BAR,12/07/2023,4.3,0.0, ,29.1,14.7,48,26,2.63,17.16
MARBLE BAR,13/07/2023,3.3,0.0, ,30.6,11.9,72,19,1.34,17.19
MARBLE BAR,14/07/2023,3.2,0.0, ,31.1,12.1,67,17,1.19,17.25
MARBLE BAR,15/07/2023,5.5,0.0, ,26.2,16.4,51,24,4.80,17.31
MARBLE BAR,16/07/2023,4.0,0.0, ,26.3,12.1,51,22,2.49,17.37
MARBLE BAR,17/07/2023,3.5,0.0, ,29.7,11.0,59,18,1.62,17.43
MARBLE BAR,18/07/2023,3.7,0.0, ,31.9,11.9,67,21,1.67,17.48
MARBLE BAR,19/07/2023,3.2,0.0, ,30.8,16.0,60,15,1.13,17.39
MARBLE BAR,20/07/2023,4.6,0.0, ,27.8,11.9,71,25,3.43,17.60
MARBLE BAR,21/07/2023,4.6,0.0, ,28.4,12.6,52,19,2.88,17.66
MARBLE BAR,22/07/2023,6.8,0.0, ,25.6,14.0,30,7,5.54,17.72
MARBLE BAR,23/07/2023,5.9,0.0, ,24.5,11.1,34,13,4.95,17.78
MARBLE BAR,24/07/2023, ,0.0, , ,8.8,43,15,4.08,17.86
MARBLE BAR,25/07/2023, , , , , ,52,15,2.60,17.93
MARBLE BAR,26/07/2023, , , ,26.1, ,72,13,1.27,18.00
MARBLE BAR,27/07/2023,3.5,0.0, ,27.6,10.5,52,17,1.64,17.27
MARBLE BAR,28/07/2023,3.7,0.0, ,27.8,10.8,65,19,1.86,18.18
MARBLE BAR,29/07/2023,4.0,0.0, ,29.1,9.3,62,15,1.90,18.27
MARBLE BAR,30/07/2023,5.0,0.0, ,29.1,15.2,30,13,2.75,18.32
MARBLE BAR,31/07/2023, ,0.0, , ,13.8,35,10,3.22,17.28
Totals:,,105.6,0, ,,,,,, 
