'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARDIE Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARDIE,01/10/2022,5.9,0.0, ,30.6,17.7,93,36,3.58,24.75
MARDIE,02/10/2022,7.7,0.0, ,31.4,16.6,84,23,5.68,25.36
MARDIE,03/10/2022,8.2,0.0, ,32.6,15.9,78,14,5.18,25.46
MARDIE,04/10/2022,6.6,0.0, ,31.5,15.6,85,23,3.54,25.54
MARDIE,05/10/2022,7.8,0.0, ,32.4,16.3,73,21,4.88,25.61
MARDIE,06/10/2022,8.7,0.0, ,34.9,17.2,68,14,4.83,25.72
MARDIE,07/10/2022,8.2,0.0, ,35.9,16.2,77,14,4.09,25.53
MARDIE,08/10/2022, ,0.0, , ,16.4,82,17,4.31,25.80
MARDIE,09/10/2022,6.3,0.0, ,33.4,16.9,88,23,2.52,25.93
MARDIE,10/10/2022,8.2,0.0, ,33.7,17.5,90,15,5.04,26.04
MARDIE,11/10/2022,9.4,0.0, ,34.2,19.9,77,12,6.08,26.16
MARDIE,12/10/2022, ,0.0, , ,18.2,47,8,7.08,25.00
MARDIE,13/10/2022, ,0.0, ,30.7, ,70,11,4.16,26.31
MARDIE,14/10/2022,7.2,0.0, ,32.6,13.9,82,10,3.30,26.40
MARDIE,15/10/2022,7.3,0.0, ,33.0,14.6,86,13,3.45,26.52
MARDIE,16/10/2022,7.6,0.0, ,31.3,15.2,83,21,4.93,26.59
MARDIE,17/10/2022,10.0,0.0, ,35.7,18.4,51,8,5.39,26.68
MARDIE,18/10/2022,8.0,0.0, ,35.0,14.0,73,10,3.57,26.74
MARDIE,19/10/2022,6.3,0.0, ,33.7,17.5,87,29,2.32,26.80
MARDIE,20/10/2022,6.7,0.0, ,33.2,22.3,88,41,3.45,26.92
MARDIE,21/10/2022, ,0.0, , ,20.6,79,39,4.47,27.02
MARDIE,22/10/2022,7.1, , ,30.0,19.0,79,38,5.55,27.10
MARDIE,23/10/2022,7.1,0.0, ,30.8,17.6,84,36,5.24,27.16
MARDIE,24/10/2022,8.0,0.0, ,30.9,19.2,79,34,7.04,26.77
MARDIE,25/10/2022, ,0.0, , ,17.3,74,10,5.32,27.33
MARDIE,26/10/2022,9.1, , ,36.5,15.0,70,7,4.15,27.39
MARDIE,27/10/2022,7.5,0.0, ,30.5,17.1,82,24,4.93,27.45
MARDIE,28/10/2022,7.5,0.0, ,28.6,17.6,78,28,5.98,27.47
MARDIE,29/10/2022,7.8,0.0, ,27.9,16.9,68,31,7.21,27.17
MARDIE,30/10/2022,9.2,0.0, ,32.1,16.1,69,14,6.07,27.67
MARDIE,31/10/2022,9.5,0.0, ,34.4,16.7,64,5,4.97,27.71
Totals:,,202.9,0, ,,,,,, 
