'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARDIE Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARDIE,01/03/2023,6.4,0.0, ,34.1,26.1,85,57,4.06,25.09
MARDIE,02/03/2023,7.0,0.0, ,35.7,25.9,85,51,3.68,27.11
MARDIE,03/03/2023,6.6,0.0, ,34.6,28.4,88,58,3.64,26.58
MARDIE,04/03/2023,6.8,0.0, ,35.1,28.2,87,58,4.18,26.46
MARDIE,05/03/2023,6.3,0.0, ,34.8,27.6,91,58,2.90,26.33
MARDIE,06/03/2023,7.4,0.0, ,42.1,27.2,92,16,2.09,26.77
MARDIE,07/03/2023,7.5,0.0, ,38.8,27.1,86,30,3.23,25.53
MARDIE,08/03/2023,6.8,0.0, ,35.5,27.5,90,49,3.34,26.54
MARDIE,09/03/2023,5.9,6.6, ,34.2,23.3,94,61,2.65,26.42
MARDIE,10/03/2023,8.7,0.0, ,42.2,25.7,95,18,3.69,26.30
MARDIE,11/03/2023,9.2,0.0, ,40.3,24.0,80,15,4.31,26.18
MARDIE,12/03/2023, ,0.0, , ,20.0,84,11,2.81,26.07
MARDIE,13/03/2023, ,0.0, ,36.3, ,94,53,2.46,25.95
MARDIE,14/03/2023,6.2,0.0, ,37.2,24.8,92,48,2.11,25.82
MARDIE,15/03/2023,6.3,0.0, ,36.9,25.3,96,43,2.34,25.70
MARDIE,16/03/2023,7.1,0.0, ,38.6,24.5,97,34,3.25,25.55
MARDIE,17/03/2023, ,0.0, , ,23.7,81,9,3.20,25.45
MARDIE,18/03/2023,8.9, , ,43.1,22.3,75,10,3.47,25.32
MARDIE,19/03/2023, ,0.0, , ,23.5,52,12,4.20,25.20
MARDIE,20/03/2023,7.9,0.0, ,40.4,25.4,72,20,3.19,25.07
MARDIE,21/03/2023, ,0.0, , ,25.8,75,32,2.71,23.92
MARDIE,22/03/2023,7.4,0.2, ,38.8,26.9,78,28,3.24,24.79
MARDIE,23/03/2023,8.2,0.0, ,41.0,26.3,77,18,3.58,23.99
MARDIE,24/03/2023,6.3,0.0, ,38.4,26.0,81,30,2.20,23.17
MARDIE,25/03/2023,5.4,0.0, ,36.3,27.0,82,40,1.65,22.06
MARDIE,26/03/2023,4.7,0.0, ,33.2,26.1,90,53,2.46,18.68
MARDIE,27/03/2023,2.8,12.2, ,30.7,25.3,93,53,1.24,10.64
MARDIE,28/03/2023,2.4,0.0, ,30.3,24.7,94,61,0.99,9.48
MARDIE,29/03/2023,1.4,0.6, ,28.7,25.0,97,83,2.40,4.13
MARDIE,30/03/2023,4.4,29.4, ,31.5,23.9,97,64,2.92,19.91
MARDIE,31/03/2023,4.7,0.6, ,32.7,24.6,97,58,1.69,21.88
Totals:,,162.7,49.6, ,,,,,, 
