'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARDIE Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARDIE,01/08/2023, ,0.0, , ,14.7,73,18,4.76,18.50
MARDIE,02/08/2023, , , , , ,95,58,2.94,14.65
MARDIE,03/08/2023, , , ,21.3, ,96,71,4.49,11.13
MARDIE,04/08/2023,4.2,0.4, ,29.0,13.9,97,40,3.03,19.04
MARDIE,05/08/2023,5.0,0.0, ,32.8,15.0,93,24,2.87,19.14
MARDIE,06/08/2023,5.1,0.0, ,31.3,18.7,79,22,3.80,11.46
MARDIE,07/08/2023, ,0.0, , ,20.2,75,18,4.74,15.51
MARDIE,08/08/2023, , , ,32.9, ,82,16,3.16,19.23
MARDIE,09/08/2023, ,0.0, , ,13.8,100,16,2.92,19.54
MARDIE,10/08/2023, ,0.0, ,31.3, ,100,19,2.72,19.63
MARDIE,11/08/2023,4.7,0.0, ,30.5,13.6,78,23,2.51,19.73
MARDIE,12/08/2023,4.6,0.0, ,30.2,13.8,85,26,2.59,19.84
MARDIE,13/08/2023,5.0,0.0, ,29.1,15.3,95,35,4.16,19.90
MARDIE,14/08/2023,3.9,0.0, ,25.6,12.2,84,33,2.30,20.07
MARDIE,15/08/2023,4.3,0.0, ,25.5,11.3,87,38,3.63,20.17
MARDIE,16/08/2023,6.4,0.0, ,28.6,12.9,77,16,5.19,20.28
MARDIE,17/08/2023,5.3,0.0, ,27.8,11.7,81,19,3.67,20.36
MARDIE,18/08/2023,6.4,0.0, ,30.9,13.9,78,17,4.38,20.47
MARDIE,19/08/2023, ,0.0, , ,14.0,67,13,3.28,19.09
MARDIE,20/08/2023,7.1, , ,34.7,14.2,62,13,3.97,20.59
MARDIE,21/08/2023,5.8,0.0, ,30.8,13.1,88,10,3.40,20.83
MARDIE,22/08/2023,5.1,0.0, ,30.4,14.3,95,24,2.95,20.94
MARDIE,23/08/2023,4.7,0.2, ,31.1,14.9,98,26,2.33,21.10
MARDIE,24/08/2023, ,0.0, , ,13.9,96,11,2.96,21.21
MARDIE,25/08/2023, ,0.0, , , ,70,9,4.55,21.30
MARDIE,26/08/2023, , , , , ,75,5,4.73,21.40
MARDIE,27/08/2023,6.2,0.0, ,33.4,13.3,74,11,3.05,21.56
MARDIE,28/08/2023,6.7,0.0, ,34.9,11.5,81,7,3.18,21.67
MARDIE,29/08/2023, ,0.0, , ,14.3,84,9,3.19,21.79
MARDIE,30/08/2023, , , , , ,49,8,2.18,21.90
MARDIE,31/08/2023, , , , , ,67,7,2.99,22.02
Totals:,,90.5,0.6, ,,,,,, 
