'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MEEKATHARRA AIRPORT Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MEEKATHARRA AIRPORT,01/01/2023,12.0,0.0, ,42.1,24.7,27,7,4.95,31.15
MEEKATHARRA AIRPORT,02/01/2023,14.0,0.0, ,41.8,28.1,29,9,6.99,29.93
MEEKATHARRA AIRPORT,03/01/2023,14.7,0.0, ,41.2,27.7,24,10,7.69,31.31
MEEKATHARRA AIRPORT,04/01/2023,13.7,0.0, ,40.2,25.6,22,7,6.86,31.22
MEEKATHARRA AIRPORT,05/01/2023,12.3,0.0, ,38.9,24.5,23,6,5.76,31.28
MEEKATHARRA AIRPORT,06/01/2023,11.3,0.0, ,40.2,22.5,22,8,4.67,31.25
MEEKATHARRA AIRPORT,07/01/2023,11.6,0.0, ,39.6,26.1,34,6,5.05,30.96
MEEKATHARRA AIRPORT,08/01/2023,11.9,0.0, ,41.1,25.1,30,6,5.06,31.15
MEEKATHARRA AIRPORT,09/01/2023,13.8,0.0, ,42.0,29.2,22,7,6.71,27.79
MEEKATHARRA AIRPORT,10/01/2023,13.1,0.0, ,40.4,27.2,29,5,6.18,31.05
MEEKATHARRA AIRPORT,11/01/2023,11.0,0.0, ,38.2,22.3,22,6,4.73,30.99
MEEKATHARRA AIRPORT,12/01/2023,11.2,0.0, ,41.3,24.5,18,6,4.35,31.00
MEEKATHARRA AIRPORT,13/01/2023,11.3,0.0, ,43.1,25.7,18,4,4.15,30.48
MEEKATHARRA AIRPORT,14/01/2023,13.8,0.0, ,40.7,28.1,28,10,7.12,30.67
MEEKATHARRA AIRPORT,15/01/2023,12.9,0.0, ,41.2,28.4,45,9,7.02,25.84
MEEKATHARRA AIRPORT,16/01/2023,8.9,0.0, ,37.8,26.3,47,19,4.20,23.20
MEEKATHARRA AIRPORT,17/01/2023,11.1,0.0, ,39.6,24.1,45,12,5.08,29.97
MEEKATHARRA AIRPORT,18/01/2023,11.0,0.0, ,39.5,25.6,72,19,6.52,27.68
MEEKATHARRA AIRPORT,19/01/2023,9.5,0.6, ,35.3,24.1,72,22,6.52,24.85
MEEKATHARRA AIRPORT,20/01/2023,9.6,0.0, ,38.3,21.3,63,11,4.25,28.30
MEEKATHARRA AIRPORT,21/01/2023,12.3,0.0, ,38.5,25.9,21,10,6.10,29.79
MEEKATHARRA AIRPORT,22/01/2023,10.8,0.0, ,39.2,27.2,16,8,4.39,29.63
MEEKATHARRA AIRPORT,23/01/2023,10.7,0.0, ,41.1,25.3,22,7,4.61,23.92
MEEKATHARRA AIRPORT,24/01/2023,9.8,0.0, ,40.4,25.1,38,11,4.21,24.39
MEEKATHARRA AIRPORT,25/01/2023,7.4,0.0, ,36.7,28.2,48,16,4.42,10.07
MEEKATHARRA AIRPORT,26/01/2023,6.6,0.0, ,33.3,26.6,67,20,4.70,11.68
MEEKATHARRA AIRPORT,27/01/2023,10.9,0.6, ,38.7,23.8,42,13,5.29,28.81
MEEKATHARRA AIRPORT,28/01/2023,10.0,0.0, ,37.4,22.9,64,17,5.23,28.80
MEEKATHARRA AIRPORT,29/01/2023,9.4,0.0, ,37.0,25.2,85,26,6.98,24.21
MEEKATHARRA AIRPORT,30/01/2023,7.9,1.2, ,36.8,22.2,84,28,5.06,21.55
MEEKATHARRA AIRPORT,31/01/2023,8.8,5.0, ,38.8,21.7,84,13,3.51,29.61
Totals:,,343.3,7.4, ,,,,,, 
