'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MEEKATHARRA AIRPORT Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MEEKATHARRA AIRPORT,01/04/2023,3.3,3.2, ,27.4,18.3,92,65,3.86,13.61
MEEKATHARRA AIRPORT,02/04/2023,3.8,25.0, ,29.9,20.1,95,55,3.09,14.87
MEEKATHARRA AIRPORT,03/04/2023,3.2,3.2, ,27.1,22.1,93,64,2.78,13.98
MEEKATHARRA AIRPORT,04/04/2023, ,4.4, , ,21.7,95,54,3.17,16.42
MEEKATHARRA AIRPORT,05/04/2023, , , ,27.5, ,93,36,2.96,21.29
MEEKATHARRA AIRPORT,06/04/2023,5.3,0.0, ,28.7,15.9,72,32,3.54,21.13
MEEKATHARRA AIRPORT,07/04/2023,6.4,0.0, ,31.3,19.9,63,39,5.24,20.40
MEEKATHARRA AIRPORT,08/04/2023,4.7,0.0, ,25.6,14.8,78,35,3.63,20.82
MEEKATHARRA AIRPORT,09/04/2023,4.6,0.0, ,27.2,13.1,84,24,2.73,20.66
MEEKATHARRA AIRPORT,10/04/2023,5.2,0.0, ,29.8,13.9,87,26,3.36,20.51
MEEKATHARRA AIRPORT,11/04/2023,5.0,0.0, ,24.7,14.8,83,30,4.70,20.34
MEEKATHARRA AIRPORT,12/04/2023,5.4,0.0, ,31.1,13.4,70,26,3.16,20.19
MEEKATHARRA AIRPORT,13/04/2023,5.8,0.0, ,33.0,17.9,69,35,3.96,19.49
MEEKATHARRA AIRPORT,14/04/2023,4.9,0.0, ,21.1,15.2,86,30,7.37,17.59
MEEKATHARRA AIRPORT,15/04/2023,4.9,0.0, ,20.9,9.4,55,24,4.69,19.68
MEEKATHARRA AIRPORT,16/04/2023,4.7,0.0, ,24.2,9.6,63,20,3.43,19.54
MEEKATHARRA AIRPORT,17/04/2023,4.8,0.0, ,26.5,11.5,68,20,3.19,19.38
MEEKATHARRA AIRPORT,18/04/2023,5.8,0.0, ,27.9,12.6,58,17,4.22,19.24
MEEKATHARRA AIRPORT,19/04/2023, ,0.0, , ,15.5,65,29,5.98,19.07
MEEKATHARRA AIRPORT,20/04/2023, , , ,24.0, ,66,33,4.43,17.73
MEEKATHARRA AIRPORT,21/04/2023,5.1,0.0, ,26.1,13.8,64,24,4.01,18.78
MEEKATHARRA AIRPORT,22/04/2023,5.2,0.0, ,28.2,14.5,55,21,3.53,18.41
MEEKATHARRA AIRPORT,23/04/2023,5.3,0.0, ,29.6,13.5,55,20,3.42,18.55
MEEKATHARRA AIRPORT,24/04/2023,3.4,0.0, ,28.0,19.2,94,35,2.64,12.13
MEEKATHARRA AIRPORT,25/04/2023,3.2,1.4, ,20.3,13.3,93,39,4.06,13.45
MEEKATHARRA AIRPORT,26/04/2023,3.5,0.0, ,21.3,7.7,83,35,3.09,18.15
MEEKATHARRA AIRPORT,27/04/2023,4.0,0.0, ,25.2,9.2,86,24,2.98,18.03
MEEKATHARRA AIRPORT,28/04/2023,5.3,0.0, ,25.2,12.1,61,27,5.20,17.81
MEEKATHARRA AIRPORT,29/04/2023,4.8,0.0, ,22.9,11.6,66,25,4.83,17.67
MEEKATHARRA AIRPORT,30/04/2023,4.0,0.0, ,23.1,10.7,59,24,3.28,14.34
Totals:,,121.6,37.2, ,,,,,, 
