'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MEEKATHARRA AIRPORT Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MEEKATHARRA AIRPORT,01/08/2023,5.9,0.0, ,28.0,8.6,44,16,4.80,16.02
MEEKATHARRA AIRPORT,02/08/2023,5.8,0.0, ,27.8,17.6,95,28,8.30,14.49
MEEKATHARRA AIRPORT,03/08/2023,2.7,9.0, ,17.4,10.8,96,44,4.00,16.05
MEEKATHARRA AIRPORT,04/08/2023,3.1,0.0, ,19.0,7.2,89,49,5.27,16.29
MEEKATHARRA AIRPORT,05/08/2023,3.6,0.0, ,24.1,9.3,89,43,4.09,16.41
MEEKATHARRA AIRPORT,06/08/2023,5.0,0.0, ,28.5,12.2,84,22,4.24,15.92
MEEKATHARRA AIRPORT,07/08/2023,5.0,0.0, ,28.1,15.4,61,22,4.07,12.56
MEEKATHARRA AIRPORT,08/08/2023,5.7,0.0, ,28.4,17.2,48,20,4.52,15.77
MEEKATHARRA AIRPORT,09/08/2023,3.9,0.0, ,26.9,16.7,76,32,3.06,14.46
MEEKATHARRA AIRPORT,10/08/2023,5.7,0.0, ,29.1,17.7,57,17,4.47,14.71
MEEKATHARRA AIRPORT,11/08/2023,4.5,0.0, ,27.5,12.7,67,24,3.29,17.17
MEEKATHARRA AIRPORT,12/08/2023,4.2,0.0, ,25.8,12.7,75,32,3.76,15.97
MEEKATHARRA AIRPORT,13/08/2023,3.8,0.0, ,22.5,14.4,86,34,4.16,15.24
MEEKATHARRA AIRPORT,14/08/2023,3.6,0.0, ,21.6,9.2,87,27,3.12,17.86
MEEKATHARRA AIRPORT,15/08/2023,4.4,0.0, ,24.6,7.5,58,23,3.28,18.00
MEEKATHARRA AIRPORT,16/08/2023,4.2,0.0, ,19.8,7.6,74,27,5.17,15.68
MEEKATHARRA AIRPORT,17/08/2023,4.4,0.0, ,19.5,9.4,83,24,5.82,17.61
MEEKATHARRA AIRPORT,18/08/2023,5.2,0.0, ,22.9,6.7,58,16,4.86,18.38
MEEKATHARRA AIRPORT,19/08/2023,5.1,0.0, ,24.4,8.8,53,17,4.02,18.50
MEEKATHARRA AIRPORT,20/08/2023,5.4,0.0, ,27.3,10.8,43,16,3.60,18.64
MEEKATHARRA AIRPORT,21/08/2023,5.3,0.0, ,24.8,10.2,57,17,4.35,18.77
MEEKATHARRA AIRPORT,22/08/2023,5.4,0.0, ,27.7,10.6,47,18,3.64,18.90
MEEKATHARRA AIRPORT,23/08/2023,5.7,0.0, ,30.2,13.0,43,16,3.39,18.92
MEEKATHARRA AIRPORT,24/08/2023,4.9,0.0, ,31.1,13.0,53,15,2.41,19.22
MEEKATHARRA AIRPORT,25/08/2023,5.9,0.0, ,32.2,13.6,39,11,3.16,19.28
MEEKATHARRA AIRPORT,26/08/2023,7.2,0.0, ,31.6,15.3,28,9,4.43,19.39
MEEKATHARRA AIRPORT,27/08/2023,8.1,0.0, ,31.1,16.3,19,7,5.34,19.49
MEEKATHARRA AIRPORT,28/08/2023,5.6,0.0, ,31.9,11.7,28,7,2.70,19.65
MEEKATHARRA AIRPORT,29/08/2023,6.3,0.0, ,31.9,12.6,31,10,3.42,19.80
MEEKATHARRA AIRPORT,30/08/2023,6.9,0.0, ,32.2,15.6,41,10,3.99,19.93
MEEKATHARRA AIRPORT,31/08/2023,7.8,0.0, ,32.4,17.2,43,9,5.04,20.05
Totals:,,160.3,9, ,,,,,, 
