'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MEEKATHARRA AIRPORT Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MEEKATHARRA AIRPORT,01/09/2023,7.2,0.0, ,31.5,15.5,28,11,4.30,20.31
MEEKATHARRA AIRPORT,02/09/2023,4.9,0.0, ,25.1,11.9,78,26,3.98,20.37
MEEKATHARRA AIRPORT,03/09/2023,4.6,0.0, ,21.5,11.9,76,34,5.79,17.49
MEEKATHARRA AIRPORT,04/09/2023,4.3,0.0, ,21.4,7.1,74,26,3.64,20.66
MEEKATHARRA AIRPORT,05/09/2023,5.6,0.0, ,26.7,8.2,52,16,3.71,20.77
MEEKATHARRA AIRPORT,06/09/2023,4.9,0.0, ,23.2,10.0,73,31,4.72,20.93
MEEKATHARRA AIRPORT,07/09/2023,6.5,0.0, ,23.0,10.0,51,14,6.33,21.00
MEEKATHARRA AIRPORT,08/09/2023,7.2,0.0, ,26.5,11.5,30,13,5.57,21.21
MEEKATHARRA AIRPORT,09/09/2023,8.0,0.0, ,30.9,14.6,24,13,5.18,21.35
MEEKATHARRA AIRPORT,10/09/2023,7.0,0.0, ,33.2,14.6,34,13,3.64,21.62
MEEKATHARRA AIRPORT,11/09/2023,6.2,0.0, ,34.5,15.4,35,13,2.66,21.47
MEEKATHARRA AIRPORT,12/09/2023,9.5,0.0, ,35.2,23.2,29,10,5.71,20.78
MEEKATHARRA AIRPORT,13/09/2023,8.6,0.2, ,30.8,20.0,62,23,8.07,22.12
MEEKATHARRA AIRPORT,14/09/2023,4.9,0.0, ,25.0,14.6,76,29,3.38,22.10
MEEKATHARRA AIRPORT,15/09/2023,6.5,0.0, ,32.5,13.5,50,14,3.29,22.32
MEEKATHARRA AIRPORT,16/09/2023,7.4,0.0, ,35.2,15.6,39,12,3.63,22.39
MEEKATHARRA AIRPORT,17/09/2023,7.8,0.0, ,32.6,18.5,51,16,4.83,22.47
MEEKATHARRA AIRPORT,18/09/2023,7.7,0.0, ,29.9,16.8,46,18,5.46,22.00
MEEKATHARRA AIRPORT,19/09/2023,7.1,0.0, ,28.2,13.8,40,15,4.76,22.99
MEEKATHARRA AIRPORT,20/09/2023,7.2,0.0, ,31.7,14.4,48,11,3.94,23.09
MEEKATHARRA AIRPORT,21/09/2023,8.0,0.0, ,33.8,20.3,24,14,4.60,18.09
MEEKATHARRA AIRPORT,22/09/2023,7.1,0.0, ,34.8,17.2,35,16,3.24,23.45
MEEKATHARRA AIRPORT,23/09/2023,7.9,0.0, ,33.3,19.0,48,19,4.70,23.40
MEEKATHARRA AIRPORT,24/09/2023,7.6,0.0, ,34.3,17.2,53,15,4.07,23.03
MEEKATHARRA AIRPORT,25/09/2023,8.5,0.0, ,35.4,18.5,43,13,4.53,23.84
MEEKATHARRA AIRPORT,26/09/2023,8.4,0.0, ,33.2,17.2,55,14,5.27,23.95
MEEKATHARRA AIRPORT,27/09/2023,9.8,0.0, ,36.7,22.6,41,11,5.54,23.77
MEEKATHARRA AIRPORT,28/09/2023,9.1,0.0, ,37.7,23.2,26,11,4.53,22.12
MEEKATHARRA AIRPORT,29/09/2023,9.1,0.0, ,38.5,24.0,26,8,4.19,23.73
MEEKATHARRA AIRPORT,30/09/2023,7.2,0.0, ,28.9,17.7,64,18,4.96,24.53
Totals:,,215.8,0.2, ,,,,,, 
