'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILLENDON (SWAN VALLEY) Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILLENDON (SWAN VALLEY),01/09/2022,3.1,0.0, ,21.0,9.9,78,40,2.23,18.40
MILLENDON (SWAN VALLEY),02/09/2022,3.1,0.0, ,20.3,11.5,62,45,3.01,12.99
MILLENDON (SWAN VALLEY),03/09/2022,2.3,4.8, ,16.1,11.7,87,52,3.06,10.62
MILLENDON (SWAN VALLEY),04/09/2022,2.0,0.8, ,20.1,12.5,97,68,1.53,12.46
MILLENDON (SWAN VALLEY),05/09/2022,2.0,11.2, ,18.8,12.3,98,57,1.71,11.23
MILLENDON (SWAN VALLEY),06/09/2022,2.4,15.8, ,17.6,9.4,97,59,2.29,15.86
MILLENDON (SWAN VALLEY),07/09/2022,2.0,1.2, ,19.3,4.9,99,58,1.04,13.78
MILLENDON (SWAN VALLEY),08/09/2022,2.0,0.0, ,19.0,6.3,98,56,0.72,14.13
MILLENDON (SWAN VALLEY),09/09/2022,2.7,0.0, ,22.1,8.0,97,41,0.85,18.75
MILLENDON (SWAN VALLEY),10/09/2022,2.7,0.0, ,22.9,6.1,98,40,0.82,19.44
MILLENDON (SWAN VALLEY),11/09/2022,2.8,0.0, ,24.0,5.3,98,37,0.93,19.09
MILLENDON (SWAN VALLEY),12/09/2022,3.1,0.0, ,23.6,8.5,97,48,1.88,18.66
MILLENDON (SWAN VALLEY),13/09/2022,2.8,15.0, ,19.4,11.9,95,60,5.30,13.60
MILLENDON (SWAN VALLEY),14/09/2022,3.1,5.6, ,18.9,11.6,95,56,4.05,18.37
MILLENDON (SWAN VALLEY),15/09/2022,2.3,1.8, ,18.8,10.2,98,57,1.84,13.30
MILLENDON (SWAN VALLEY),16/09/2022,2.5,0.2, ,20.6,9.5,98,58,1.28,16.45
MILLENDON (SWAN VALLEY),17/09/2022,2.2,0.2, ,20.8,6.0,98,60,0.91,14.25
MILLENDON (SWAN VALLEY),18/09/2022,2.9,0.0, ,21.5,8.8,98,49,1.57,17.77
MILLENDON (SWAN VALLEY),19/09/2022,2.7,5.4, ,18.1,10.5,94,58,3.20,15.33
MILLENDON (SWAN VALLEY),20/09/2022,2.1,6.8, ,19.1,8.6,94,69,1.84,12.55
MILLENDON (SWAN VALLEY),21/09/2022,3.2,0.8, ,21.6,7.3,98,53,2.60,19.32
MILLENDON (SWAN VALLEY),22/09/2022,3.1,0.8, ,19.0,9.6,94,37,1.12,21.45
MILLENDON (SWAN VALLEY),23/09/2022,3.2,0.2, ,21.0,5.1,95,46,1.49,21.85
MILLENDON (SWAN VALLEY),24/09/2022,3.0,1.8, ,18.4,9.1,97,42,2.21,18.24
MILLENDON (SWAN VALLEY),25/09/2022,2.5,0.0, ,19.9,3.5,98,45,1.00,16.99
MILLENDON (SWAN VALLEY),26/09/2022,3.3,0.0, ,23.1,5.2,98,41,1.28,21.68
MILLENDON (SWAN VALLEY),27/09/2022,3.6,0.0, ,25.9,6.4,98,35,1.05,22.82
MILLENDON (SWAN VALLEY),28/09/2022,3.8,0.0, ,27.7,7.2,98,24,1.08,21.57
MILLENDON (SWAN VALLEY),29/09/2022,4.7,0.0, ,28.3,12.1,83,21,1.93,23.06
MILLENDON (SWAN VALLEY),30/09/2022,4.3,0.0, ,27.7,14.4,66,29,1.35,23.20
Totals:,,85.5,72.4, ,,,,,, 
