'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILLENDON (SWAN VALLEY) Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILLENDON (SWAN VALLEY),01/04/2023, ,0.2, , ,17.7,83,59,1.56,11.26
MILLENDON (SWAN VALLEY),02/04/2023,3.1, , ,27.6,16.5,92,47,1.32,15.68
MILLENDON (SWAN VALLEY),03/04/2023,3.6,0.0, ,29.1,13.3,97,39,1.53,18.71
MILLENDON (SWAN VALLEY),04/04/2023,3.4,0.0, ,25.8,13.7,93,40,1.89,17.29
MILLENDON (SWAN VALLEY),05/04/2023,3.0,0.0, ,24.4,8.1,97,44,1.52,18.30
MILLENDON (SWAN VALLEY),06/04/2023,3.1,0.0, ,25.7,12.2,95,37,1.24,18.25
MILLENDON (SWAN VALLEY),07/04/2023,2.8,0.0, ,24.2,17.1,77,45,2.46,8.72
MILLENDON (SWAN VALLEY),08/04/2023,1.9,0.6, ,19.5,15.3,85,61,1.75,8.45
MILLENDON (SWAN VALLEY),09/04/2023, ,0.2, , ,14.4,92,45,0.86,12.00
MILLENDON (SWAN VALLEY),10/04/2023, , , , , ,95,36,3.08,10.84
MILLENDON (SWAN VALLEY),11/04/2023, , , , , , , , ,15.99
MILLENDON (SWAN VALLEY),12/04/2023, , , ,24.6, , , , ,14.09
MILLENDON (SWAN VALLEY),13/04/2023,3.2,0.6, ,25.5,11.7,96,46,3.42,11.41
MILLENDON (SWAN VALLEY),14/04/2023,2.9,12.4, ,19.8,10.4,91,44,3.01,15.45
MILLENDON (SWAN VALLEY),15/04/2023,2.0,0.8, ,20.3,7.7,96,55,1.00,13.94
MILLENDON (SWAN VALLEY),16/04/2023,2.2,3.2, ,23.5,12.3,97,55,1.37,12.22
MILLENDON (SWAN VALLEY),17/04/2023,2.5,0.0, ,24.3,10.1,98,52,1.16,16.39
MILLENDON (SWAN VALLEY),18/04/2023,2.7,0.0, ,23.3,11.1,95,38,1.27,17.14
MILLENDON (SWAN VALLEY),19/04/2023, ,0.0, , ,12.3,69,32,1.85,16.98
MILLENDON (SWAN VALLEY),20/04/2023, , , ,26.1, ,61,28,1.43,16.83
MILLENDON (SWAN VALLEY),21/04/2023,2.6,0.0, ,28.3,8.5,84,24,0.83,16.01
MILLENDON (SWAN VALLEY),22/04/2023,2.8,0.0, ,30.6,10.1,79,17,0.93,16.52
MILLENDON (SWAN VALLEY),23/04/2023,2.6,0.0, ,32.0,7.5,93,18,0.70,16.38
MILLENDON (SWAN VALLEY),24/04/2023,1.9,4.2, ,19.3,14.7,96,52,1.83,9.80
MILLENDON (SWAN VALLEY),25/04/2023,2.2,3.0, ,19.2,6.6,98,51,2.87,11.83
MILLENDON (SWAN VALLEY),26/04/2023,2.2,9.0, ,22.4,12.0,97,54,1.50,14.30
MILLENDON (SWAN VALLEY),27/04/2023,2.0,3.2, ,20.8,12.0,97,51,1.54,11.95
MILLENDON (SWAN VALLEY),28/04/2023,2.1,0.4, ,19.8,7.7,88,42,1.15,15.40
MILLENDON (SWAN VALLEY),29/04/2023,1.9,0.0, ,21.5,4.7,95,37,0.73,15.51
MILLENDON (SWAN VALLEY),30/04/2023,2.1,0.0, ,23.3,5.3,97,31,0.94,15.36
Totals:,,58.8,37.8, ,,,,,, 
