'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILLENDON (SWAN VALLEY) Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILLENDON (SWAN VALLEY),01/10/2023,3.4,0.0, ,22.2,10.5,97,47,3.27,15.90
MILLENDON (SWAN VALLEY),02/10/2023,3.7,11.8, ,17.7,12.4,95,45,5.49,20.49
MILLENDON (SWAN VALLEY),03/10/2023,2.7,1.0, ,20.1,8.6,94,48,1.25,15.65
MILLENDON (SWAN VALLEY),04/10/2023,3.7,0.0, ,23.4,5.5,98,41,1.39,23.86
MILLENDON (SWAN VALLEY),05/10/2023,4.6,0.0, ,29.1,10.2,92,22,1.58,23.95
MILLENDON (SWAN VALLEY),06/10/2023,5.8,0.0, ,34.2,15.5,67,13,1.95,24.21
MILLENDON (SWAN VALLEY),07/10/2023,6.2,0.0, ,35.7,16.9,95,13,2.26,24.32
MILLENDON (SWAN VALLEY),08/10/2023,3.4,0.0, ,25.0,13.5,98,52,0.01,21.95
MILLENDON (SWAN VALLEY),09/10/2023,4.2,0.0, ,29.1,11.1,97,36,0.88,24.33
MILLENDON (SWAN VALLEY),10/10/2023,4.2,0.0, ,23.2,12.5,94,48,2.56,24.22
MILLENDON (SWAN VALLEY),11/10/2023,4.1,0.0, ,22.5,7.6,90,37,1.99,24.46
MILLENDON (SWAN VALLEY),12/10/2023,4.8,0.0, ,26.6,10.6,70,25,1.82,25.07
MILLENDON (SWAN VALLEY),13/10/2023,4.6,0.0, ,31.1,12.1,64,17,0.96,25.24
MILLENDON (SWAN VALLEY),14/10/2023,3.7,0.0, ,33.0,15.0,61,11,0.02,25.38
MILLENDON (SWAN VALLEY),15/10/2023,4.0,0.0, ,32.9,15.4,64,14,0.19,25.51
MILLENDON (SWAN VALLEY),16/10/2023,6.3,0.0, ,36.7,19.9,64,8,1.85,25.44
MILLENDON (SWAN VALLEY),17/10/2023,5.6,0.0, ,34.7,16.3,79,14,1.54,24.83
MILLENDON (SWAN VALLEY),18/10/2023,3.9,0.0, ,27.1,12.8,89,39,0.00,24.99
MILLENDON (SWAN VALLEY),19/10/2023,4.4,0.0, ,28.0,13.3,93,34,0.60,25.97
MILLENDON (SWAN VALLEY),20/10/2023,3.8,0.0, ,29.0,10.7,89,26,0.03,25.57
MILLENDON (SWAN VALLEY),21/10/2023,3.0,0.0, ,30.7,14.4,89,26,0.25,16.18
MILLENDON (SWAN VALLEY),22/10/2023,3.8,0.0, ,25.2,12.5,95,53,2.32,19.00
MILLENDON (SWAN VALLEY),23/10/2023,4.5,0.0, ,23.2,9.2,91,30,1.92,25.23
MILLENDON (SWAN VALLEY),24/10/2023,5.6,0.0, ,26.4,9.9,56,17,2.35,26.75
MILLENDON (SWAN VALLEY),25/10/2023,6.4,0.0, ,35.2,14.3,79,10,1.93,26.87
MILLENDON (SWAN VALLEY),26/10/2023,3.2,0.0, ,25.7,12.7,96,49,0.00,19.43
MILLENDON (SWAN VALLEY),27/10/2023,3.7,0.0, ,24.1,7.5,95,33,0.00,26.32
MILLENDON (SWAN VALLEY),28/10/2023,3.9,0.0, ,26.2,10.3,73,24,0.00,27.28
MILLENDON (SWAN VALLEY),29/10/2023,3.1,0.0, ,23.3,7.3,93,48,0.00,20.96
MILLENDON (SWAN VALLEY),30/10/2023,4.1,0.0, ,25.5,11.8,82,29,0.00,27.52
MILLENDON (SWAN VALLEY),31/10/2023,5.5,0.0, ,27.7,11.7,76,20,2.19,26.07
Totals:,,133.9,12.8, ,,,,,, 
