'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORAWA AIRPORT Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORAWA AIRPORT,01/10/2022, ,0.0, , ,9.5,100,21,3.50,22.45
MORAWA AIRPORT,02/10/2022,5.7,0.0, ,25.4,11.4,73,27,4.59,21.48
MORAWA AIRPORT,03/10/2022,4.5,0.0, ,24.4,9.2,100,29,2.69,22.89
MORAWA AIRPORT,04/10/2022, ,0.0, , ,6.9,100,20,3.27,23.60
MORAWA AIRPORT,05/10/2022, ,1.2, , , ,100,35,3.73,14.55
MORAWA AIRPORT,06/10/2022, ,1.6, , , ,100,31,3.18,23.25
MORAWA AIRPORT,07/10/2022, ,0.0, ,22.8, ,100,22,2.30,24.01
MORAWA AIRPORT,08/10/2022,5.4,0.0, ,28.4,5.8,77,12,2.34,24.08
MORAWA AIRPORT,09/10/2022,4.9,0.0, ,24.7,9.1,82,25,3.54,19.50
MORAWA AIRPORT,10/10/2022,3.4,0.6, ,22.4,13.0,100,35,3.31,12.27
MORAWA AIRPORT,11/10/2022,4.5,0.0, ,21.4,5.8,99,28,3.96,21.66
MORAWA AIRPORT,12/10/2022,5.1,0.0, ,22.1,6.2,100,22,4.49,24.39
MORAWA AIRPORT,13/10/2022,4.7,0.0, ,23.8,5.7,93,16,2.29,24.50
MORAWA AIRPORT,14/10/2022,5.5,0.0, ,27.3,5.5,99,14,2.79,24.56
MORAWA AIRPORT,15/10/2022,5.7,0.0, ,28.9,8.4,86,14,2.77,23.57
MORAWA AIRPORT,16/10/2022, ,0.0, , ,9.2,97,27,5.11,24.50
MORAWA AIRPORT,17/10/2022, ,0.0, , , ,100,32,3.83,22.09
MORAWA AIRPORT,18/10/2022, ,0.0, , , ,100,16,2.54,24.88
MORAWA AIRPORT,19/10/2022,7.3,0.0, ,34.0,7.9,100,9,3.29,24.88
MORAWA AIRPORT,20/10/2022,5.0,0.0, ,27.1,11.9,100,36,3.15,23.05
MORAWA AIRPORT,21/10/2022,5.4,0.0, ,28.2,11.8,100,27,2.79,24.44
MORAWA AIRPORT,22/10/2022, ,0.0, , ,12.8,100,31,2.49,21.32
MORAWA AIRPORT,23/10/2022,6.4,0.0, ,30.8,11.3,100,23,4.71,19.25
MORAWA AIRPORT,24/10/2022,5.3,0.0, ,25.0,12.2,100,31,5.05,21.05
MORAWA AIRPORT,25/10/2022,4.9,0.0, ,24.6,10.2,100,33,4.30,20.64
MORAWA AIRPORT,26/10/2022,5.7,0.0, ,26.5,8.5,100,19,3.23,25.62
MORAWA AIRPORT,27/10/2022,7.0,0.0, ,30.0,10.2,90,14,4.08,25.68
MORAWA AIRPORT,28/10/2022, ,0.0, , ,11.1,95,14,4.30,25.82
MORAWA AIRPORT,29/10/2022,4.7,0.0, ,24.8,14.0,100,37,5.57,16.25
MORAWA AIRPORT,30/10/2022,5.6,4.0, ,20.1,9.8,100,22,6.93,26.07
MORAWA AIRPORT,31/10/2022,5.7,0.0, ,23.1,6.2,100,21,4.63,26.28
Totals:,,112.4,7.4, ,,,,,, 
