'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORAWA AIRPORT Western Australia for November 2023,,,,,,,,,,
Issued at 06:31 GMT on Saturday 04 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORAWA AIRPORT,28/10/2023,7.9,0.0, ,31.5,11.8,62,12,4.12,27.26
MORAWA AIRPORT,29/10/2023,7.2,0.0, ,28.4,10.3,81,19,4.86,27.40
MORAWA AIRPORT,30/10/2023,7.0,0.0, ,29.1,13.0,88,24,4.76,27.23
MORAWA AIRPORT,31/10/2023,8.7,0.0, ,31.7,14.9,32,17,4.79,27.53
MORAWA AIRPORT,01/11/2023,9.1,0.0, ,35.7,16.4,41,11,4.10,28.39
MORAWA AIRPORT,02/11/2023,9.5,0.0, ,37.1,16.6,45,10,4.24,28.14
MORAWA AIRPORT,03/11/2023,11.7,0.0, ,39.7,22.6,48,9,5.98,27.64
Totals:,,61.1,0, ,,,,,, 
