'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MAGNET AERO Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MAGNET AERO,01/10/2022,4.0,0.4, ,21.8,13.7,80,37,4.71,12.50
MOUNT MAGNET AERO,02/10/2022,4.5,0.2, ,20.9,13.6,83,39,4.70,20.21
MOUNT MAGNET AERO,03/10/2022,4.7,0.0, ,22.0,8.6,87,29,3.31,24.75
MOUNT MAGNET AERO,04/10/2022,5.9,0.0, ,25.0,10.7,61,21,3.95,25.01
MOUNT MAGNET AERO,05/10/2022,5.9,0.0, ,25.7,11.8,72,28,4.84,22.08
MOUNT MAGNET AERO,06/10/2022,5.4,0.2, ,20.9,9.0,81,22,4.88,25.22
MOUNT MAGNET AERO,07/10/2022,5.5,0.0, ,22.9,8.4,69,18,3.60,25.45
MOUNT MAGNET AERO,08/10/2022,6.2,0.0, ,27.5,8.8,60,10,3.14,25.59
MOUNT MAGNET AERO,09/10/2022,9.4,0.0, ,33.1,14.4,41,8,5.87,22.33
MOUNT MAGNET AERO,10/10/2022,4.3,0.0, ,21.2,14.3,66,39,4.63,13.05
MOUNT MAGNET AERO,11/10/2022,5.2,0.0, ,19.8,10.2,65,20,4.75,20.93
MOUNT MAGNET AERO,12/10/2022,6.3,0.0, ,21.7,9.8,60,17,5.58,25.51
MOUNT MAGNET AERO,13/10/2022,5.6,0.0, ,23.1,7.9,47,15,3.14,26.24
MOUNT MAGNET AERO,14/10/2022,5.8,0.0, ,27.6,8.4,54,10,2.46,26.35
MOUNT MAGNET AERO,15/10/2022,6.6,0.0, ,31.1,13.4,35,8,2.69,24.65
MOUNT MAGNET AERO,16/10/2022,8.1,0.0, ,28.2,13.7,46,16,5.88,25.56
MOUNT MAGNET AERO,17/10/2022,6.3,0.0, ,22.9,11.3,77,23,6.22,25.70
MOUNT MAGNET AERO,18/10/2022,7.3,0.0, ,27.6,11.4,52,11,4.36,26.92
MOUNT MAGNET AERO,19/10/2022,9.4,0.0, ,34.0,15.4,42,9,5.12,27.05
MOUNT MAGNET AERO,20/10/2022,7.6,0.0, ,31.2,15.4,76,18,4.40,27.17
MOUNT MAGNET AERO,21/10/2022,7.3,0.0, ,30.6,14.8,67,21,4.08,27.32
MOUNT MAGNET AERO,22/10/2022,7.2,0.0, ,30.2,15.3,58,20,3.79,27.11
MOUNT MAGNET AERO,23/10/2022,8.2,0.0, ,31.6,17.9,57,18,5.41,22.70
MOUNT MAGNET AERO,24/10/2022,6.8,0.0, ,25.2,17.0,70,26,5.72,25.34
MOUNT MAGNET AERO,25/10/2022,7.0,0.0, ,26.7,12.6,78,22,5.55,26.20
MOUNT MAGNET AERO,26/10/2022,6.4,0.0, ,27.5,12.4,68,17,3.20,27.88
MOUNT MAGNET AERO,27/10/2022,7.6,0.0, ,31.8,13.5,45,9,3.32,27.98
MOUNT MAGNET AERO,28/10/2022,9.5,0.0, ,34.9,17.0,50,8,4.85,28.13
MOUNT MAGNET AERO,29/10/2022,6.7,0.0, ,24.5,14.0,82,28,8.62,21.86
MOUNT MAGNET AERO,30/10/2022,6.2,0.8, ,19.8,11.6,87,17,8.34,25.53
MOUNT MAGNET AERO,31/10/2022,6.1,0.4, ,21.9,7.9,70,19,4.85,28.48
Totals:,,203,2, ,,,,,, 
