'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MAGNET AERO Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MAGNET AERO,01/03/2023,6.5,0.0, ,32.4,26.8,46,24,4.30,11.26
MOUNT MAGNET AERO,02/03/2023,8.3,0.0, ,37.7,24.6,44,14,3.49,25.11
MOUNT MAGNET AERO,03/03/2023,9.9,0.0, ,40.4,25.8,50,14,5.05,22.40
MOUNT MAGNET AERO,04/03/2023,9.4,0.2, ,37.9,24.2,55,19,4.97,25.65
MOUNT MAGNET AERO,05/03/2023,8.2,0.0, ,35.3,20.7,47,11,3.82,25.50
MOUNT MAGNET AERO,06/03/2023,7.9,0.0, ,36.6,19.3,41,9,3.30,25.29
MOUNT MAGNET AERO,07/03/2023,8.9,0.0, ,37.3,21.8,33,8,4.05,25.13
MOUNT MAGNET AERO,08/03/2023,9.4,0.0, ,38.2,23.6,32,9,4.33,24.93
MOUNT MAGNET AERO,09/03/2023,10.1,0.0, ,37.8,21.6,46,9,5.40,24.81
MOUNT MAGNET AERO,10/03/2023,7.6,0.0, ,34.2,18.5,69,10,3.83,24.54
MOUNT MAGNET AERO,11/03/2023,7.7,0.0, ,35.3,19.2,40,15,3.55,24.38
MOUNT MAGNET AERO,12/03/2023,7.5,0.0, ,37.5,21.3,33,12,2.92,24.21
MOUNT MAGNET AERO,13/03/2023,7.2,0.0, ,39.1,21.1,37,9,2.59,23.83
MOUNT MAGNET AERO,14/03/2023,8.4,0.0, ,40.0,21.3,41,8,3.46,23.83
MOUNT MAGNET AERO,15/03/2023,8.0,0.0, ,41.4,21.7,30,7,2.96,23.69
MOUNT MAGNET AERO,16/03/2023,10.1,0.0, ,41.3,22.9,38,7,4.73,23.52
MOUNT MAGNET AERO,17/03/2023,7.7,0.0, ,30.6,17.8,71,15,5.50,23.32
MOUNT MAGNET AERO,18/03/2023,7.6,0.0, ,34.6,16.6,45,12,3.73,23.15
MOUNT MAGNET AERO,19/03/2023,10.3,0.0, ,40.3,22.2,38,9,5.27,22.78
MOUNT MAGNET AERO,20/03/2023,10.3,0.0, ,40.8,25.4,34,9,5.09,22.51
MOUNT MAGNET AERO,21/03/2023,11.4,0.0, ,42.2,23.9,47,10,6.26,20.47
MOUNT MAGNET AERO,22/03/2023,9.6,1.4, ,41.1,24.7,56,12,4.92,22.29
MOUNT MAGNET AERO,23/03/2023,6.5,0.0, ,35.3,25.8,65,25,4.29,14.30
MOUNT MAGNET AERO,24/03/2023,3.3,0.2, ,28.0,22.6,93,52,4.07,8.75
MOUNT MAGNET AERO,25/03/2023,3.0,7.0, ,26.0,20.5,87,60,3.74,9.20
MOUNT MAGNET AERO,26/03/2023,4.9,0.6, ,30.4,18.5,97,37,3.44,19.03
MOUNT MAGNET AERO,27/03/2023,5.9,0.0, ,31.0,16.7,94,18,3.53,21.86
MOUNT MAGNET AERO,28/03/2023,6.5,0.2, ,30.7,18.4,77,34,5.79,20.34
MOUNT MAGNET AERO,29/03/2023,3.7,0.0, ,25.5,21.7,95,48,5.38,10.38
MOUNT MAGNET AERO,30/03/2023,1.4,16.6, ,20.1,17.7,96,88,5.41,6.12
MOUNT MAGNET AERO,31/03/2023,3.2,7.8, ,25.0,18.2,97,66,5.57,14.20
Totals:,,230.4,34, ,,,,,, 
