'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MAGNET AERO Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MAGNET AERO,01/07/2023,3.2,0.0, ,17.6,2.4,76,21,4.17,13.79
MOUNT MAGNET AERO,02/07/2023,3.1,0.0, ,17.4,4.2,65,24,3.98,13.83
MOUNT MAGNET AERO,03/07/2023,4.0,0.0, ,20.2,2.9,64,19,4.91,13.86
MOUNT MAGNET AERO,04/07/2023,3.0,0.0, ,18.6,10.5,93,42,6.07,12.03
MOUNT MAGNET AERO,05/07/2023,2.2,1.0, ,16.2,9.7,96,52,5.22,12.68
MOUNT MAGNET AERO,06/07/2023,1.9,0.8, ,15.5,5.2,97,40,2.39,13.79
MOUNT MAGNET AERO,07/07/2023,2.2,0.0, ,18.0,3.1,92,44,2.81,13.93
MOUNT MAGNET AERO,08/07/2023, ,0.0, , ,6.3,88,33,1.37,14.08
MOUNT MAGNET AERO,09/07/2023,2.6,0.0, ,22.4,4.1,84,21,1.98,14.13
MOUNT MAGNET AERO,10/07/2023,2.6,0.0, ,22.0,3.5,71,17,1.90,14.20
MOUNT MAGNET AERO,11/07/2023,3.2,0.0, ,23.6,3.8,55,10,2.25,14.24
MOUNT MAGNET AERO,12/07/2023,4.6,0.0, ,24.2,5.2,37,10,3.80,14.30
MOUNT MAGNET AERO,13/07/2023,3.5,0.0, ,23.2,7.0,72,24,3.28,14.37
MOUNT MAGNET AERO,14/07/2023,2.2,0.2, ,17.9,11.1,98,50,4.14,11.59
MOUNT MAGNET AERO,15/07/2023,3.2,0.0, ,17.1,4.5,88,25,4.87,14.49
MOUNT MAGNET AERO,16/07/2023,3.2,0.0, ,18.5,3.2,61,25,3.64,14.55
MOUNT MAGNET AERO,17/07/2023,3.1,0.0, ,21.9,1.8,66,21,2.62,14.60
MOUNT MAGNET AERO,18/07/2023,5.6,0.0, ,26.4,7.4,50,16,5.31,14.66
MOUNT MAGNET AERO,19/07/2023,2.8,0.0, ,16.9,11.9,95,44,6.30,11.80
MOUNT MAGNET AERO,20/07/2023,2.3,0.6, ,17.1,1.2,92,30,2.43,14.82
MOUNT MAGNET AERO,21/07/2023,2.3,0.0, ,18.9,0.6,65,19,1.58,14.87
MOUNT MAGNET AERO,22/07/2023,3.1,0.0, ,20.5,4.4,75,28,3.23,14.96
MOUNT MAGNET AERO,23/07/2023,4.1,0.0, ,21.1,6.3,63,18,4.29,15.04
MOUNT MAGNET AERO,24/07/2023,4.8,0.0, ,22.1,7.0,54,17,5.17,15.13
MOUNT MAGNET AERO,25/07/2023,5.7,0.0, ,22.2,9.1,44,13,6.34,11.18
MOUNT MAGNET AERO,26/07/2023,3.5,1.4, ,18.5,11.3,95,30,5.97,14.03
MOUNT MAGNET AERO,27/07/2023,2.2,0.2, ,16.8,5.8,99,49,3.72,13.16
MOUNT MAGNET AERO,28/07/2023,2.1,0.0, ,17.7,9.4,89,35,1.73,13.13
MOUNT MAGNET AERO,29/07/2023,2.6,0.0, ,19.8,4.0,80,35,2.35,15.62
MOUNT MAGNET AERO,30/07/2023,2.4,0.0, ,21.5,7.3,97,37,1.85,15.50
MOUNT MAGNET AERO,31/07/2023,3.3,0.0, ,23.7,6.3,79,21,2.52,15.83
Totals:,,94.6,4.2, ,,,,,, 
