'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUNGLINUP WEST Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUNGLINUP WEST,01/06/2023,1.1,8.6, ,16.6,12.7,96,83,5.35,6.54
MUNGLINUP WEST,02/06/2023,2.1,3.0, ,16.1,10.7,89,55,5.43,9.27
MUNGLINUP WEST,03/06/2023,1.4,0.2, ,16.3,9.7,93,51,2.21,7.99
MUNGLINUP WEST,04/06/2023,2.4,0.2, ,19.6,6.8,97,40,4.16,11.06
MUNGLINUP WEST,05/06/2023,2.8,0.0, ,20.1,10.2,95,40,5.45,7.99
MUNGLINUP WEST,06/06/2023,1.9,17.4, ,12.5,5.5,93,53,6.27,10.04
MUNGLINUP WEST,07/06/2023,2.1,0.0, ,14.4,4.8,87,49,5.67,10.66
MUNGLINUP WEST,08/06/2023,1.3,0.0, ,16.2,7.5,94,72,4.37,8.15
MUNGLINUP WEST,09/06/2023,1.8,0.0, ,18.1,5.7,97,40,2.73,9.45
MUNGLINUP WEST,10/06/2023,2.1,0.0, ,19.9,8.6,96,46,3.64,8.02
MUNGLINUP WEST,11/06/2023,2.7,0.0, ,16.5,10.8,93,40,6.58,10.20
MUNGLINUP WEST,12/06/2023,2.7,0.4, ,16.3,6.4,89,41,6.48,10.53
MUNGLINUP WEST,13/06/2023,1.9,0.0, ,18.1,7.3,96,56,4.25,10.79
MUNGLINUP WEST,14/06/2023,1.8,0.2, ,17.5,9.1,90,59,4.34,7.71
MUNGLINUP WEST,15/06/2023,2.6,0.0, ,18.3,6.0,88,51,6.65,10.61
MUNGLINUP WEST,16/06/2023,2.3,0.0, ,17.2,10.7,94,53,7.17,5.70
MUNGLINUP WEST,17/06/2023,1.4,5.0, ,13.2,2.6,93,60,3.65,8.27
MUNGLINUP WEST,18/06/2023,1.4,0.0, ,14.5,3.2,95,57,3.20,9.52
MUNGLINUP WEST,19/06/2023,2.0,0.2, ,16.5,5.3,94,31,3.05,11.07
MUNGLINUP WEST,20/06/2023,1.3,0.0, ,13.0,5.4,95,63,4.39,5.63
MUNGLINUP WEST,21/06/2023,0.8,6.4, ,9.4,3.9,95,85,7.73,6.95
MUNGLINUP WEST,22/06/2023,1.9,9.0, ,13.8,5.7,96,55,7.45,9.15
MUNGLINUP WEST,23/06/2023,2.2,1.2, ,12.1,5.0,84,55,9.00,9.77
MUNGLINUP WEST,24/06/2023,1.7,0.0, ,14.1,4.6,96,60,5.82,9.48
MUNGLINUP WEST,25/06/2023,0.9,7.0, ,10.6,5.8,97,76,2.61,9.29
MUNGLINUP WEST,26/06/2023,0.7,0.4, ,10.1,2.4,97,80,2.56,7.55
MUNGLINUP WEST,27/06/2023,1.1,15.2, ,12.7,4.7,97,68,2.71,9.79
MUNGLINUP WEST,28/06/2023,1.0,4.8, ,13.0,7.2,98,74,2.51,8.92
MUNGLINUP WEST,29/06/2023,0.9,2.4, ,12.7,4.8,98,65,1.44,9.39
MUNGLINUP WEST,30/06/2023,0.9,0.4, ,13.2,7.7,96,64,1.36,7.98
Totals:,,51.2,82, ,,,,,, 
