'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWDEGATE RESEARCH STATION Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWDEGATE RESEARCH STATION,01/10/2022,4.7,0.0, ,22.5,3.7,93,34,4.74,22.78
NEWDEGATE RESEARCH STATION,02/10/2022,2.6,2.6, ,15.4,9.2,92,62,5.63,14.99
NEWDEGATE RESEARCH STATION,03/10/2022,3.3,2.4, ,17.7,4.6,90,46,3.95,18.34
NEWDEGATE RESEARCH STATION,04/10/2022,3.8,0.0, ,21.6,2.7,93,29,1.95,23.35
NEWDEGATE RESEARCH STATION,05/10/2022,4.3,0.0, ,20.9,3.7,91,33,4.75,19.54
NEWDEGATE RESEARCH STATION,06/10/2022,3.7,0.2, ,18.8,1.9,92,38,4.12,20.00
NEWDEGATE RESEARCH STATION,07/10/2022,3.5,1.4, ,19.0,3.2,93,30,2.02,22.17
NEWDEGATE RESEARCH STATION,08/10/2022, ,0.0, , ,-1.7,100,20,3.18,24.10
NEWDEGATE RESEARCH STATION,09/10/2022,4.0,0.0, ,22.4,1.6,93,32,3.13,18.86
NEWDEGATE RESEARCH STATION,10/10/2022,3.7,0.0, ,17.7,5.4,91,38,4.96,17.23
NEWDEGATE RESEARCH STATION,11/10/2022,4.3,0.6, ,19.3,4.9,89,31,4.60,20.80
NEWDEGATE RESEARCH STATION,12/10/2022,4.3,0.0, ,19.2,3.4,91,30,4.81,20.52
NEWDEGATE RESEARCH STATION,13/10/2022,4.0,0.0, ,19.5,2.2,86,30,2.65,23.70
NEWDEGATE RESEARCH STATION,14/10/2022,4.1,0.0, ,22.2,-0.7,92,23,2.08,23.67
NEWDEGATE RESEARCH STATION,15/10/2022,4.9,0.0, ,24.6,0.8,93,22,2.67,24.79
NEWDEGATE RESEARCH STATION,16/10/2022,5.6,0.0, ,26.1,5.5,93,25,3.98,24.25
NEWDEGATE RESEARCH STATION,17/10/2022,5.0,0.0, ,22.6,5.6,89,29,4.62,22.73
NEWDEGATE RESEARCH STATION,18/10/2022,4.5,0.0, ,24.6,1.2,92,21,1.89,24.81
NEWDEGATE RESEARCH STATION,19/10/2022, ,0.0, , ,3.1,100,17,2.74,25.04
NEWDEGATE RESEARCH STATION,20/10/2022, ,0.0, ,25.7, ,92,31,3.76,22.70
NEWDEGATE RESEARCH STATION,21/10/2022,3.8,0.0, ,22.4,9.4,83,31,2.96,14.70
NEWDEGATE RESEARCH STATION,22/10/2022,3.8,0.0, ,22.4,10.6,89,37,3.62,14.19
NEWDEGATE RESEARCH STATION,23/10/2022, ,0.0, , ,8.8,100,31,3.81,18.64
NEWDEGATE RESEARCH STATION,24/10/2022,3.6,33.0, ,21.4,12.1,93,51,5.04,14.35
NEWDEGATE RESEARCH STATION,25/10/2022,4.6,2.4, ,22.5,11.6,93,39,5.45,18.88
NEWDEGATE RESEARCH STATION,26/10/2022,4.1,0.2, ,22.0,8.4,92,36,3.16,19.28
NEWDEGATE RESEARCH STATION,27/10/2022,4.3,0.0, ,21.6,4.1,92,37,3.40,21.85
NEWDEGATE RESEARCH STATION,28/10/2022,4.5,0.0, ,20.6,5.9,90,43,5.96,22.28
NEWDEGATE RESEARCH STATION,29/10/2022,1.6,0.0, ,13.3,8.8,92,69,5.53,3.41
NEWDEGATE RESEARCH STATION,30/10/2022,3.2,15.4, ,14.7,6.5,91,50,6.23,17.11
NEWDEGATE RESEARCH STATION,31/10/2022,3.8,0.8, ,18.7,4.5,91,45,4.90,19.79
Totals:,,107.6,59, ,,,,,, 
